Region,Location,date,month,year,year2,time,INI,PF_20Hz
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,22.3
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,20.1
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,21
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,20.1
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,20.6
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,21.9
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.5,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.2,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,20.1
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,23.6
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,21.9
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.5,21
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.5,20.6
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,22.3
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,20.6
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,22.3
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21.4
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,21
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,21.9
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.2,20.6
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.5,21
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,21.9
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,19.4,20.6
ONA,SE,11/02/1999,Feb,1999,1998/1999,18:07:14,18.3,21.9
