Region,Location,Date,Time first note,Duration (h),Time last note,Num. INIs,
Barents Sea,Vesterålen,02/01/2018,0:03:52,0.3,0:18:55,69,
Barents Sea,Vesterålen,09/01/2018,14:58:02,0.5,10:18:47,113,
Barents Sea,Vesterålen,25/01/2018,23:27:32,0.6,0:02:42,173,
Barents Sea,Vesterålen,26/01/2018,0:45:16,0.2,0:16:11,46,
Barents Sea,Vesterålen,18/02/2018,6:57:39,0.5,6:59:05,125,
Barents Sea,Vesterålen,21/02/2018,14:52:32,1.4,9:58:08,153,
Barents Sea,Vesterålen,23/02/2018,12:02:42,0.9,12:52:13,129,
Barents Sea,Vesterålen,26/02/2018,13:26:11,0.7,12:27:43,119,
Barents Sea,Svalbard,09/10/2014,22:04:28,0.4,22:26:33,96,
Barents Sea,Svalbard,18/10/2014,2:16:24,0.2,2:12:18,50,
Barents Sea,Svalbard,20/10/2014,0:10:59,0.2,0:13:27,45,
Barents Sea,Svalbard,08/10/2015,14:02:33,0.1,14:03:25,13,
Barents Sea,Svalbard,13/11/2015,13:21:41,0.1,13:08:17,19,
Barents Sea,Svalbard,12/01/2016,2:00:30,0.5,2:28:56,37,
Canary Islands,Canary Islands,02/11/2014,0:00:08,1,0:59:45,125,
Canary Islands,Canary Islands,05/11/2014,2:25:30,0.9,0:53:53,121,
Canary Islands,Canary Islands,08/11/2014,3:08:23,17.6,17:36:11,114,
Canary Islands,Canary Islands,17/11/2014,16:50:00,6,5:58:47,52,
Canary Islands,Canary Islands,20/11/2014,6:02:29,0.5,0:29:43,73,
Canary Islands,Canary Islands,23/11/2014,0:41:14,0.9,0:54:20,53,
Canary Islands,Canary Islands,26/11/2014,19:32:49,0.2,0:13:28,55,
Canary Islands,Canary Islands,29/11/2014,4:11:35,0.4,0:26:18,72,
Canary Islands,Canary Islands,14/12/2014,0:00:10,1.6,1:37:24,99,
Canary Islands,Canary Islands,17/12/2014,7:07:34,0.7,0:44:56,130,
Canary Islands,Canary Islands,20/12/2014,3:55:41,0.6,0:37:31,77,
Canary Islands,Canary Islands,29/12/2014,4:46:27,0.6,0:35:38,124,
Canary Islands,Canary Islands,31/12/2014,16:12:18,0.6,0:36:13,96,
