Sound	PeakF	HighF	LowF	Range	StartF	EndF	Trend	Inflec	PRR	Dur	BW
M(L)	495.3	604.7	357.8	1.690050307	516	486	1.061728395	0	0	3.142	246.9
GR(S)	129.2	191.3	42.6	148.7	58	185	0.313513514	0	0	0.19	148.7
E	129.2	289.9	95	194.9	261	165	1.581818182	3	0	0.496	194.8
E	150.7	209.9	102.7	107.2	206	185	1.113513514	1	0	0.186	107.3
E	150.7	230.9	103.8	127.1	180	185	0.972972973	1	0	0.181	127.1
E	150.7	235.3	90.7	144.6	201	201	1	1	0	0.168	144.7
E	193.8	251.8	121.3	130.5	227	222	1.022522523	0	0	0.103	130.5
E	172.3	256.5	134.8	121.7	227	222	1.022522523	3	0	0.273	121.7
E	172.3	246.9	109.4	137.5	222	190	1.168421053	1	0	0.206	137.5
E	150.7	238.2	100.7	137.5	233	212	1.099056604	1	0	0.207	137.5
E	150.7	218.9	102.5	116.4	196	180	1.088888889	1	0	0.216	116.4
E	150.7	218	112.1	105.9	196	196	1	1	0	0.223	105.8
E	150.7	225.2	113.7	111.5	212	196	1.081632653	1	0	0.134	111.5
E	172.3	226.3	112.6	113.7	169	174	0.971264368	1	0	0.5	113.7
GR(S)	86.1	155.9	34.2	121.7	148	32	4.625	0	0	0.213	121.7
GR(S)	129.2	204.4	44.1	160.3	79	159	0.496855346	0	0	0.223	160.3
E	129.2	261.3	90.2	171.1	196	190	1.031578947	2	0	0.244	171.1
E	150.7	228.5	101.6	126.9	217	201	1.07960199	0	0	0.292	127
E	129.2	249.3	89.6	159.7	222	153	1.450980392	9	0	0.806	159.7
E	150.7	221.9	99.4	122.5	212	153	1.385620915	0	0	0.292	122.5
E	150.7	205.8	89.3	116.5	201	164	1.225609756	0	0	0.186	116.4
E	150.7	200	104.3	95.7	185	159	1.163522013	0	0	0.191	95.7
E	150.7	220.6	109.5	111.1	206	153	1.346405229	0	0	0.282	111.1
E	150.7	208.8	95	113.8	190	159	1.194968553	0	0	0.744	113.7
E	150.7	216.3	78.8	137.5	217	169	1.284023669	0	0	0.186	137.6
GR(S)	150.7	221.9	90.7	131.2	148	116	1.275862069	0	0	0.179	131.2
M	236.9	295.8	174.2	121.6	266	235	1.131914894	0	0	2.736	121.6
AGR(S).MODW	1141.3	1534.9	125.2	1409.7	169	577	0.292894281	4	0	1.093	1409.6
BA(H)	366.1	4701.1	105.5	4595.6	2406	2406	1	0	0	0.139	4595.6
BA(H)	150.7	3575	78.3	3496.7	1824	1824	1	0	0	0.126	3496.6
BA(H)	323	4169	100.6	4068.4	2146	2146	1	0	0	0.147	4068.3
AGR(S).MODW	1442.7	1663.2	141.1	1522.1	180	725	0.248275862	3	0	1.019	1522
BA(H)	323	3958.6	95.9	3862.7	1991	1991	1	0	0	0.161	3862.7
BA(H)	344.5	4008.1	85.4	3922.7	2016	2016	1	0	0	0.159	3922.7
BA(H)	150.7	4169	97.8	4071.2	2127	2127	1	0	0	0.153	4071.2
AGR(S).MODW	1636.5	1947.3	97.8	1849.5	127	910	0.13956044	3	0	0.899	1849.6
BA(H)	409.1	4540.2	86.3	4453.9	2313	2313	1	0	0	0.13	4453.9
BA(H)	409.1	4713.4	16.3	4697.1	2366	2366	1	0	0	0.133	4697.1
BA(H)	129.2	4218.5	51.3	4167.2	2121	2121	1	0	0	0.28	4167.2
AGR(S).DW	1722.7	2409.4	68.8	2340.6	104	463	0.22462203	6	0	0.985	2340.6
MM	452.2	589.6	385	204.6	493	448	1.100446429	5	0	2.586	204.6
AGR.MODW	172.3	1820	105	1715	149	468	0.318376068	3	0	1.917	1715
BA(P)	107.7	2156.9	39.4	2117.5	1098	1098	1	0	0	0.506	2117.5
BA(P)	86.1	1203.1	23.4	1179.7	608	608	1	0	0	0.626	1179.7
AGR.DW	1270.5	1920.6	56.9	1863.7	70	538	0.130111524	1	0	1.944	1863.7
BA(P)	172.3	1583.7	24	1559.7	801	801	1	0	0	0.637	1559.7
BA(P)	150.7	1798.1	25	1773.1	906	906	1	0	0	0.771	1773.1
AGR.MODW	172.3	1933.7	87.5	1846.2	151	501	0.301397206	7	0	1.984	1846.2
MM(L)	452.2	563	383.6	179.4	427	495	0.862626263	2	0	3.142	179.4
PE.AM	1012.1	1754.4	54.9	1699.5	74	748	0.098930481	2	0	0.98	1699.4
PE.AM	1076.7	1789.4	37.6	1751.8	48	773	0.062095731	2	0	1.224	1751.8
PE.AM	1055.1	1701.9	35	1666.9	70	809	0.086526576	1	0	1.564	1666.9
PE.AM	1033.6	1155	48.1	1106.9	79	796	0.099246231	3	0	1.503	1106.9
PE.AM	1055.1	1281.9	7.5	1274.4	70	665	0.105263158	1	0	1.393	1274.3
M(L)	236.9	297.5	170.6	126.9	281	223	1.260089686	0	0	2.278	126.9
GW(L)	107.7	166.2	70	96.2	116	116	1	3	0	3.841	96.2
GW(L)	107.7	167.1	48.1	119	78	102	0.764705882	0	0	3.916	119
M	236.9	310.6	182.4	128.2	297	280	1.060714286	0	0	2.561	128.2
SC(L)	753.7	11235	24.7	11210.3	755	792	0.953282828	0	0	4.566	11210.3
SC(L)	753.7	9660	70.4	9589.6	892	752	1.186170213	0	0	4.688	9589.6
MM	236.9	297.4	166.4	131	184	232	0.793103448	1	0	2.72	131
AM	1012.1	1259.2	717.5	541.7	735	752	0.977393617	3	0	1.629	541.7
AM	1119.7	1286.2	684.3	601.9	700	844	0.829383886	2	0	1.384	601.9
AM	1033.6	1400.4	787.5	612.9	968	1222	0.792144026	3	0	1.657	612.9
AM	1313.5	1369.4	800.6	568.8	818	892	0.917040359	3	0	1.829	568.7
M	215.3	283.7	180.1	103.6	261	213	1.225352113	0	0	2.186	103.6
GT	947.5	1036.9	616.9	420	836	836	1	0	0	0.157	420
SC.E	193.8	292.7	114.8	177.9	288	115	2.504347826	0	0	0.273	177.9
SC.E	172.3	254.5	119.3	135.2	226	144	1.569444444	0	0	0.181	135.1
SC.E	150.7	211.7	110.3	101.4	247	158	1.563291139	2	0	0.245	101.3
SC.E	150.7	195.9	112.6	83.3	240	161	1.49068323	0	0	0.226	83.3
SC.E	150.7	229.7	96.8	132.9	230	165	1.393939394	0	0	0.236	132.9
SC.E	150.7	222.2	102.1	120.1	206	168	1.226190476	3	0	0.259	120.1
SC.E	150.7	198.2	105.8	92.4	199	192	1.036458333	0	0	0.17	92.3
SC.E	150.7	213.2	93.1	120.1	189	148	1.277027027	0	0	0.207	120.1
SC.E	150.7	224.8	121.9	102.9	189	154	1.227272727	0	0	0.184	102.9
SC.E	150.7	231.6	101.7	129.9	209	141	1.482269504	0	0	0.226	130
SC.E	150.7	210.2	114.1	96.1	192	161	1.192546584	0	0	0.174	96.1
SC.E	150.7	202.9	103.4	99.5	178	158	1.126582278	0	0	0.202	99.5
SC.E	150.7	213.9	101.4	112.5	196	154	1.272727273	0	0	0.174	112.5
SC.E	150.7	222.8	94.6	128.2	196	165	1.187878788	4	0	0.366	128.3
SC.E	882.9	1208.4	124.6	1083.8	168	172	0.976744186	0	0	0.172	1083.8
SC.E	258.4	318.5	175.2	143.3	100	141	0.709219858	0	0	0.2	143.3
SC.E	150.7	226.1	118.5	107.6	233	165	1.412121212	0	0	0.252	107.6
SC.E	172.3	248.4	101.9	146.5	240	220	1.090909091	0	0	0.273	146.5
SC.E	150.7	245.2	92.4	152.8	220	175	1.257142857	0	0	0.319	152.9
SC.E	129.2	201.9	95.5	106.4	144	165	0.872727273	0	0	0.193	106.4
SC.E	129.2	192.2	79	113.2	154	165	0.933333333	0	0	0.216	113.2
SC.E	129.2	186.5	93.8	92.7	141	141	1	0	0	0.228	92.7
SC.E	129.2	197.4	82.8	114.6	134	124	1.080645161	0	0	0.207	114.6
SC.E	150.7	200.6	98.7	101.9	151	165	0.915151515	0	0	0.221	101.9
SC.E	129.2	187.9	90	97.9	144	161	0.894409938	0	0	0.176	97.8
SC.E	150.7	197.7	101.6	96.1	148	137	1.080291971	0	0	0.237	96.1
SC.E	129.2	188.2	92.1	96.1	144	141	1.021276596	0	0	0.17	96.1
SC.E	150.7	190.9	108.5	82.4	172	144	1.194444444	0	0	0.202	82.4
SC.E	150.7	194.3	105	89.3	168	158	1.063291139	0	0	0.17	89.3
SC.E	150.7	192.4	100.6	91.8	141	165	0.854545455	0	0	0.164	91.8
SC.E	150.7	187.3	101.5	85.8	143	143	1	0	0	0.146	85.8
DC	710.6	1001.2	99.1	902.1	987	318	3.103773585	0	0	0.207	902.1
M	236.9	279.2	166.6	112.6	230	218	1.055045872	0	0	2.335	112.6
AM(P)	538.3	734.1	67.6	666.5	90	603	0.149253731	0	0	1.125	666.5
AM(P)	538.3	764.4	162.1	602.3	162	374	0.43315508	2	27	1.556	602.2
NM(P)	538.3	608	103.6	504.4	113	446	0.253363229	1	0	0.519	504.4
NM(P)	581.4	698.1	126.1	572	167	563	0.296625222	0	20	0.979	572
