Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:33:44.270	1994.269832137	2003.332647303	220.0	2468.0	9.063	2248.0	86.7	Bg211	
2	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:33:57.765	2006.765108366	2020.790073282	230.7	2575.3	14.025	2344.6	87.2	Bd2112	
3	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:34:11.031	2021.031288894	2033.333285147	91.2	2602.1	12.302	2510.9	87.3	Bd2111	
4	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:34:25.914	2034.914048117	2046.423478785	96.6	2612.8	11.509	2516.3	86.3	Be11	
5	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:34:39.698	2048.697797420	2058.725475037	80.5	2596.8	10.028	2516.3	86.0	Be11	
6	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:34:53.077	2063.077071911	2075.206771297	166.3	2564.6	12.130	2398.2	83.5	Df11	
7	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:35:09.066	2079.066221102	2086.061473873	75.1	2548.5	6.995	2473.4	86.0	Ef11	
8	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:35:20.108	2090.107726371	2097.964463473	171.7	2575.3	7.857	2403.6	83.4	Ef11	
9	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:35:34.496	2104.496109090	2110.560958783	48.3	2564.6	6.065	2516.3	87.9	Ef11	
10	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:35:49.528	2119.527952633	2124.042130530	75.1	2586.0	4.514	2510.9	85.9	Ef11	
11	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:36:05.415	2135.414803224	2139.377631149	26.8	2548.5	3.963	2521.6	91.0	Ef11	
12	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:36:23.346	2153.345551872	2160.892154615	123.4	2500.2	7.547	2376.8	86.6	Be11	
13	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:36:33.580	2163.579985729	2169.954969782	91.2	2586.0	6.375	2494.8	90.1	Be11	
14	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:36:44.159	2174.159013319	2183.049531619	118.0	2575.3	8.891	2457.3	87.7	Be31	
15	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:36:57.949	2186.948731355	2196.769652733	123.4	2602.1	9.821	2478.7	88.4	Bd2211	
16	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:37:10.422	2200.422346298	2211.070292634	59.0	2564.6	10.648	2505.5	90.3	Bd2111	
17	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:37:24.579	2214.579465199	2223.917955352	0.0	2596.8	9.338	2596.8	99.9	Bd1111	
18	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:37:37.502	2227.501730170	2239.631429557	85.8	2559.2	12.130	2473.4	89.3	Bd1111	
19	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:37:50.010	2240.010482662	2251.106400851	42.9	2575.3	11.096	2532.4	89.3	Bg211	
20	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:38:02.089	2252.089193850	2261.944574601	26.8	2591.4	9.855	2564.6	91.5	Be21	
21	Spectrogram 1	1	20180428-003030_AWI231-12_SV1026.wav	0:38:14.081	2264.081055743	2274.487786466	0.0	2591.4	10.407	2591.4	100.0	Df11	
