Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:17:37.580	724.580185453	730.930848764	66.2	1856.4	6.351	1790.2	69.7	Aa11	
2	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:17:44.552	731.552109305	738.662091055	47.7	1856.4	7.11	1808.7	71.1	Aa12	
3	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:17:52.370	739.369977616	749.620776547	39.7	1827.2	10.251	1787.5	73.3	Aa14	
4	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:18:03.656	750.656210783	760.354778122	60.9	1776.9	9.699	1716	73.6	Aa14	
5	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:18:14.528	761.528270255	771.330381018	39.7	1790.2	9.802	1750.4	74.5	Aa14	
6	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:18:25.396	772.39634791	776.814200648	74.1	1848.4	4.418	1774.3	71.5	Aa11	
7	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:18:30.435	777.435461189	793.72629316	23.8	1840.5	16.291	1816.6	73.5	Db15	
8	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:18:47.824	794.824443872	806.800966528	66.2	1835.2	11.977	1769	72	Ba16	
9	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:19:01.251	808.250574458	825.369753818	71.5	1859	17.119	1787.5	70.8	Ba110	
10	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:23:00.592	1047.592097045	1051.975435308	45	1803.4	4.383	1758.4	70.1	Aa11	
11	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:23:06.045	1053.045384018	1061.156285529	50.3	1816.6	8.111	1766.3	72.3	Aa13	
12	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:23:15.364	1062.364292138	1071.648685782	74.1	1816.6	9.284	1742.5	72.2	Aa13	
13	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:23:26.995	1072.994750288	1082.382687356	34.4	1779.6	9.388	1745.1	74	Aa14	
14	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:23:36.359	1083.359328198	1101.134282573	87.4	1779.6	17.775	1692.2	69.6	Ab116	
15	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:23:56.056	1103.055668976	1116.654371935	0	1814	13.599	1814	78.6	Ba14	
16	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:24:10.552	1117.551748273	1130.563705165	66.2	1795.5	13.012	1729.3	68.3	Ba17	
17	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:24:24.688	1131.688368117	1141.317906506	135.1	1819.3	9.63	1684.2	70.7	Ba13	
18	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:24:37.217	1144.217122366	1152.569625198	161.5	1766.3	8.353	1604.8	67.8	Ba11	
19	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:24:48.400	1155.399812109	1162.578822808	50.3	1633.9	7.179	1583.6	71.1	Aa13	
20	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:24:57.374	1164.373575483	1172.277390147	31.8	1599.5	7.904	1567.7	72.5	Aa13	
21	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:25:06.722	1173.721598364	1181.7979854	55.6	1607.4	8.076	1551.8	72.3	Aa13	
22	Spectrogram	1	20110615-001533_AWI227-11_SV0002.wav	00:25:15.730	1182.729876212	1200.332258215	29.1	1578.3	17.602	1549.2	70.6	Af122	
23	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:25:35.185	1201.18455392	1212.091127867	37.1	1581	10.907	1543.9	71.8	Da12	
24	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:25:47.437	1213.437192373	1224.654396591	29.1	1575.7	11.217	1546.5	72.4	Da12	
25	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:26:00.940	1225.940249982	1244.888696491	29.1	1792.8	18.948	1763.7	70.6	Dd116	
26	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:26:20.786	1245.786072829	1260.62729687	76.8	1808.7	14.841	1731.9	68	Ba16	
27	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:26:35.628	1261.628216631	1272.362218206	153.6	1835.2	10.734	1681.6	67.1	Ba14	
28	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:26:51.459	1277.459017449	1292.196698068	98	1742.5	14.738	1644.5	67.3	?	
29	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:27:07.646	1293.646305997	1309.453935325	66.2	1811.4	15.808	1745.1	69.8	Ba17	
30	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:27:24.166	1310.165570261	1325.938685115	166.8	1819.3	15.773	1652.5	71	Ba110	
31	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:27:41.538	1327.538004567	1338.410064039	111.2	1832.5	10.872	1721.3	69.2	Ba14	
32	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:27:53.140	1339.139529314	1347.768147943	113.9	1853.7	8.629	1739.9	68.1	Aa13	
33	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:28:03.149	1349.148726924	1355.533904709	87.4	1755.7	6.385	1668.3	69.4	Aa12	
34	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:28:11.087	1357.087056062	1365.163443099	84.7	1649.8	8.076	1565.1	69.9	Aa13	
35	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:28:44.485	1390.485478607	1397.975119576	68.9	1567.7	7.49	1498.9	71.9	Aa13	
36	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:28:53.321	1399.321184083	1409.295867218	74.1	1763.7	9.975	1689.5	72.9	Aa13	
37	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:29:04.929	1409.929325291	1425.081179603	42.4	1816.6	15.152	1774.3	71.1	Af112	
38	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:29:21.807	1426.806903329	1439.059541782	0	1239.3	12.253	1239.3	79.3	Da12	
39	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:29:34.026	1440.025947069	1451.726353929	26.5	1257.9	11.7	1231.4	74.4	Da12	
40	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:31:19.021	1545.021289586	1548.955939681	23.8	1189	3.935	1165.2	74.3	Cc11	
41	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:31:23.059	1549.059483104	1552.787046352	13.2	1210.2	3.728	1197	77	Cb11	
42	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:31:27.408	1553.408306893	1558.723535969	18.5	1334.7	5.315	1316.1	77.5	Cb12	
43	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:31:33.172	1559.172224137	1566.45477826	0	1326.7	7.283	1326.7	78.4	Cc12	
44	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:31:41.042	1567.041524327	1572.18418103	10.6	1427.4	5.143	1416.8	75.2	Cc11	
45	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:31:46.598	1572.598354724	1576.429461395	29.1	1424.7	3.831	1395.6	73.7	Cb11	
46	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:31:51.499	1577.499410105	1582.607552333	15.9	1374.4	5.108	1358.5	78.6	Cb12	
47	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:31:57.160	1583.159783926	1589.130788017	0	1377.1	5.971	1377.1	80.4	Cc11	
48	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:32:03.407	1589.406903813	1594.860190786	18.5	1366.5	5.453	1347.9	75.3	Cc11	
49	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:32:09.102	1595.101792108	1598.277123763	29.1	1361.2	3.175	1332	74.5	Cb11	
50	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:32:14.727	1599.726731693	1606.077395004	31.8	1408.8	6.351	1377.1	74.5	Cb12	
51	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:32:20.642	1606.642193155	1612.33708145	18.5	1416.8	5.695	1398.2	77	Cc11	
52	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:32:27.924	1612.923827517	1618.584201338	68.9	1430	5.66	1361.2	69.6	Cc12	
53	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:32:33.014	1619.013777381	1638.445426533	60.9	1665.7	19.432	1604.8	69.1	?	
54	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:32:54.880	1639.880337321	1650.062107303	71.5	1851.1	10.182	1779.6	69.3	Ba18	
55	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:33:05.201	1651.201084962	1661.417369419	15.9	1851.1	10.216	1835.2	74.6	Ba112	
56	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:33:16.102	1662.102259196	1673.975238429	7.9	1853.7	11.873	1845.8	74.1	?	
57	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:33:28.491	1674.490760825	1681.462684677	26.5	1848.4	6.972	1821.9	70.6	Aa21	
58	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:33:37.843	1682.843263658	1687.502717718	26.5	1856.4	4.659	1829.9	71.1	Aa11	
59	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:33:43.952	1688.952325647	1699.341182476	13.2	1859	10.389	1845.8	74.8	Aa21	
60	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:33:55.343	1701.343021998	1705.760874736	42.4	1835.2	4.418	1792.8	71.1	Aa11	
61	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:00.244	1706.24407738	1708.591061647	53	1837.8	2.347	1784.9	70	Ea13	
62	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:03.899	1708.898622859	1714.17933746	37.1	1835.2	5.281	1798.1	69.6	Ea24	
63	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:08.524	1714.524482205	1719.14942179	53	1829.9	4.625	1776.9	68.7	Ea23	
64	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:13.357	1719.356508638	1723.498245579	63.6	1824.6	4.142	1761	68.7	Ea24	
65	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:18.809	1723.80887585	1727.639982521	58.3	1798.1	3.831	1739.9	69.4	Ea24	
66	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:22.951	1727.950612792	1731.574632616	45	1792.8	3.624	1747.8	69.7	Ea23	
67	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:26.851	1731.850748412	1735.57831166	34.4	1795.5	3.728	1761	69.4	Ea24	
68	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:30.958	1735.95797088	1739.167817009	29.1	1763.7	3.21	1734.6	71.1	Cb11	
69	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:34.755	1739.754563076	1743.861785544	23.8	1758.4	4.107	1734.6	73.1	Cb11	
70	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:38.690	1744.690132932	1751.765600208	37.1	1774.3	7.075	1737.2	68.8	Cc12	
71	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:46.180	1752.179773902	1757.115343757	121.8	1800.8	4.936	1678.9	68.8	Cc11	
72	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:51.460	1757.460488503	1760.463247785	13.2	1819.3	3.003	1806.1	77	Cb11	
73	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:34:56.793	1761.79266658	1765.382171929	29.1	1816.6	3.59	1787.5	74.9	Cb11	
74	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:35:00.590	1766.590178537	1775.494912962	127.1	1824.6	8.905	1697.5	67.3	Cc12	
76	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:35:10.064	1776.064401792	1780.206138734	105.9	1827.2	4.142	1721.3	73.2	Cc11	
77	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:35:15.724	1780.723855851	1787.281606009	105.9	1821.9	6.558	1716	68.4	?	
78	Spectrogram	1	20110615-002534_AWI227-11_SV0002.wav	00:35:22.903	1787.902866551	1807.675814415	66.2	1808.7	19.773	1742.5	69.7	Ba19	
79	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:35:43.366	1808.366103906	1813.198130338	82.1	1790.2	4.832	1708.1	70.9	Aa11	
80	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:35:49.268	1814.268079048	1820.791314731	47.7	1758.4	6.523	1710.7	74.7	Aa21	
81	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:35:56.516	1821.516118696	1825.968485908	23.8	1750.4	4.452	1726.6	73.6	Aa11	
82	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:02.661	1827.661151828	1834.046329613	21.2	1848.4	6.385	1827.2	73.1	Aa21	
83	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:10.669	1835.668509915	1839.396073163	45	1787.5	3.728	1742.5	70.7	Aa11	
84	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:15.293	1840.2934495	1843.434266681	74.1	1816.6	3.141	1742.5	68.6	?	
85	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:19.986	1843.986498274	1846.264453592	39.7	1829.9	2.278	1790.2	72.9	Ea13	
86	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:22.886	1846.885714133	1850.958422126	45	1787.5	4.073	1742.5	74	Ea24	
87	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:27.787	1851.786769514	1855.65239066	42.4	1798.1	3.866	1755.7	72.9	Ea24	
88	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:31.239	1856.239136727	1860.484417092	26.5	1798.1	4.245	1771.6	71.9	Ea24	
89	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:36.050	1861.049720204	1863.845392639	45	1125.5	2.796	1080.5	74.2	Cb11	
90	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:41.847	1865.847232161	1872.025323099	31.8	1255.2	6.178	1223.5	73	Cb12	
91	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:47.509	1872.508525743	1880.032681187	55.6	1416.8	7.524	1361.2	71.5	Cc14	
92	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:36:55.412	1880.412340407	1886.590431345	53	1414.1	6.178	1361.2	72.3	Cc12	
93	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:37:02.993	1886.992990013	1890.168321669	45	1305.6	3.175	1260.5	71.1	Cb11	
94	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:37:06.687	1891.686958547	1894.965833626	23.8	1340	3.279	1316.1	73.2	Cb11	
95	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:37:11.312	1896.311898133	1904.250227271	15.9	1345.3	7.938	1329.4	75	Cc12	
96	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:37:20.802	1904.802458863	1914.501026202	31.8	1308.2	9.699	1276.4	70.8	Cc13	
97	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:39:48.816	2052.815772258	2057.302653945	31.8	1710.7	4.487	1678.9	70.1	Ea25	
98	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:39:52.682	2057.682313165	2061.755021158	53	1657.8	4.073	1604.8	68.8	Ea24	
99	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:39:57.307	2062.30725275	2065.689671253	29.1	1663.1	3.382	1633.9	72.9	Cb11	
100	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:40:02.277	2067.27733708	2072.489022732	21.2	1490.9	5.212	1469.7	77.1	Cb12	
101	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:40:08.800	2072.799653003	2077.28653469	26.5	1477.7	4.487	1451.2	72.4	Cc11	
102	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:40:12.563	2077.562650486	2082.739821663	34.4	1498.9	5.177	1464.4	73.2	Cc11	
103	Spectrogram	1	20110615-003535_AWI227-11_SV0002.wav	00:40:18.292	2083.292053256	2087.157674401	31.8	1461.8	3.866	1430	75	Cb11	
