Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
1	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:32:39.072	73237.072409897	73248.588900160	62.6	1211.6	11.516	1149.0	Aa13	
2	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:32:52.874	73249.873797834	73261.437876901	40.5	1281.6	11.564	1241.0	Aa15	
3	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:33:05.752	73263.751672044	73274.839863083	36.8	1340.5	11.088	1303.6	Aa14	
4	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:33:18.839	73275.839227941	73286.641886163	51.6	1314.7	10.803	1263.1	Aa13	
5	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:33:30.212	73288.212316654	73297.872843611	51.6	1428.9	9.661	1377.3	Aa12	
6	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:33:41.253	73299.252918890	73309.770044296	36.8	1439.9	10.517	1403.1	Aa12	
7	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:33:53.467	73311.466867320	73323.697189624	36.8	1476.7	12.230	1439.9	Aa13	
8	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:34:07.839	73324.839320890	73337.022054392	36.8	1509.9	12.183	1473.0	Aa13	
9	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:34:21.973	73338.973195305	73351.013162398	55.2	1495.1	12.040	1439.9	Aa13	
10	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:34:34.337	73352.336714129	73362.949017141	18.4	1513.6	10.612	1495.1	Aa13	
11	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:34:46.424	73364.424270026	73377.320835569	62.6	1572.5	12.897	1509.9	Aa13	
12	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:35:00.487	73378.487340635	73390.289363715	77.3	1616.7	11.802	1539.3	Aa13	
13	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:35:14.431	73392.430859838	73405.375014184	40.5	1627.7	12.944	1587.2	Aa13	
14	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:35:28.517	73406.517145450	73418.557112544	14.7	1601.9	12.040	1587.2	Aa13	
15	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:35:41.747	73419.746832613	73432.643398156	0.0	1594.6	12.897	1594.6	Aa13	
16	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:35:55.747	73433.746812568	73446.310256492	81.0	1613.0	12.563	1532.0	Aa13	
17	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:36:10.165	73448.165023621	73459.824280292	77.3	1631.4	11.659	1554.1	Ak19	
18	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:36:23.300	73461.299533177	73473.434677877	99.4	1701.4	12.135	1601.9	Ak111	
19	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:36:37.862	73474.862341959	73488.044440319	103.1	1705.1	13.182	1601.9	Bc12	
20	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:36:51.345	73489.345487438	73502.384819390	99.4	1767.7	13.039	1668.2	Bc12	
21	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:37:05.758	73503.758352456	73515.798319550	33.1	1804.5	12.040	1771.3	Ba13	
22	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:37:19.630	73517.630488455	73530.289109985	84.7	1815.5	12.659	1730.8	Ba13	
23	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:37:33.083	73531.082642820	73542.789488295	99.4	1826.6	11.707	1727.1	Ba13	
24	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:37:46.932	73543.931619560	73558.065493975	0.0	1845.0	14.134	1845.0	Ba14	
25	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:38:01.584	73559.584260815	73571.814583120	62.6	1808.2	12.230	1745.6	Ba14	
26	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:38:15.480	73573.480191216	73586.376756759	106.8	1800.8	12.897	1694.0	Aa16	
27	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:38:29.520	73587.519672900	73600.130705627	84.7	1764.0	12.611	1679.3	Aa17	
28	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:38:43.606	73601.605958512	73612.027906313	95.7	1778.7	10.422	1683.0	Aa13	
29	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:38:56.823	73613.823084524	73624.863686760	99.4	1764.0	11.041	1664.5	Aa13	
30	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:39:08.958	73625.958229223	73638.378906739	70.0	1756.6	12.421	1686.6	Aa13	
31	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:39:21.521	73639.521038005	73652.274837140	40.5	1756.6	12.754	1716.1	Aa13	
32	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:39:36.882	73653.881940458	73666.683328396	18.4	1756.6	12.801	1738.2	Aa13	
33	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:39:49.778	73667.777870859	73680.055781966	33.1	1775.0	12.278	1741.9	Aa13	
34	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:40:03.604	73681.604193633	73694.310403965	58.9	1782.4	12.706	1723.5	Aa13	
35	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:40:18.262	73696.261544878	73708.729811196	33.1	1808.2	12.468	1775.0	Aa13	
36	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:40:32.562	73710.562216944	73722.649772841	29.5	1822.9	12.088	1793.4	Aa13	
37	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:40:46.125	73724.125025726	73735.879460003	33.1	1797.1	11.754	1764.0	Aa13	
38	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:41:00.831	73737.830600916	73750.394044840	11.0	1815.5	12.563	1804.5	Aa13	
39	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:41:13.489	73751.488587303	73762.862311158	25.8	1804.5	11.374	1778.7	Aa13	
40	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:41:26.441	73764.441451790	73775.719998040	58.9	1756.6	11.279	1697.7	Aa13	
41	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:41:39.195	73777.195250925	73788.235853161	22.1	1719.8	11.041	1697.7	Aa13	
42	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:41:52.330	73790.329760482	73801.798661943	7.4	1727.1	11.469	1719.8	Aa13	
43	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:42:05.074	73803.074325783	73815.352236890	18.4	1734.5	12.278	1716.1	Aa13	
44	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:42:19.875	73816.875078578	73829.010223277	77.3	1819.2	12.135	1741.9	Aa13	
45	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:42:32.485	73830.485476162	73843.477219311	36.8	1764.0	12.992	1727.1	Aa13	
46	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:42:46.665	73844.665144675	73858.989374300	51.6	1808.2	14.324	1756.6	Aa13	
47	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:43:02.989	73859.988739158	73871.600407027	25.8	1782.4	11.612	1756.6	Aa13	
48	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:43:15.591	73873.590800173	73886.059066491	40.5	1771.3	12.468	1730.8	Aa13	
49	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:43:29.139	73887.138730172	73901.177426981	0.0	1767.7	14.039	1767.7	Aa14	
50	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:43:44.272	73902.271969444	73913.978814918	47.9	1775.0	11.707	1727.1	Aa13	
51	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:43:57.488	73915.488161050	73928.575081804	47.9	1749.2	13.087	1701.4	Aa13	
52	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:44:11.622	73929.622035465	73941.043348123	18.4	1756.6	11.421	1738.2	Aa13	
53	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:44:24.661	73942.661367416	73953.654380850	11.0	1764.0	10.993	1752.9	Aa13	
54	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:44:37.226	73955.226194393	73967.646871908	3.7	1786.1	12.421	1782.4	Aa13	
55	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:44:51.178	73969.178287505	73980.552011361	25.8	1767.7	11.374	1741.9	Aa13	
56	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:45:04.170	73982.170030654	73995.732839435	11.0	1775.0	13.563	1764.0	Aa14	
57	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:45:19.018	73997.017737110	74009.866713850	40.5	1782.4	12.849	1741.9	Aa14	
58	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:45:33.187	74011.187088173	74022.893933647	58.9	1815.5	11.707	1756.6	Aa13	
59	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:45:46.274	74024.274008927	74036.599508837	55.2	1819.2	12.325	1764.0	Aa13	
60	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:46:00.122	74038.122350525	74050.162317619	25.8	1775.0	12.040	1749.2	Aa13	
61	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:46:13.660	74051.660261814	74063.605051302	84.7	1782.4	11.945	1697.7	Aa13	
62	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:46:27.604	74065.603781017	74077.976869730	36.8	1808.2	12.373	1771.3	Aa13	
63	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:46:41.452	74079.452122615	74091.158968090	44.2	1797.1	11.707	1752.9	Aa13	
65	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:46:54.378	74092.378220624	74104.656131731	25.8	1789.8	12.278	1764.0	Aa13	
66	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:47:08.162	74106.162113725	74119.106268071	25.8	1797.1	12.944	1771.3	Aa13	
67	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:47:22.153	74120.153221732	74132.383544036	70.0	1800.8	12.230	1730.8	Aa13	
68	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:47:35.526	74133.525675302	74145.708408804	33.1	1793.4	12.183	1760.3	Aa13	
69	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:47:49.088	74147.088484084	74157.034543857	11.0	1789.8	9.946	1778.7	Aa12	
70	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:48:00.555	74158.555291751	74168.406173919	11.0	1808.2	9.851	1797.1	Aa12	
71	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:48:11.615	74169.615221222	74180.560645853	22.1	1811.8	10.945	1789.8	Ai12	
72	Spectrogram 1	1	20120807-201159_AWI247-02_SV1008.wav	20:48:23.512	74181.512421908	74196.122184350	25.8	1822.9	14.610	1797.1	Ai12	
73	Spectrogram 1	1	20120807-211159_AWI247-02_SV1008.wav	21:15:07.999	75784.999107356	75795.658999170	25.8	1826.6	10.660	1800.8	Aa13	
74	Spectrogram 1	1	20120807-211159_AWI247-02_SV1008.wav	21:15:19.229	75797.229429661	75810.649472034	77.3	1815.5	13.420	1738.2	Aa13	
