Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	4.368	4.368224489	14.435616867	37.0	3604.4	10.067	3567.3	67.1	Aa14	
2	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	15.391	15.391165974	25.185544322	0.0	3592.0	9.794	3592.0	68.2	Aa14	
3	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	26.482	26.482360967	37.539429206	18.5	3542.6	11.057	3524.1	67.0	Aa15	
4	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	39.257	39.257396865	54.136661532	24.7	3530.3	14.879	3505.6	65.7	Af112	
5	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	55.465	55.464826731	67.613951092	0.0	3518.0	12.149	3518.0	67.8	Da12	
6	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	69.047	69.047274753	80.752751314	0.0	3518.0	11.705	3518.0	67.7	Da12	
7	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	81.674	81.673922709	93.379399270	61.7	3629.0	11.705	3567.3	68.6	Db66	
8	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	94.710	94.710342669	106.893593784	129.6	3616.7	12.183	3487.1	69.6	Ba18	
9	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	108.460	108.459634882	119.482576367	55.5	3598.2	11.023	3542.6	72.4	Ba16	
10	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	120.779	120.779393012	133.576925696	61.7	3592.0	12.798	3530.3	68.5	Ba15	
11	Spectrogram 1	1	Temporada 2011 cruz 02 arq.16 Wav.Mono.wav	135.002	135.001656254	145.034921878	98.7	3641.4	10.033	3542.6	67.2	Ba14	
