Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	0.171	0.170633769	11.705476561	142.0	3696.9	11.535	3555.0	69.1	Ba13	
2	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	14.470	14.469743621	26.243473690	160.5	3684.6	11.774	3524.1	69.4	Ba13	
3	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	28.598	28.598219704	39.860048466	191.3	3641.4	11.262	3450.1	64.4	Ba13	
4	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	43.458	43.458275246	54.310582962	49.4	3585.8	10.852	3536.5	68.6	Ba14	
5	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	56.734	56.733582483	68.541439306	55.5	3622.9	11.808	3567.3	72.1	Ba16	
6	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	70.615	70.614578187	80.784350826	0.0	3635.2	10.170	3635.2	74.0	Ba15	
7	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	82.621	82.621129672	93.405183880	80.2	3666.1	10.784	3585.8	77.4	Bh15	
8	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	95.180	95.179775079	106.680491117	18.5	3622.9	11.501	3604.4	78.3	Bh15	
9	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	108.376	108.375708464	118.989128903	80.2	3610.5	10.613	3530.3	79.3	Bh15	
10	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	120.934	120.934353871	129.534295834	67.9	3437.7	8.600	3369.8	81.1	Bh13	
11	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	131.172	131.172380018	139.089786905	24.7	3548.8	7.917	3524.1	78.8	Aa13	
12	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	140.293	140.293326016	148.074225888	67.9	3604.4	7.781	3536.5	77.6	Aa13	
13	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	149.712	149.712310071	158.039238004	18.5	3610.5	8.327	3592.0	78.3	Aa13	
14	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	159.341	159.341111702	167.292645342	24.7	3536.5	7.952	3511.8	77.4	Aa13	
15	Spectrogram 1	1	temporada 2011 cruz 03 arq 30.wav	169.238	169.237870310	177.428291228	24.7	3542.6	8.190	3518.0	78.0	Aa13	
