Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
1	Spectrogram 1	1	Abrolhos_24ago2013.mp3	1.277	1.277093900	14.955441723	117.8	2651.6	13.678	2533.8	Ec14	
2	Spectrogram 1	1	Abrolhos_24ago2013.mp3	16.501	16.501397496	29.037522523	61.1	2629.8	12.536	2568.7	Ec41	
3	Spectrogram 1	1	Abrolhos_24ago2013.mp3	29.743	29.743284941	69.467626775	65.4	2621.1	39.724	2555.6	Gb131	
4	Spectrogram 1	1	Abrolhos_24ago2013.mp3	69.799	69.798842297	74.873610163	61.1	2616.7	5.075	2555.6	Gb11	
5	Spectrogram 1	1	Abrolhos_24ago2013.mp3	75.344	75.344118442	80.687748181	95.9	2625.4	5.344	2529.5	Gb11	
6	Spectrogram 1	1	Abrolhos_24ago2013.mp3	80.912	80.912365176	86.457641321	48.0	2655.9	5.545	2608.0	Gb11	
7	Spectrogram 1	1	Abrolhos_24ago2013.mp3	86.827	86.827326397	91.868486528	69.8	2682.1	5.041	2612.3	Gb11	
8	Spectrogram 1	1	Abrolhos_24ago2013.mp3	92.305	92.305387073	96.539961583	52.3	2655.9	4.235	2603.6	Gb11	
9	Spectrogram 1	1	Abrolhos_24ago2013.mp3	96.883	96.883445528	101.218843241	87.2	2655.9	4.335	2568.7	Gb11	
10	Spectrogram 1	1	Abrolhos_24ago2013.mp3	101.521	101.521312849	105.789495094	61.1	2625.4	4.268	2564.4	Gb11	
11	Spectrogram 1	1	Abrolhos_24ago2013.mp3	106.226	106.226395638	111.704456314	69.8	2625.4	5.478	2555.6	Gb11	
12	Spectrogram 1	1	Abrolhos_24ago2013.mp3	112.024	112.024186541	115.922683709	65.4	2560.0	3.898	2494.6	Gb11	
13	Spectrogram 1	1	Abrolhos_24ago2013.mp3	116.192	116.191545583	120.661374233	100.3	2542.6	4.470	2442.2	Gb11	
14	Spectrogram 1	1	Abrolhos_24ago2013.mp3	120.930	120.930236106	133.331490029	48.0	2525.1	12.401	2477.1	Gb31	
15	Spectrogram 1	1	Abrolhos_24ago2013.mp3	133.836	133.835638554	138.708760014	78.5	2551.3	4.873	2472.8	Gb11	
16	Spectrogram 1	1	Abrolhos_24ago2013.mp3	139.213	139.212876027	144.287643893	39.3	2551.3	5.075	2512.0	Gb11	
17	Spectrogram 1	1	Abrolhos_24ago2013.mp3	144.758	144.758152171	149.866527771	56.7	2507.7	5.108	2451.0	Gb11	
18	Spectrogram 1	1	Abrolhos_24ago2013.mp3	150.169	150.168997379	154.840472434	39.3	2490.2	4.671	2451.0	Gb11	
19	Spectrogram 1	1	Abrolhos_24ago2013.mp3	155.268	155.267992135	159.401743442	113.4	2485.9	4.134	2372.5	Gb11	
20	Spectrogram 1	1	Abrolhos_24ago2013.mp3	160.074	160.073898127	166.627406297	56.7	2472.8	6.554	2416.1	Gb11	
21	Spectrogram 1	1	Abrolhos_24ago2013.mp3	167.031	167.030699108	171.971036036	48.0	2485.9	4.940	2437.9	Gb11	
22	Spectrogram 1	1	Abrolhos_24ago2013.mp3	172.408	172.407936581	176.944980699	43.6	2485.9	4.537	2442.2	Gb11	
23	Spectrogram 1	1	Abrolhos_24ago2013.mp3	177.449	177.449096712	181.145947475	69.8	2481.5	3.697	2411.7	Gb11	
24	Spectrogram 1	1	Abrolhos_24ago2013.mp3	181.751	181.750919203	186.792079334	56.7	2507.7	5.041	2451.0	Gb11	
25	Spectrogram 1	1	Abrolhos_24ago2013.mp3	187.296	187.296195347	192.202924541	74.1	2498.9	4.907	2424.8	Gb11	
26	Spectrogram 1	1	Abrolhos_24ago2013.mp3	192.741	192.740648289	197.781808420	74.1	2498.9	5.041	2424.8	Gb11	
27	Spectrogram 1	1	Abrolhos_24ago2013.mp3	198.223	198.222852515	220.672818967	82.9	2564.4	22.450	2481.5	Gb15	
28	Spectrogram 1	1	Abrolhos_24ago2013.mp3	224.386	224.386082032	228.990341619	21.8	2494.6	4.604	2472.8	As11	
29	Spectrogram 1	1	Abrolhos_24ago2013.mp3	230.167	230.166612316	235.577457524	17.4	2546.9	5.411	2529.5	As11	
30	Spectrogram 1	1	Abrolhos_24ago2013.mp3	236.384	236.384043145	241.492418744	13.1	2586.2	5.108	2573.1	As11	
