Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
1	Spectrogram 1	1	Praia do Forte_07out2013.mp3	0.639	0.638546950	5.646099347	43.6	2721.4	5.008	2677.7	Gb11	
2	Spectrogram 1	1	Praia do Forte_07out2013.mp3	6.251	6.251038563	12.132392049	52.3	2712.6	5.881	2660.3	Gb11	
3	Spectrogram 1	1	Praia do Forte_07out2013.mp3	12.435	12.434861657	17.375198586	78.5	2703.9	4.940	2625.4	Gb11	
4	Spectrogram 1	1	Praia do Forte_07out2013.mp3	17.711	17.711275928	22.954082464	52.3	2695.2	5.243	2642.9	Gb11	
5	Spectrogram 1	1	Praia do Forte_07out2013.mp3	23.458	23.458198477	28.163281266	13.1	2673.4	4.705	2660.3	Gb11	
6	Spectrogram 1	1	Praia do Forte_07out2013.mp3	28.499	28.499358609	37.573446845	26.2	2673.4	9.074	2647.2	Gm111	
7	Spectrogram 1	1	Praia do Forte_07out2013.mp3	38.127	38.127207587	43.269190921	43.6	2695.2	5.142	2651.6	As11	
8	Spectrogram 1	1	Praia do Forte_07out2013.mp3	44.244	44.243815213	48.848074799	0.0	2673.4	4.604	2673.4	As11	
9	Spectrogram 1	1	Praia do Forte_07out2013.mp3	49.621	49.621052686	54.326135475	0.0	2703.9	4.705	2703.9	As11	
10	Spectrogram 1	1	Praia do Forte_07out2013.mp3	55.032	55.031897894	60.341919898	26.2	2708.3	5.310	2682.1	As11	
11	Spectrogram 1	1	Praia do Forte_07out2013.mp3	60.924	60.923513051	64.721187017	0.0	2682.1	3.798	2682.1	Jb11	
12	Spectrogram 1	1	Praia do Forte_07out2013.mp3	65.293	65.292518498	69.291838869	0.0	2664.7	3.999	2664.7	Jb11	
13	Spectrogram 1	1	Praia do Forte_07out2013.mp3	69.527	69.527093008	73.089512834	34.9	2634.1	3.562	2599.2	Jb11	
14	Spectrogram 1	1	Praia do Forte_07out2013.mp3	74.756	74.756407333	78.923766375	0.0	2677.7	4.167	2677.7	Jb11	
15	Spectrogram 1	1	Praia do Forte_07out2013.mp3	80.234	80.234468009	83.696064633	0.0	2642.9	3.462	2642.9	Jb11	
16	Spectrogram 1	1	Praia do Forte_07out2013.mp3	84.402	84.401827051	87.594561801	17.4	2612.3	3.193	2594.9	Jb11	
17	Spectrogram 1	1	Praia do Forte_07out2013.mp3	88.779	88.779462725	92.073020678	0.0	2629.8	3.294	2629.8	Jb11	
18	Spectrogram 1	1	Praia do Forte_07out2013.mp3	92.947	92.946821767	96.273987454	0.0	2651.6	3.327	2651.6	Jb11	
19	Spectrogram 1	1	Praia do Forte_07out2013.mp3	96.812	96.811711201	100.071661419	0.0	2651.6	3.260	2651.6	Jb11	
20	Spectrogram 1	1	Praia do Forte_07out2013.mp3	100.307	100.306915559	103.802119916	0.0	2638.5	3.495	2638.5	Jb11	
21	Spectrogram 1	1	Praia do Forte_07out2013.mp3	104.306	104.306235929	108.070302161	0.0	2651.6	3.764	2651.6	Jb11	
22	Spectrogram 1	1	Praia do Forte_07out2013.mp3	108.724	108.724070794	115.109540294	17.4	2669.0	6.385	2651.6	Ec11	
23	Spectrogram 1	1	Praia do Forte_07out2013.mp3	115.688	115.687837554	132.357273721	87.2	2695.2	16.669	2608.0	Ec33	
24	Spectrogram 1	1	Praia do Forte_07out2013.mp3	132.986	132.986439828	149.050936779	13.1	2695.2	16.064	2682.1	Ec33	
25	Spectrogram 1	1	Praia do Forte_07out2013.mp3	149.454	149.454229589	169.013930899	91.6	2682.1	19.560	2590.5	Ec35	
26	Spectrogram 1	1	Praia do Forte_07out2013.mp3	170.009	170.008703389	185.569084328	48.0	2677.7	15.560	2629.8	Ec23	
27	Spectrogram 1	1	Praia do Forte_07out2013.mp3	186.611	186.610924088	200.188448708	74.1	2664.7	13.578	2590.5	Ec24	
28	Spectrogram 1	1	Praia do Forte_07out2013.mp3	200.845	200.845071917	216.607099260	122.1	2638.5	15.762	2516.4	Ec32	
29	Spectrogram 1	1	Praia do Forte_07out2013.mp3	216.936	216.936242842	251.451385874	65.4	2669.0	34.515	2603.6	Gb101	
30	Spectrogram 1	1	Praia do Forte_07out2013.mp3	252.028	252.028492515	256.531928899	69.8	2660.3	4.503	2590.5	Gb11	
31	Spectrogram 1	1	Praia do Forte_07out2013.mp3	257.103	257.103260380	261.841950904	34.9	2647.2	4.739	2612.3	Gb11	
