Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	2014.09.22_12.46.23.wav	13:01:22.267	899.267334635	904.761742000	35.1	2613.9	5.494	2578.8	50.6	Ar11	
2	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:01:32.137	905.137136292	910.836304181	21.9	2627.0	5.699	2605.1	50.5	Ar11	
3	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:01:38.178	911.177571719	916.706105838	17.5	2622.6	5.529	2605.1	50.5	Ar11	
4	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:01:45.310	918.310063268	924.111611418	17.5	2635.8	5.802	2618.3	48.7	Ar11	
5	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:01:51.555	924.555259218	930.766328414	13.2	2627.0	6.211	2613.9	49.5	Ar11	
6	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:01:58.368	931.367713160	936.657360003	30.7	2613.9	5.290	2583.2	50.9	Ar11	
7	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:02:04.737	937.736775371	943.299436244	78.9	2635.8	5.563	2556.9	50.5	Ar11	
8	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:02:11.187	944.186731844	950.022406747	26.3	2591.9	5.836	2565.6	50.9	Ar11	
9	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:02:17.978	950.977955854	956.881884266	26.3	2622.6	5.904	2596.3	51.5	Ar11	
10	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:02:24.564	957.564419342	963.161206969	30.7	2605.1	5.597	2574.4	52.3	Ar11	
11	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:02:31.390	964.389770107	970.634966057	43.9	2605.1	6.245	2561.2	50.9	Ar11	
12	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:02:38.506	971.505573660	977.750769610	30.7	2627.0	6.245	2596.3	50.7	Ar11	
13	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:02:45.570	978.569811702	984.439613359	30.7	2609.5	5.870	2578.8	50.3	Ar11	
14	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:02:52.293	985.292782205	991.162583863	43.9	2613.9	5.870	2570.0	50.4	Ar11	
15	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:02:58.947	991.947499201	998.738723211	30.7	2644.6	6.791	2613.9	50.0	Ar11	
16	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:03:06.692	999.692246622	1005.800935556	39.5	2622.6	6.109	2583.2	49.5	Ar11	
17	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:03:13.347	1006.346963618	1012.719058047	0.0	2591.9	6.372	2591.9	47.4	As11	
20	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:03:20.538	1013.538100139	1019.612662319	13.2	2596.3	6.075	2583.2	46.2	As11	
21	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:03:27.090	1020.090436873	1026.813407376	26.3	2574.4	6.723	2548.1	44.6	As11	
22	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:03:34.428	1027.427688945	1033.707011648	4.4	2587.6	6.279	2583.2	44.1	As11	
23	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:03:41.731	1034.730814263	1040.702996182	35.1	2591.9	5.972	2556.9	44.1	As11	
24	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:03:48.925	1041.924731467	1048.442941447	13.2	2570.0	6.518	2556.9	42.7	As11	
25	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:03:56.467	1049.466744062	1055.780193519	4.4	2587.6	6.313	2583.2	43.5	As11	
26	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:04:04.307	1057.307299560	1064.098523571	13.2	2613.9	6.791	2600.7	44.9	As11	
27	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:04:11.610	1064.610424878	1069.865944967	0.0	2618.3	5.256	2618.3	42.9	As11	
28	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:04:17.787	1070.787367320	1075.462732594	13.2	2605.1	4.675	2591.9	44.1	Jb11	
29	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:04:23.758	1076.757523543	1081.671776093	26.3	2622.6	4.914	2596.3	45.2	Jb11	
30	Spectrogram 1	1	2014.09.22_13.01.27.wav	13:04:31.377	1084.377393957	1088.677364939	26.3	2613.9	4.300	2587.6	46.3	Jb11	
