Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Category	Comment
1	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:55:58.7527	1547.752732681	1552.627247008	39.500	2618.300	4.8745	2578.800	-60.04	Ar11	
2	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:04.1581	1553.158134708	1558.129174071	48.200	2618.300	4.9710	2570.100	-58.50	Ar11	
3	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:11.0114	1560.011412277	1564.789401569	39.500	2600.700	4.7780	2561.200	-59.84	Ar11	
4	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:16.2720	1565.272026750	1570.436116186	57.000	2596.300	5.1641	2539.300	-58.92	Ar11	
5	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:22.2566	1571.256578994	1576.661981021	52.600	2556.900	5.4054	2504.300	-59.46	Ar11	
6	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:28.5790	1577.578968864	1583.322208518	43.900	2548.100	5.7432	2504.200	-59.28	Ar11	
7	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:34.5430	1583.542966334	1589.286205987	35.100	2526.200	5.7432	2491.100	-58.78	Ar11	
8	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:40.7206	1589.720568650	1595.077708159	43.900	2548.100	5.3571	2504.200	-61.11	Ar11	
9	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:47.1877	1596.187746075	1602.027510765	48.200	2574.400	5.8398	2526.200	-61.41	Ar11	
10	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:53.8962	1602.896236091	1608.012063009	57.000	2583.200	5.1158	2526.200	-59.62	Ar11	
11	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:56:59.3544	1608.354415714	1615.014643211	57.000	2561.200	6.6602	2504.200	-60.66	Ar11	
12	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:57:06.8351	1615.835106019	1621.337033082	30.700	2605.100	5.5019	2574.400	-60.91	Ar11	
13	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:57:13.2540	1622.254020925	1628.190310651	43.900	2596.300	5.9363	2552.400	-61.06	Ar11	
14	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:57:19.9625	1628.962510941	1634.512700522	8.800	2552.500	5.5502	2543.700	-62.62	Ar11	
15	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:57:26.2366	1635.236638293	1640.593777802	0.000	2587.600	5.3571	2587.600	-60.41	Ar11	
16	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:57:32.6556	1641.655553200	1647.977943071	17.500	2600.700	6.3224	2583.200	-62.25	Ar11	
17	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:57:39.3910	1648.390990604	1653.362029968	30.700	2600.700	4.9710	2570.000	-59.43	Ar11	
18	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:57:45.3755	1654.375542848	1660.118782502	35.100	2583.200	5.7432	2548.100	-60.56	Ar11	
19	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:57:51.9392	1660.939245309	1666.730747481	43.900	2587.600	5.7915	2543.700	-61.33	Ar11	
20	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:57:58.2134	1667.213372662	1672.522249653	43.900	2583.200	5.3089	2539.300	-60.53	Ar11	
21	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:58:04.7771	1673.777075123	1678.410276860	30.700	2605.100	4.6332	2574.400	-60.02	Ar11	
22	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:58:10.2790	1679.279002186	1684.925716803	26.300	2618.300	5.6467	2592.000	-61.03	Ar11	
23	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:58:16.4577	1685.457721334	1691.297486024	52.600	2596.300	5.8398	2543.700	-62.37	Ar11	
24	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:58:23.1662	1692.166211350	1697.378563304	61.400	2587.600	5.2124	2526.200	-60.60	Ar11	
25	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:58:29.1508	1698.150763593	1704.569678500	48.200	2596.300	6.4189	2548.100	-60.44	Ar11	
26	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:58:36.0523	1705.052303681	1710.119868081	26.300	2587.600	5.0676	2561.300	-60.88	Ar11	
27	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:58:41.6025	1710.602493262	1716.007895289	43.900	2618.300	5.4054	2574.400	-61.55	Ar11	
28	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:58:47.9731	1716.973145651	1722.282022642	8.800	2622.600	5.3089	2613.800	-68.35	As11	
29	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:58:54.3232	1723.323243265	1729.307795509	26.300	2530.500	5.9846	2504.200	-66.92	As11	
30	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:59:00.8387	1729.838683209	1735.919760489	26.300	2526.200	6.0811	2499.900	-66.23	As11	
31	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:59:07.4506	1736.450648188	1742.049100287	8.800	2456.000	5.5985	2447.200	-66.66	As11	
32	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:59:13.9661	1742.966088131	1749.143690447	17.500	2438.400	6.1776	2420.900	-67.04	As11	
33	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:59:20.6513	1749.651325104	1755.635877348	26.300	2517.400	5.9846	2491.100	-68.10	As11	
34	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:59:27.4563	1756.456340156	1762.247842327	13.200	2526.200	5.7915	2513.000	-67.24	As11	
35	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:59:34.1166	1763.116567653	1768.570232198	30.700	2526.200	5.4537	2495.500	-67.31	As11	
36	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:59:40.1179	1769.117872546	1774.137174429	35.100	2438.400	5.0193	2403.300	-67.28	Jb11	
37	Spectrogram 1	1	2014.10.01_07.45.11.wav	7:59:45.8128	1774.812849682	1778.673851130	21.900	2447.200	3.8610	2425.300	-65.83	Jb11	
