Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	2015_09_20_6_55_02.wav	6:59:46.072	884.071607488	890.780097503	61.4	2644.6	6.708	2583.2	50.4	Bl111	
2	Spectrogram 1	1	2015_09_20_6_55_02.wav	6:59:53.504	891.504035274	897.874687663	39.5	2613.9	6.371	2574.4	52.7	Bl111	
3	Spectrogram 1	1	2015_09_20_6_55_02.wav	7:00:01.033	899.032988097	905.500165522	43.9	2561.2	6.467	2517.4	52.7	Bl111	
4	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:00:08.465	906.465415884	912.305180574	70.2	2561.2	5.840	2491.1	51.7	Bl111	
5	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:00:14.884	912.884330791	919.592820807	30.7	2574.4	6.708	2543.7	51.5	Bl111	
6	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:00:22.413	920.413283614	926.397835858	17.5	2574.4	5.985	2556.9	52.9	Bl111	
7	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:00:29.679	927.678730215	933.615019941	61.4	2473.5	5.936	2412.1	54.3	Bl111	
8	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:00:36.677	934.676795339	941.095710246	48.2	2473.5	6.419	2425.3	53.4	Bl111	
9	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:00:43.868	941.867910535	947.948987815	70.2	2482.3	6.081	2412.1	53.6	Bl111	
10	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:00:51.576	949.575917431	955.077844494	30.7	2618.3	5.502	2587.6	54.5	Bl111	
11	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:00:58.236	956.236144928	962.558534799	65.8	2513.0	6.322	2447.2	55.1	Bl111	
12	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:01:05.669	963.668572715	969.508337404	13.2	2521.8	5.840	2508.6	55.1	Bl111	
13	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:01:12.570	970.570112803	976.747715119	35.1	2434.1	6.178	2399.0	54.4	Bl111	
14	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:01:20.244	978.243853180	983.552730171	39.5	2420.9	5.309	2381.4	55.6	Bl111	
15	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:01:27.084	985.084252753	990.972279961	39.5	2355.1	5.888	2315.6	54.1	Bl111	
16	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:01:34.131	992.130580395	997.922082567	21.9	2372.7	5.792	2350.7	53.3	Bl111	
17	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:01:40.984	998.983857965	1004.727097618	39.5	2284.9	5.743	2245.5	55.2	Bl111	
18	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:01:48.223	1006.223235679	1011.869950297	30.7	2241.1	5.647	2210.4	55.8	Bl111	
19	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:01:55.366	1013.366088358	1019.157590529	26.3	2245.5	5.792	2219.2	56.8	Bl111	
20	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:02:02.605	1020.605466072	1026.638280834	21.9	2236.7	6.033	2214.8	54.1	Bl111	
21	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:02:09.868	1027.867514268	1033.755541476	57.0	2258.6	5.888	2201.6	56.8	Bl111	
22	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:02:17.107	1035.106891982	1040.850131636	43.9	2271.8	5.743	2227.9	55.2	Bl111	
23	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:02:23.815	1041.815381998	1047.944721796	17.5	2306.9	6.129	2289.3	56.0	Bl111	
24	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:02:30.862	1048.861709640	1054.653211811	17.5	2302.5	5.792	2284.9	55.7	Bl111	
25	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:02:38.111	1056.111401606	1062.144216368	26.3	2289.3	6.033	2263.0	57.1	Bl111	
26	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:02:45.254	1063.254254285	1069.287069047	21.9	2289.3	6.033	2267.4	56.2	Bl111	
27	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:02:52.445	1070.445369481	1076.526446761	43.9	2267.4	6.081	2223.5	53.8	Bl111	
28	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:02:59.878	1077.877797268	1083.427986849	39.5	2276.2	5.550	2236.7	53.9	Bl111	
29	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:03:06.389	1084.389317039	1089.842981583	30.7	2232.3	5.454	2201.6	56.3	Bl111	
30	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:03:13.050	1091.049544536	1097.564984479	21.9	2241.1	6.515	2219.2	54.3	Bl111	
31	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:03:20.385	1098.385447287	1103.501274205	74.6	2328.8	5.116	2254.2	49.2	Ar11	
32	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:03:26.660	1104.659574639	1109.823664075	8.8	2342.0	5.164	2333.2	49.0	Ar11	
33	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:03:32.210	1110.209764220	1115.229066102	26.3	2306.9	5.019	2280.6	49.1	Ar11	
34	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:03:38.478	1116.478027446	1121.207754220	30.7	2258.6	4.730	2227.9	49.5	Ar11	
35	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:03:43.586	1121.586416400	1125.447417848	17.5	2324.4	3.861	2306.9	47.4	Ka11	
36	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:03:47.869	1125.869304895	1133.494782754	17.5	2377.0	7.625	2359.5	47.6	Gj111	
37	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:03:55.784	1133.784357863	1139.817172625	8.8	2350.7	6.033	2342.0	48.7	Gj111	
38	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:02.348	1140.348060324	1146.380875086	35.1	2249.9	6.033	2214.8	49.0	Gj111	
39	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:09.057	1147.056550339	1153.475465246	21.9	2210.4	6.419	2188.5	49.3	Gj111	
40	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:15.910	1153.909827909	1159.990905189	26.3	2214.8	6.081	2188.5	48.8	Gj111	
41	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:22.912	1160.912409092	1167.379586517	26.3	2201.6	6.467	2175.3	47.8	Gj111	
42	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:29.837	1167.837379678	1172.374056379	26.3	2219.2	4.537	2192.8	47.4	Kb11	
43	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:34.760	1172.760156524	1177.634670852	26.3	2416.5	4.875	2390.2	49.8	Kb11	
44	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:41.034	1179.034283877	1184.198373313	21.9	2328.8	5.164	2306.9	48.7	Kb11	
45	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:47.115	1185.115361157	1190.231188075	39.5	2359.5	5.116	2320.0	49.0	Kb11	
46	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:52.859	1190.858600810	1196.553577946	35.1	2390.2	5.695	2355.1	47.2	Kb11	
47	Spectrogram 1	1	2015_09_20_7_00_02.wav	7:04:59.229	1197.229253199	1202.055505009	21.9	2390.2	4.826	2368.3	47.8	Kb11	
48	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:05:04.490	1202.489867672	1208.136582289	17.5	2403.4	5.647	2385.8	47.4	Kb11	
49	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:05:10.669	1208.668587817	1213.880939771	35.1	2381.4	5.212	2346.3	49.0	Kb11	
50	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:05:16.460	1214.460089988	1219.913754533	30.7	2381.4	5.454	2350.7	50.4	Kb11	
51	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:05:22.927	1220.927267413	1226.139619368	21.9	2390.2	5.212	2368.3	51.3	Kb11	
52	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:05:28.477	1226.477456994	1232.172434130	35.1	2372.7	5.695	2337.6	48.3	Kb11	
53	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:05:35.282	1233.282472046	1239.025711700	52.6	2363.9	5.743	2311.3	45.8	Kb11	
54	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:05:43.054	1241.053735902	1245.928250229	21.9	2100.7	4.875	2078.8	51.5	Kb11	
55	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:05:48.845	1246.845238073	1251.671489883	35.1	2210.4	4.826	2175.3	53.6	Kb11	
56	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:05:54.830	1252.829790317	1258.138667308	39.5	2214.8	5.309	2175.3	53.6	Kb11	
57	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:00.911	1258.910867597	1264.074957034	4.4	2214.8	5.164	2210.4	54.7	Kb11	
58	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:06.794	1264.794095054	1269.620346863	13.2	2223.5	4.826	2210.4	52.6	Kb11	
59	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:12.103	1270.102972044	1274.012236010	0.0	2276.2	3.909	2276.2	53.4	Kb11	
60	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:16.447	1274.446598673	1278.500650193	4.4	2223.5	4.054	2219.2	51.0	Kb11	
61	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:21.880	1279.879589621	1283.547540996	35.1	2162.1	3.668	2127.1	52.6	Kb11	
62	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:26.995	1284.995416539	1289.194255613	43.9	2096.4	4.199	2052.5	50.6	Kb11	
63	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:31.773	1289.773405830	1293.055257061	39.5	2035.0	3.282	1995.5	51.6	Kb11	
64	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:35.634	1293.634407278	1297.447146208	39.5	2026.2	3.813	1986.7	52.5	Kb11	
65	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:40.750	1298.750234196	1302.900810753	17.5	2021.8	4.151	2004.3	51.8	Kb11	
66	Spectrogram 1	1	2015_09_20_7_05_02.wav	7:06:45.750	1303.749742060	1308.093368689	43.9	2017.4	4.344	1973.6	52.3	Kb11	
