Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
1	Spectrogram 1	1	Guigo1_0117.wav	161.647	161.647162683	166.635951574	8.1	4161.4	4.989	4153.2	Ee11	
2	Spectrogram 1	1	Guigo1_0117.wav	168.374	168.373619615	172.297386158	24.4	4177.6	3.924	4153.2	Ee11	
3	Spectrogram 1	1	Guigo1_0117.wav	172.578	172.577655197	175.828776048	56.9	4145.1	3.251	4088.2	Ee11	
4	Spectrogram 1	1	Guigo1_0117.wav	177.342	177.342228857	182.331017748	65.0	4145.1	4.989	4080.1	Ee11	
5	Spectrogram 1	1	Guigo1_0117.wav	183.901	183.900524366	187.712183294	48.8	4104.5	3.812	4055.7	Ee11	
6	Spectrogram 1	1	Guigo1_0117.wav	188.945	188.945367065	191.972272684	0.0	4104.5	3.027	4104.5	Ee11	
7	Spectrogram 1	1	Guigo1_0117.wav	193.093	193.093348840	196.961061576	48.8	4128.9	3.868	4080.1	Ee11	
8	Spectrogram 1	1	Guigo1_0117.wav	199.708	199.707698156	203.407249469	0.0	4088.2	3.700	4088.2	Ee11	
9	Spectrogram 1	1	Guigo1_0117.wav	204.230	204.229924528	207.424991571	24.4	4112.6	3.195	4088.2	Ee11	
10	Spectrogram 1	1	Guigo1_0117.wav	208.770	208.770282957	213.759071848	16.3	4055.7	4.989	4039.4	Ee12	
11	Spectrogram 1	1	Guigo1_0117.wav	214.712	214.711986580	218.859968355	0.0	4088.2	4.148	4088.2	Ee11	
12	Spectrogram 1	1	Guigo1_0117.wav	219.589	219.588667856	222.167143013	0.0	4120.7	2.578	4120.7	Ee11	
13	Spectrogram 1	1	Guigo1_0117.wav	222.832	222.832431998	270.702383831	97.5	4096.3	47.870	3998.8	Ia10	
14	Spectrogram 1	1	Guigo1_0117.wav	271.939	271.939400939	280.571687335	113.8	4112.6	8.632	3998.8	Be11	
15	Spectrogram 1	1	Guigo1_0117.wav	281.412	281.412494451	289.035812308	146.3	4104.5	7.623	3958.2	Be11	
16	Spectrogram 1	1	Guigo1_0117.wav	290.381	290.381103694	298.452852012	105.7	4112.6	8.072	4006.9	Be11	
17	Spectrogram 1	1	Guigo1_0117.wav	299.316	299.316141462	306.547082664	154.4	4072.0	7.231	3917.5	Be11	
18	Spectrogram 1	1	Guigo1_0117.wav	307.836	307.836320242	315.179369060	97.5	4080.1	7.343	3982.6	Be11	
19	Spectrogram 1	1	Guigo1_0117.wav	316.904	316.903878440	323.013743486	56.9	4080.1	6.110	4023.2	Be11	
21	Spectrogram 1	1	Guigo1_0117.wav	323.798	323.798496795	330.076523265	73.1	4031.3	6.278	3958.2	Be11	
22	Spectrogram 1	1	Guigo1_0117.wav	331.366	331.365760843	337.307464467	73.1	4096.3	5.942	4023.2	Be11	
23	Spectrogram 1	1	Guigo1_0117.wav	338.260	338.260379199	344.314190438	65.0	4088.2	6.054	4023.2	Be11	
24	Spectrogram 1	1	Guigo1_0117.wav	346.185	346.184791779	353.303625365	56.9	4063.8	7.119	4006.9	Bf111	
25	Spectrogram 1	1	Guigo1_0117.wav	353.864	353.864163443	358.572683295	0.0	4055.7	4.709	4055.7	Bf111	
26	Spectrogram 1	1	Guigo1_0117.wav	360.198	360.198243720	366.980754460	0.0	4128.9	6.783	4128.9	Bf111	
27	Spectrogram 1	1	Guigo1_0117.wav	368.606	368.606314885	373.819319008	97.5	4006.9	5.213	3909.4	Bf111	
28	Spectrogram 1	1	Guigo1_0117.wav	375.221	375.220664202	381.835013518	65.0	4088.2	6.614	4023.2	Bf111	
29	Spectrogram 1	1	Guigo1_0117.wav	382.844	382.843671079	389.065643741	56.9	4128.9	6.222	4072.0	Be11	
30	Spectrogram 1	1	Guigo1_0117.wav	390.691	390.691204166	396.857123021	16.3	4161.4	6.166	4145.1	Be11	
31	Spectrogram 1	1	Guigo1_0117.wav	398.763	398.762952485	405.265194186	24.4	4112.6	6.502	4088.2	Be11	
32	Spectrogram 1	1	Guigo1_0117.wav	406.723	406.722593188	412.944565850	0.0	4104.5	6.222	4104.5	Be11	
33	Spectrogram 1	1	Guigo1_0117.wav	414.703	414.703059575	421.093193661	32.5	4088.2	6.390	4055.7	Be11	
34	Spectrogram 1	1	Guigo1_0117.wav	423.335	423.335345971	429.445211018	0.0	4055.7	6.110	4055.7	Be11	
35	Spectrogram 1	1	Guigo1_0117.wav	431.239	431.238932867	437.124582682	73.1	4023.2	5.886	3950.0	Be11	
36	Spectrogram 1	1	Guigo1_0117.wav	439.367	439.366734993	445.196331000	48.8	3990.7	5.830	3941.9	Be11	
37	Spectrogram 1	1	Guigo1_0117.wav	447.547	447.547378884	453.096705853	16.3	4080.1	5.549	4063.8	Be11	
38	Spectrogram 1	1	Guigo1_0117.wav	453.699	453.699310172	461.939219914	48.8	4023.2	8.240	3974.4	Df11	
39	Spectrogram 1	1	Guigo1_0117.wav	463.285	463.284511300	470.067022040	0.0	4039.4	6.783	4039.4	Df11	
40	Spectrogram 1	1	Guigo1_0117.wav	471.356	471.356259619	479.315900321	56.9	4137.0	7.960	4080.1	Df11	
42	Spectrogram 1	1	Guigo1_0117.wav	694.008	694.008295276	697.539685165	0.0	4079.8	3.531	4079.8	Ee11	
43	Spectrogram 1	1	Guigo1_0117.wav	697.988	697.988115628	700.958967439	48.9	4047.2	2.971	3998.3	Ee11	
44	Spectrogram 1	1	Guigo1_0117.wav	703.033	703.032958327	707.012778678	57.0	4079.8	3.980	4022.8	Ee11	
45	Spectrogram 1	1	Guigo1_0117.wav	710.096	710.095738105	712.954482301	0.0	4071.6	2.859	4071.6	Ee11	
46	Spectrogram 1	1	Guigo1_0117.wav	713.403	713.402912763	716.654033614	57.0	3949.5	3.251	3892.5	Ee11	
47	Spectrogram 1	1	Guigo1_0117.wav	719.289	719.288562579	722.819952468	24.4	4055.3	3.531	4030.9	Ee11	
