Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	51.527	51.526851013	62.379158729	52.5	2605.2	10.852	2552.7	77.2	Df11	
2	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	63.062	63.061693805	74.562409844	21.9	2574.6	11.501	2552.7	76.8	Df11	
3	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	76.345	76.345345920	87.265907143	0.0	2596.4	10.921	2596.4	76.4	Df11	
4	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	88.153	88.153202742	98.084088105	35.0	2574.6	9.931	2539.5	75.6	Df11	
5	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	99.825	99.824552550	108.253860744	83.2	2583.3	8.429	2500.1	73.9	Df11	
6	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	108.925	108.924517803	117.797473797	43.8	2574.6	8.873	2530.8	74.7	Df11	
7	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	119.094	119.094290442	126.875190314	26.3	2578.9	7.781	2552.7	77.9	Df11	
8	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	127.933	127.933119682	137.249723476	13.1	2592.1	9.317	2578.9	78.4	Df11	
9	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	138.245	138.244710036	147.800201106	35.0	2596.4	9.555	2561.4	79.7	Df11	
10	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	148.687	148.687496705	158.720762330	52.5	2583.3	10.033	2530.8	80.3	Df11	
11	Spectrogram 1	1	Canto_6681_2016_Itacare_Excelente.wav	159.142	159.142167010	168.015123004	61.3	2596.4	8.873	2535.1	79.8	Df11	
