Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	2.355	2.354746014	14.947518175	39.3	2601.0	12.593	2561.8	68.2	Df11	
2	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	16.176	16.176081312	27.028389028	0.0	2596.7	10.852	2596.7	74.2	Df11	
3	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	27.950	27.949811381	37.607682713	43.6	2618.5	9.658	2574.9	67.4	Df11	
4	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	39.445	39.444968767	47.259995392	17.5	2609.8	7.815	2592.3	73.2	Df11	
5	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	48.284	48.283798007	57.429768032	52.4	2592.3	9.146	2539.9	66.4	Df11	
6	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	58.556	58.555950908	66.917005595	122.2	2557.4	8.361	2435.2	69.1	Df11	
7	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	68.203	68.203459865	76.905782090	69.8	2592.3	8.702	2522.5	71.8	Df11	
8	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	78.237	78.236725489	87.450949022	34.9	2583.6	9.214	2548.7	73.8	Df11	
9	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	88.458	88.457816326	97.399025828	8.7	2561.8	8.941	2553.0	75.9	Df11	
10	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	99.310	99.310124042	107.705305482	74.2	2605.4	8.395	2531.2	72.7	Df11	
11	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	109.307	109.307496424	117.634424356	104.7	2587.9	8.327	2483.2	73.5	Df11	
12	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	118.931	118.931241002	127.804196996	26.2	2601.0	8.873	2574.9	73.9	Df11	
13	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	129.033	129.032760133	137.359688066	100.4	2596.7	8.327	2496.3	72.2	Df11	
14	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	138.895	138.895391988	146.642165106	65.5	2596.7	7.747	2531.2	72.6	Df11	
15	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	148.809	148.808584218	155.565681475	43.6	2609.8	6.757	2566.1	73.1	Df11	
16	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	157.477	157.476779689	165.360059823	74.2	2579.2	7.883	2505.0	70.0	Df11	
17	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	166.703	166.702633286	175.131941480	48.0	2605.4	8.429	2557.4	71.6	Df11	
18	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	176.156	176.155744095	184.107277736	17.5	2592.3	7.952	2574.9	75.6	Df11	
19	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	185.634	185.633630841	193.994685527	87.1	2627.3	8.361	2540.1	69.4	Df11	
20	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	195.292	195.291502173	204.676359474	21.8	2609.9	9.385	2588.1	70.1	Df11	
21	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	206.076	206.075556381	214.880258867	74.1	2601.1	8.805	2527.1	67.5	Df11	
22	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	215.859	215.859318783	224.425133992	43.6	2570.6	8.566	2527.1	66.5	Df11	
23	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	226.006	226.005836911	234.093877567	74.1	2601.1	8.088	2527.1	67.2	Df11	
24	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	235.118	235.117680181	241.908904192	82.8	2622.9	6.791	2540.1	65.1	Df11	
25	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	242.557	242.557312515	246.925537004	39.2	2601.1	4.368	2561.9	63.4	Ef11	
26	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	247.199	247.198551035	251.942169816	61.0	2640.4	4.744	2579.4	64.9	Ef11	
27	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	252.454	252.454071124	257.231816659	78.4	2618.6	4.778	2540.1	65.6	Ef11	
28	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	258.830	258.830469007	262.584411927	21.8	2627.3	3.754	2605.5	70.6	Ef11	
29	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	262.926	262.925679465	267.123270186	56.6	2605.5	4.198	2548.9	65.6	Ef11	
30	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	268.795	268.795481123	272.958945089	39.2	2548.9	4.163	2509.6	65.4	Ef11	
31	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	273.232	273.231959120	278.350972193	61.0	2601.1	5.119	2540.1	64.9	Ef11	
32	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	280.262	280.262070408	284.425534374	52.3	2570.6	4.163	2518.4	68.0	Ef11	
33	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	284.770	284.769836090	288.865046549	4.4	2588.1	4.095	2583.7	75.0	Ef11	
34	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	290.810	290.810271517	294.222946899	8.7	2579.4	3.413	2570.6	75.0	Ef11	
35	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	301.037	301.036641454	304.995344897	21.8	2614.2	3.959	2592.4	72.4	Ef11	
36	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	305.234	305.234232174	308.749287818	0.0	2588.1	3.515	2588.1	74.5	Ee11	
37	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	309.091	309.090555356	313.015132046	0.0	2579.4	3.925	2579.4	72.5	Ee11	
38	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	314.448	314.448455706	318.373032396	0.0	2575.0	3.925	2575.0	70.4	Ee11	
39	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	318.748	318.748426688	321.615074009	82.8	2579.4	2.867	2496.6	62.5	Ee11	
40	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	323.833	323.833313008	328.099157236	47.9	2609.9	4.266	2561.9	67.2	Ee11	
41	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	330.795	330.795170788	334.514986955	74.1	2579.4	3.720	2505.3	67.3	Ee11	
42	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	294.484	294.484304720	299.432684024	0.0	2605.5	4.948	2605.5	72.6	Ef11	
43	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	334.913	334.912629818	338.666572738	108.9	2570.6	3.754	2461.7	67.5	Ee11	
44	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	341.533	341.533220060	346.174458580	0.0	2592.4	4.641	2592.4	70.8	Ee11	
45	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	348.802	348.802218624	355.081541327	39.2	2561.9	6.279	2522.7	66.7	Ee12	
46	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	356.139	356.139473422	377.946469115	187.4	2622.9	21.807	2435.6	61.9	Ia3	
47	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	379.823	379.823440576	389.071790862	169.9	2575.0	9.248	2405.1	61.3	Be11	
48	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	390.983	390.982888933	397.569352421	113.3	2588.1	6.586	2474.8	64.6	Be11	
49	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	400.538	400.538380004	406.988336476	130.7	2535.8	6.450	2405.1	65.3	Be11	
50	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	409.002	409.001814952	415.963672732	165.6	2557.6	6.962	2392.0	64.2	Be11	
51	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	418.591	418.591432776	425.041389249	230.9	2492.2	6.450	2261.3	66.5	Be11	
52	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	426.794	426.793737329	435.157068043	87.1	2505.3	8.363	2418.1	63.2	Bq1111	
54	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	435.703	435.703096104	442.391939854	82.8	2553.2	6.689	2470.4	64.8	Bq1211	
55	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	443.177	443.176855192	452.152191447	69.7	2588.1	8.975	2518.4	65.8	Bq1211	
56	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	453.313	453.312501077	460.991020687	122.0	2575.0	7.679	2453.0	65.1	Bq1211	
57	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	463.630	463.630410632	471.957338564	26.1	2592.4	8.327	2566.3	66.1	Bq1111	
58	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	472.674	472.674000395	480.796167805	100.2	2609.9	8.122	2509.6	63.3	Bq1111	
59	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	482.700	482.700442238	490.413088602	52.3	2570.6	7.713	2518.4	64.2	Bq1111	
60	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	492.973	492.972595139	499.934452919	34.9	2505.3	6.962	2470.4	64.7	Bq1111	
61	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	501.394	501.394321730	509.960136940	91.5	2492.2	8.566	2400.7	61.6	Bq1111	
62	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	511.189	511.188700078	518.696585919	47.9	2544.5	7.508	2496.6	62.1	Bq1111	
63	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	521.243	521.242695903	528.545821221	0.0	2566.3	7.303	2566.3	69.6	Bq1111	
64	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	530.389	530.388665928	538.852100876	43.6	2592.4	8.463	2548.9	58.2	Bq1111	
65	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	540.699	540.699244724	548.582524857	82.8	2561.9	7.883	2479.1	58.5	Bq1111	
66	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	551.347	551.346791917	558.854677758	65.4	2457.4	7.508	2392.0	60.2	Bq1111	
67	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	560.599	560.598733139	568.516140026	78.4	2544.5	7.917	2466.1	60.3	Df21	
68	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	570.939	570.939139547	580.323996849	91.5	2522.7	9.385	2431.2	59.9	Df11	
69	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	581.176	581.175903457	589.434577882	74.1	2570.6	8.259	2496.6	58.3	Df11	
70	Spectrogram 1	1	Itacare_21Set2016_tk3.wav	591.619	591.618690127	600.150378583	43.6	2596.8	8.532	2553.2	59.8	Df11	
