Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	0.241	0.241312590	11.052116644	17.5	2618.5	10.811	2601.0	140.2	Bn12	
2	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	12.886	12.886092332	25.675659627	17.5	2539.9	12.790	2522.4	139.8	Bn12	
3	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	26.930	26.930485098	42.567540961	0.0	2601.0	15.637	2601.0	139.4	Bm14	
7	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	43.853	43.852600026	57.028267466	17.5	2605.4	13.176	2587.9	139.7	Bm14	
4	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	58.959	58.958768190	72.713585848	13.1	2592.3	13.755	2579.2	140.1	Bm14	
5	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	74.548	74.547561535	88.157591638	69.8	2592.3	13.610	2522.5	140.4	Bm13	
6	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	89.268	89.267629555	102.395034477	30.5	2609.8	13.127	2579.3	140.3	Bm13	
8	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	103.590	103.589610122	115.896552237	34.9	2631.6	12.307	2596.7	135.5	Gc22	
9	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	116.669	116.668752526	128.155231833	26.2	2622.9	11.486	2596.7	137.4	Gc22	
10	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	130.037	130.037470039	141.186111719	4.4	2601.0	11.149	2596.6	139.5	Gc23	
11	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	143.675	143.675214314	155.547793765	21.8	2596.7	11.873	2574.9	139.0	Gc24	
12	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	156.754	156.754356718	169.350873941	48.0	2596.7	12.597	2548.7	139.0	Gc24	
13	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	171.153	171.153464917	182.302106598	8.7	2609.8	11.149	2601.1	138.2	Bb14	
14	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	183.961	183.960668520	194.916260128	113.5	2618.5	10.956	2505.0	140.2	Bo13	
15	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	196.943	196.943285888	209.105440448	87.3	2596.7	12.162	2509.4	138.3	Bo16	
16	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	211.277	211.276617049	222.907883910	126.6	2609.8	11.631	2483.2	131.4	Bo19	
59	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	224.232	224.231721164	240.817323522	100.4	2592.3	16.586	2491.9	134.0	Bp171	
18	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	241.639	241.639146219	259.885655423	78.6	2601.0	18.247	2522.4	135.4	Bp162	
19	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	261.430	261.430056002	275.812286395	82.9	2601.0	14.382	2518.1	138.7	Bh12	
20	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	276.536	276.536224166	289.615366570	61.1	2614.1	13.079	2553.0	142.4	Bh12	
21	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	291.622	291.621608107	304.507700439	74.2	2614.1	12.886	2539.9	143.9	Bh12	
22	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	306.583	306.582988717	319.662131121	13.1	2614.1	13.079	2601.0	143.4	Bh12	
23	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	321.795	321.795123243	334.729478093	56.7	2609.8	12.934	2553.1	139.2	Bh12	
24	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	336.660	336.659978817	349.835646257	0.0	2618.5	13.176	2618.5	137.0	Bh12	
25	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	351.985	351.985272089	365.160939530	34.9	2609.8	13.176	2574.9	136.0	Bn12	
26	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	366.850	366.850127663	381.425408128	52.4	2592.3	14.575	2539.9	128.5	Bn12	
27	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	381.895	381.895043230	395.263760743	52.4	2622.9	13.369	2570.5	118.6	Bn12	
28	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	397.243	397.242523985	411.093866679	26.2	2579.2	13.851	2553.0	125.2	Bn12	
29	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	412.397	412.396954667	424.848684336	56.7	2592.3	12.452	2535.6	125.5	Bn12	
30	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	428.350	428.349783509	441.670238503	65.5	2605.4	13.320	2539.9	122.7	Bn12	
31	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	442.829	442.828538938	458.079494656	8.7	2601.0	15.251	2592.3	133.4	Bn12	
32	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	459.597	459.596546947	471.613913953	34.9	2579.2	12.017	2544.3	122.6	Bn12	
33	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	565.696	565.695693396	575.396459533	56.7	2605.4	9.701	2548.7	123.3	Gc22	
34	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	577.520	577.520010329	590.599152734	8.7	2601.0	13.079	2592.3	134.5	Gc23	
35	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	591.661	591.660928132	602.664782258	30.5	2609.8	11.004	2579.3	127.1	Gc23	
36	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	604.241	604.241055392	615.920584772	56.7	2605.4	11.680	2548.7	126.5	Gc23	
37	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	617.706	617.706297941	630.447602719	61.1	2618.5	12.741	2557.4	126.9	Bb15	
38	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	631.944	631.943740552	644.250682667	61.1	2609.8	12.307	2548.7	126.7	Bb15	
39	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	646.053	646.053151682	659.470131713	61.1	2596.7	13.417	2535.6	130.3	Bc12	
40	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	661.738	661.738470063	675.396762685	52.4	2587.9	13.658	2535.5	129.0	Bc12	
41	Spectrogram 1	1	18Out17_Abrolhos_STE-006.wav	676.786	676.785783092	690.299288159	0.0	2618.5	13.514	2618.5	133.6	Bc12	
