Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	2018_08_13_14_37_54.wav	5739.219	5739.218937720	5744.167317025	47.6	2376.5	4.948	2328.9	66.6	At12	
2	Spectrogram 1	1	2018_08_13_14_37_54.wav	5744.747	5744.747471840	5752.801385742	82.2	2380.8	8.054	2298.6	62.1	At12	
3	Spectrogram 1	1	2018_08_13_14_37_54.wav	5754.132	5754.132329141	5761.162440429	51.9	2203.3	7.030	2151.4	63.6	At12	
4	Spectrogram 1	1	2018_08_13_14_37_54.wav	5761.501	5761.500925760	5767.507234433	34.6	2272.6	6.006	2238.0	65.8	At13	
5	Spectrogram 1	1	2018_08_13_14_37_54.wav	5767.883	5767.882628725	5774.946866766	47.6	2268.3	7.064	2220.6	64.3	At12	
6	Spectrogram 1	1	2018_08_13_14_37_54.wav	5776.653	5776.653204457	5783.853949514	43.3	2250.9	7.201	2207.7	64.2	At12	
7	Spectrogram 1	1	2018_08_13_14_37_54.wav	5784.229	5784.228837455	5790.201019374	39.0	2363.5	5.972	2324.5	64.9	At12	
8	Spectrogram 1	1	2018_08_13_14_37_54.wav	5790.474	5790.474033405	5795.763680247	47.6	2354.8	5.290	2307.2	64.0	At12	
9	Spectrogram 1	1	2018_08_13_14_37_54.wav	5796.139	5796.139074539	5803.817594149	43.3	2359.2	7.679	2315.9	64.1	At12	
10	Spectrogram 1	1	2018_08_13_14_37_54.wav	5805.276	5805.275690033	5812.101040798	34.6	2411.1	6.825	2376.5	61.0	At13	
11	Spectrogram 1	1	2018_08_13_14_37_54.wav	5812.476	5812.476435090	5817.800208686	13.0	2411.1	5.324	2398.1	60.6	At13	
12	Spectrogram 1	1	2018_08_13_14_37_54.wav	5818.244	5818.243856486	5826.809671695	43.3	2454.4	8.566	2411.1	59.8	At13	
13	Spectrogram 1	1	2018_08_13_14_37_54.wav	5827.588	5827.588013057	5833.389561207	34.6	2393.8	5.802	2359.2	60.3	Db12	
14	Spectrogram 1	1	2018_08_13_14_37_54.wav	5834.209	5834.208603299	5841.136334325	56.3	2333.2	6.928	2276.9	60.8	Db12	
15	Spectrogram 1	1	2018_08_13_14_37_54.wav	5841.785	5841.784742648	5855.640204700	64.9	2406.8	13.855	2341.8	55.4	Dj1117	
16	Spectrogram 1	1	2018_08_13_14_37_54.wav	5858.413	5858.412559833	5874.042613084	108.2	2337.5	15.630	2229.3	55.7	Dj1117	
17	Spectrogram 1	1	2018_08_13_14_37_54.wav	5874.616	5874.615689059	5888.948925665	86.6	2363.5	14.333	2276.9	51.4	Dj127	
18	Spectrogram 1	1	2018_08_13_14_37_54.wav	5891.566	5891.566320128	5900.712290153	99.6	2437.1	9.146	2337.5	53.2	Db12	
19	Spectrogram 1	1	2018_08_13_14_37_54.wav	5901.873	5901.872599783	5907.674147933	121.2	2424.1	5.802	2302.9	55.2	Db12	
20	Spectrogram 1	1	2018_08_13_14_37_54.wav	5908.050	5908.049542225	5913.953470636	90.9	2376.5	5.904	2285.6	57.0	Db12	
21	Spectrogram 1	1	2018_08_13_14_37_54.wav	5914.680	5914.680242640	5919.935762729	82.2	2437.1	5.256	2354.8	55.6	Db12	
22	Spectrogram 1	1	2018_08_13_14_37_54.wav	5920.448	5920.447664036	5924.884142033	108.2	2502.0	4.436	2393.8	64.0	Db12	
23	Spectrogram 1	1	2018_08_13_14_37_54.wav	5925.328	5925.327789833	5929.798394584	151.5	2428.4	4.471	2276.9	63.4	Db12	
24	Spectrogram 1	1	2018_08_13_14_37_54.wav	5930.686	5930.685690183	5936.555491841	73.6	2411.1	5.870	2337.5	63.3	Db12	
25	Spectrogram 1	1	2018_08_13_14_37_54.wav	5937.215	5937.215275307	5941.890640581	151.5	2393.8	4.675	2242.3	66.3	Db12	
26	Spectrogram 1	1	2018_08_13_14_37_54.wav	5942.437	5942.436668642	5947.828695746	69.3	2398.1	5.392	2328.9	67.8	Db13	
27	Spectrogram 1	1	2018_08_13_14_37_54.wav	5948.258	5948.258186195	5955.766072036	43.3	2406.8	7.508	2363.5	67.9	At12	
28	Spectrogram 1	1	2018_08_13_14_37_54.wav	5956.790	5956.789874651	5961.840634217	56.3	2385.1	5.051	2328.9	62.7	At11	
29	Spectrogram 1	1	2018_08_13_14_37_54.wav	5962.660	5962.659676309	5968.836618751	34.6	2463.0	6.177	2428.4	68.1	At13	
30	Spectrogram 1	1	2018_08_13_14_37_54.wav	5969.246	5969.246139797	5974.296899362	13.0	2493.4	5.051	2480.4	68.5	At12	
31	Spectrogram 1	1	2018_08_13_14_37_54.wav	5974.671	5974.671028849	5982.076534429	103.9	2484.7	7.406	2380.8	64.2	At12	
32	Spectrogram 1	1	2018_08_13_14_37_54.wav	5983.032	5983.032083536	5990.232828593	51.9	2510.7	7.201	2458.7	67.3	At12	
