Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
1	Spectrogram 1	1	0.000000000	2.473853408	0.0	3900.5	3900.5	281.2	2.474	A1
2	Spectrogram 1	1	3.559935392	5.611423585	0.0	4242.6	4242.6	1359.4	2.051	B
3	Spectrogram 1	1	8.085276993	13.213997473	159.8	4105.8	3946.0	281.2	5.129	A1
4	Spectrogram 1	1	14.300079457	16.472243426	0.0	4174.2	4174.2	750.0	2.172	B
5	Spectrogram 1	1	20.454544034	24.859209859	68.4	3626.8	3558.4	914.1	4.405	A1
6	Spectrogram 1	1	25.864144652	28.358807363	0.0	4379.5	4379.5	679.7	2.495	B
7	Spectrogram 1	1	29.565565123	34.090906723	0.0	3079.3	3079.3	656.2	4.525	A1
8	Spectrogram 1	1	37.288814788	39.038613540	0.0	4105.8	4105.8	796.9	1.750	B
9	Spectrogram 1	1	42.055507940	46.701525317	0.0	3284.6	3284.6	421.9	4.646	A1
10	Spectrogram 1	1	48.028958853	50.382136485	0.0	4584.8	4584.8	726.6	2.353	B
11	Spectrogram 1	1	54.424774982	57.984710374	0.0	3421.5	3421.5	421.9	3.560	A1
12	Spectrogram 1	1	58.889778694	60.760253222	0.0	4379.5	4379.5	750.0	1.870	B
13	Spectrogram 1	1	62.872079302	67.095731463	0.0	3010.9	3010.9	281.2	4.224	A1
14	Spectrogram 1	1	69.448909095	71.259045735	0.0	4242.6	4242.6	726.6	1.810	B
15	Spectrogram 1	1	74.225699616	78.472687033	328.1	2737.2	2409.1	960.9	4.247	A1
16	Spectrogram 1	1	79.404660616	81.456148808	0.0	4379.5	4379.5	656.2	2.051	5
17	Spectrogram 1	1	84.111015881	88.636357481	0.0	2737.2	2737.2	914.1	4.525	A1
18	Spectrogram 1	1	89.601763689	91.801713816	0.0	4584.8	4584.8	562.5	2.200	5
19	Spectrogram 1	1	91.848026470	92.717012974	0.0	5374.0	5374.0	351.6	0.869	K
20	Spectrogram 1	1	95.032173610	95.816566154	0.0	3900.5	3900.5	1968.8	0.784	O
21	Spectrogram 1	1	96.540620810	97.325013354	0.0	3832.1	3832.1	1828.1	0.784	O
22	Spectrogram 1	1	97.566364906	99.557515210	0.0	3968.9	3968.9	937.5	1.991	5
23	Spectrogram 1	1	99.919542538	101.005624522	0.0	4858.5	4858.5	773.4	1.086	K
24	Spectrogram 1	1	103.600085494	104.324208363	79.9	3832.1	3752.2	1875.0	0.724	O
25	Spectrogram 1	1	105.108600907	105.892993451	0.0	4037.4	4037.4	515.6	0.784	O
26	Spectrogram 1	1	106.074007115	108.547860523	0.0	4037.4	4037.4	515.6	2.474	R
27	Spectrogram 1	1	108.849549963	109.995969835	0.0	4242.6	4242.6	820.3	1.146	K
28	Spectrogram 1	1	112.831850572	113.797256780	85.9	3489.9	3404.0	960.9	0.965	O
29	Spectrogram 1	1	114.644641827	115.437578994	104.7	3489.9	3385.2	679.7	0.793	O
30	Spectrogram 1	1	115.909082860	118.201922604	0.0	3284.6	3284.6	1710.9	2.293	R
31	Spectrogram 1	1	118.262260492	119.106990924	0.0	5269.1	5269.1	820.3	0.845	K
32	Spectrogram 1	1	122.415455193	123.283622286	48.2	4311.1	4262.9	1828.1	0.868	O
33	Spectrogram 1	1	124.235711405	125.201117613	0.0	4379.5	4379.5	679.7	0.965	O
34	Spectrogram 1	1	125.925172269	127.735308909	0.0	3216.2	3216.2	1007.8	1.810	R
