Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
1	Spectrogram 1	1	3.420397772	5.783581688	0.0	6024.5	6024.5	23.4	2.363	B
2	Spectrogram 1	1	8.022387503	13.084335701	106.5	4751.8	4645.3	117.2	5.062	A1
3	Spectrogram 1	1	14.365670644	16.728854560	0.0	6109.4	6109.4	750.0	2.363	B
4	Spectrogram 1	1	19.340794677	24.205375924	105.5	5091.2	4985.7	468.8	4.865	A1
5	Spectrogram 1	1	25.808455919	28.109450784	0.0	5345.7	5345.7	23.4	2.301	B
6	Spectrogram 1	1	31.214906403	35.171144714	143.4	5260.9	5117.5	468.8	3.956	A1
7	Spectrogram 1	1	36.940295942	39.054723656	0.0	5854.8	5854.8	23.4	2.114	B
8	Spectrogram 1	1	42.164176176	46.579598755	266.3	5260.9	4994.6	468.8	4.415	A1
9	Spectrogram 1	1	48.320892167	50.062185578	0.0	6279.1	6279.1	23.4	1.741	B
10	Spectrogram 1	1	53.980095754	57.832725727	181.2	4836.6	4655.4	187.5	3.853	A1
11	Spectrogram 1	1	58.830841686	60.945269400	0.0	5176.0	5176.0	23.4	2.114	B
12	Spectrogram 1	1	64.241289071	68.028323464	124.5	5600.3	5475.8	375.0	3.787	A1
13	Spectrogram 1	1	69.527358356	70.957706515	0.0	5939.7	5939.7	726.6	1.430	B
14	Spectrogram 1	1	73.749594137	78.407295262	124.5	4836.6	4712.1	164.1	4.658	A1
15	Spectrogram 1	1	79.291039270	81.529845084	0.0	5345.7	5345.7	23.4	2.239	5
16	Spectrogram 1	1	84.328352353	88.246262529	79.9	5430.6	5350.7	1992.2	3.918	A1
17	Spectrogram 1	1	89.676610688	91.666660301	0.0	5685.1	5685.1	562.5	1.990	5
18	Spectrogram 1	1	92.164172704	92.848252259	0.0	5770.0	5770.0	23.4	0.684	K
19	Spectrogram 1	1	94.776112821	95.833326678	0.0	5600.3	5600.3	23.4	1.057	O
20	Spectrogram 1	1	96.517406233	97.201485787	0.0	5854.8	5854.8	23.4	0.684	O
21	Spectrogram 1	1	98.009943443	99.378102551	0.0	5770.0	5770.0	23.4	1.368	5
22	Spectrogram 1	1	99.875614955	100.870639761	0.0	6279.1	6279.1	23.4	0.995	K
23	Spectrogram 1	1	103.606957979	104.975117088	0.0	5854.8	5854.8	46.9	1.368	O
