Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	UNIT
1	Spectrogram 1	1	0.000000000	0.945447434	0.0	5695.6	5695.6	0.945	234.4	S
2	Spectrogram 1	1	2.022817766	4.240891571	0.0	6044.3	6044.3	2.218	351.6	5
3	Spectrogram 1	1	4.656236622	5.486926724	0.0	6505.4	6505.4	0.831	796.9	K
4	Spectrogram 1	1	7.632635694	10.333960326	78.7	5579.4	5500.7	2.701	351.6	S
5	Spectrogram 1	1	11.103510563	13.291041625	0.0	6160.5	6160.5	2.188	351.6	5
6	Spectrogram 1	1	13.815688005	14.799399968	0.0	6081.1	6081.1	0.984	726.6	K
7	Spectrogram 1	1	17.040040963	19.370678824	0.0	5811.8	5811.8	2.331	210.9	S
8	Spectrogram 1	1	20.030293312	20.900623275	0.0	5232.6	5232.6	0.870	234.4	S
9	Spectrogram 1	1	21.141086199	22.715025339	0.0	5515.4	5515.4	1.574	375.0	5
10	Spectrogram 1	1	23.086649858	24.398265808	0.0	5091.2	5091.2	1.312	796.9	K
11	Spectrogram 1	1	25.274084242	28.223812329	0.0	6505.4	6505.4	2.950	164.1	S
12	Spectrogram 1	1	28.803166015	31.021926355	0.0	6160.5	6160.5	2.219	304.7	5
13	Spectrogram 1	1	31.109367418	32.246101242	0.0	5939.7	5939.7	1.137	867.2	K
14	Spectrogram 1	1	34.618162842	37.466102969	0.0	4998.2	4998.2	2.848	164.1	S
15	Spectrogram 1	1	38.103730308	39.578803655	0.0	4666.9	4666.9	1.475	304.7	5
16	Spectrogram 1	1	40.169030832	41.371345453	0.0	5515.4	5515.4	1.202	773.4	K
17	Spectrogram 1	1	43.466708431	46.810641561	0.0	2461.9	2461.9	3.344	164.1	S
18	Spectrogram 1	1	47.734101845	51.096406412	0.0	4949.7	4949.7	3.362	492.2	5
19	Spectrogram 1	1	52.021596023	58.683702361	0.0	5114.4	5114.4	6.662	726.6	A1
20	Spectrogram 1	1	60.222802835	61.542031813	0.0	4765.7	4765.7	1.319	703.1	B
21	Spectrogram 1	1	63.542862429	70.974519004	0.0	4881.9	4881.9	7.432	210.9	A1
22	Spectrogram 1	1	72.799452423	74.184642850	0.0	4998.2	4998.2	1.385	679.7	B
23	Spectrogram 1	1	77.350792396	83.375271395	0.0	4068.3	4068.3	6.024	960.9	A1
24	Spectrogram 1	1	84.738474672	85.969755051	0.0	5114.4	5114.4	1.231	679.7	B
25	Spectrogram 1	1	88.828084503	95.028460698	0.0	3603.3	3603.3	6.200	632.8	A1
26	Spectrogram 1	1	95.732049486	97.183201362	0.0	5114.4	5114.4	1.451	703.1	B
27	Spectrogram 1	1	101.184862595	105.010626630	0.0	5230.7	5230.7	3.826	867.2	A1
28	Spectrogram 1	1	105.582292520	107.165367294	0.0	4533.2	4533.2	1.583	773.4	B
29	Spectrogram 1	1	109.188185060	115.212664058	0.0	3835.8	3835.8	6.024	656.2	A1
30	Spectrogram 1	1	115.784329948	117.367404722	0.0	5579.4	5579.4	1.583	726.6	B
31	Spectrogram 1	1	119.785991181	124.227395406	0.0	4881.9	4881.9	4.441	234.4	A1
32	Spectrogram 1	1	124.711112698	126.953801960	0.0	4417.0	4417.0	2.243	750.0	B
33	Spectrogram 1	1	128.844696828	134.561355732	0.0	4417.0	4417.0	5.717	187.5	A1
34	Spectrogram 1	1	134.957124425	136.935967892	0.0	4649.5	4649.5	1.979	820.3	B
35	Spectrogram 1	1	138.914811359	144.587495963	0.0	4417.0	4417.0	5.673	164.1	A1
36	Spectrogram 1	1	145.115187554	147.050056722	0.0	4533.2	4533.2	1.935	750.0	B
37	Spectrogram 1	1	149.336720283	154.657610493	0.0	4300.8	4300.8	5.321	726.6	A1
38	Spectrogram 1	1	155.682542127	157.397539798	0.0	6509.3	6509.3	1.715	773.4	B
39	Spectrogram 1	1	159.860100557	165.224965066	0.0	4998.2	4998.2	5.365	164.1	A1
40	Spectrogram 1	1	165.752656658	167.511628628	0.0	6741.7	6741.7	1.759	796.9	B
41	Spectrogram 1	1	169.974189386	175.251105297	0.0	4533.2	4533.2	5.277	187.5	A1
42	Spectrogram 1	1	175.690848290	177.449820260	0.0	8252.8	8252.8	1.759	796.9	B
43	Spectrogram 1	1	179.956355318	185.057374032	0.0	4998.2	4998.2	5.101	210.9	A1
44	Spectrogram 1	1	185.629039923	188.223523579	0.0	6625.5	6625.5	2.594	773.4	B
45	Spectrogram 1	1	189.938521250	194.555822672	0.0	5695.6	5695.6	4.617	187.5	A1
46	Spectrogram 1	1	195.611205854	197.414152124	0.0	7671.6	7671.6	1.803	703.1	B
47	Spectrogram 1	1	200.184532977	203.658502619	0.0	5230.7	5230.7	3.474	234.4	A1
48	Spectrogram 1	1	204.801834399	206.428883472	0.0	6741.7	6741.7	1.627	703.1	B
49	Spectrogram 1	1	209.463110121	212.541311069	0.0	5230.7	5230.7	3.078	234.4	A1
50	Spectrogram 1	1	214.036437244	215.751434915	0.0	7090.4	7090.4	1.715	703.1	B
51	Spectrogram 1	1	218.741687264	221.731939614	0.0	4998.2	4998.2	2.990	1078.1	A1
52	Spectrogram 1	1	223.007194293	225.030012058	0.0	6509.3	6509.3	2.023	609.4	B
53	Spectrogram 1	1	227.888341510	232.285771436	0.0	4765.7	4765.7	4.397	234.4	A1
54	Spectrogram 1	1	232.637565830	234.440512100	0.0	7206.7	7206.7	1.803	703.1	B
55	Spectrogram 1	1	236.771149961	241.300502784	0.0	4881.9	4881.9	4.529	210.9	A1
56	Spectrogram 1	1	242.267937368	243.675114944	0.0	7322.9	7322.9	1.407	679.7	B
57	Spectrogram 1	1	246.225624301	251.326643015	0.0	4533.2	4533.2	5.101	656.2	A1
58	Spectrogram 1	1	252.030231803	253.965100971	0.0	7322.9	7322.9	1.935	703.1	B
59	Spectrogram 1	1	256.075867335	261.572654742	0.0	4417.0	4417.0	5.497	796.9	A1
60	Spectrogram 1	1	262.584063625	264.387009895	0.0	7439.2	7439.2	1.803	796.9	B
61	Spectrogram 1	1	266.893544953	272.214435163	0.0	4533.2	4533.2	5.321	843.8	A1
62	Spectrogram 1	1	273.093921148	274.984816016	0.0	6044.3	6044.3	1.891	796.9	B
63	Spectrogram 1	1	276.919685184	281.932755299	0.0	4533.2	4533.2	5.013	632.8	A1
64	Spectrogram 1	1	282.504421190	284.571213255	0.0	6974.2	6974.2	2.067	703.1	B
65	Spectrogram 1	1	286.594031021	291.782998333	0.0	4649.5	4649.5	5.189	820.3	A1
66	Spectrogram 1	1	292.178767027	293.937738997	0.0	6858.0	6858.0	1.759	773.4	B
67	Spectrogram 1	1	296.106002412	299.711894951	0.0	4533.2	4533.2	3.606	843.8	A1
68	Spectrogram 1	1	300.151637943	302.042532812	0.0	6044.3	6044.3	1.891	703.1	B
69	Spectrogram 1	1	302.878044498	303.669581884	0.0	5346.9	5346.9	0.792	351.6	D2
70	Spectrogram 1	1	304.241247775	306.571885635	0.0	5114.4	5114.4	2.331	843.8	S
71	Spectrogram 1	1	307.363423022	307.891114613	0.0	6044.3	6044.3	0.528	421.9	D2
72	Spectrogram 1	1	308.594703401	312.024698743	0.0	5695.6	5695.6	3.430	515.6	S
73	Spectrogram 1	1	312.684313232	313.299953422	0.0	5346.9	5346.9	0.616	257.8	D2
74	Spectrogram 1	1	314.399310903	316.642000166	0.0	5811.8	5811.8	2.243	515.6	S
75	Spectrogram 1	1	319.236483822	319.764175413	0.0	5346.9	5346.9	0.528	445.3	D2
76	Spectrogram 1	1	320.643661398	322.578530565	0.0	5928.1	5928.1	1.935	468.8	S
77	Spectrogram 1	1	323.018273558	323.633913748	0.0	5579.4	5579.4	0.616	257.8	D2
78	Spectrogram 1	1	324.425451134	327.327754885	0.0	5579.4	5579.4	2.902	679.7	S
79	Spectrogram 1	1	329.526469848	330.054161439	0.0	5463.1	5463.1	0.528	351.6	D2
80	Spectrogram 1	1	331.241467519	333.312979707	0.0	4881.9	4881.9	2.072	867.2	S
81	Spectrogram 1	1	333.528131081	334.055822672	0.0	4649.5	4649.5	0.528	375.0	D2
82	Spectrogram 1	1	335.199154453	338.013509605	0.0	5114.4	5114.4	2.814	539.1	S
83	Spectrogram 1	1	340.695941860	341.311582050	0.0	4998.2	4998.2	0.616	351.6	D2
84	Spectrogram 1	1	342.235042334	344.213885801	0.0	5114.4	5114.4	1.979	539.1	S
85	Spectrogram 1	1	344.917474589	345.752986275	0.0	5463.1	5463.1	0.836	234.4	D2
86	Spectrogram 1	1	346.456575063	348.831187223	0.0	5114.4	5114.4	2.375	539.1	S
87	Spectrogram 1	1	350.985927887	351.865413872	0.0	4649.5	4649.5	0.879	234.4	D2
88	Spectrogram 1	1	352.481054061	354.327974630	0.0	4998.2	4998.2	1.847	492.2	S
89	Spectrogram 1	1	354.943614820	355.251434915	0.0	4998.2	4998.2	0.308	375.0	D2
90	Spectrogram 1	1	355.779126506	358.945276053	0.0	4417.0	4417.0	3.166	585.9	S
91	Spectrogram 1	1	361.407836811	362.155399898	0.0	5114.4	5114.4	0.748	468.8	D2
92	Spectrogram 1	1	363.034885884	364.925780752	0.0	4881.9	4881.9	1.891	515.6	S
93	Spectrogram 1	1	365.365523744	365.893215335	0.0	4998.2	4998.2	0.528	281.2	D2
94	Spectrogram 1	1	366.464881226	368.795519087	0.0	4649.5	4649.5	2.331	1007.8	F
95	Spectrogram 1	1	369.455133575	370.070773765	0.0	4765.7	4765.7	0.616	281.2	D2
96	Spectrogram 1	1	370.642439655	373.061026115	0.0	4881.9	4881.9	2.419	890.6	F
97	Spectrogram 1	1	375.127818180	376.271149961	0.0	5230.7	5230.7	1.143	257.8	D2
98	Spectrogram 1	1	376.974738749	378.821659318	0.0	5114.4	5114.4	1.847	890.6	F
99	Spectrogram 1	1	379.041530814	379.525248106	0.0	4649.5	4649.5	0.484	351.6	D2
100	Spectrogram 1	1	379.921016799	382.075757463	0.0	4765.7	4765.7	2.155	656.2	F
101	Spectrogram 1	1	384.626266820	385.461778506	0.0	5230.7	5230.7	0.836	328.1	D2
102	Spectrogram 1	1	386.165367294	388.144210760	0.0	4998.2	4998.2	1.979	562.5	F
103	Spectrogram 1	1	391.310360307	392.145871993	0.0	5579.4	5579.4	0.836	609.4	D2
104	Spectrogram 1	1	393.245229474	394.608432751	0.0	5463.1	5463.1	1.363	585.9	F
105	Spectrogram 1	1	395.092150043	395.663815934	0.0	4998.2	4998.2	0.572	375.0	D2
106	Spectrogram 1	1	396.455353320	399.533554268	0.0	5114.4	5114.4	3.078	1078.1	F
107	Spectrogram 1	1	401.952140728	402.787652414	0.0	5579.4	5579.4	0.836	539.1	D2
108	Spectrogram 1	1	403.843035596	406.041750559	0.0	5114.4	5114.4	2.199	1382.8	F
109	Spectrogram 1	1	409.251874405	410.043411791	0.0	5579.4	5579.4	0.792	585.9	D2
110	Spectrogram 1	1	411.010846375	412.286101053	0.0	5230.7	5230.7	1.275	632.8	F
111	Spectrogram 1	1	412.769818345	415.452250600	0.0	4881.9	4881.9	2.682	632.8	F
112	Spectrogram 1	1	416.639556680	424.730827744	0.0	6509.3	6509.3	8.091	632.8	G
113	Spectrogram 1	1	427.413259999	434.814465025	0.0	6509.3	6509.3	7.401	562.5	G
114	Spectrogram 1	1	436.177668302	437.707951108	0.0	6276.8	6276.8	1.530	468.8	5
115	Spectrogram 1	1	441.410609914	445.192399650	0.0	6044.3	6044.3	3.782	398.4	G
116	Spectrogram 1	1	446.775474423	448.578420693	0.0	5346.9	5346.9	1.803	468.8	5
117	Spectrogram 1	1	451.964441736	454.646873991	0.0	5579.4	5579.4	2.682	328.1	I
118	Spectrogram 1	1	456.098025866	457.681100640	0.0	6393.0	6393.0	1.583	492.2	5
119	Spectrogram 1	1	461.330967478	464.233271229	0.0	5811.8	5811.8	2.902	328.1	I
120	Spectrogram 1	1	465.244680112	467.311472177	0.0	5811.8	5811.8	2.067	539.1	5
121	Spectrogram 1	1	470.301724527	473.032840713	0.0	5579.4	5579.4	2.731	328.1	I
122	Spectrogram 1	1	474.259411460	476.326203525	0.0	6160.5	6160.5	2.067	585.9	5
