Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	UNIT
1	Spectrogram 1	1	0.000000000	0.433168287	0.0	4429.4	4429.4	0.433	21.5	I
2	Spectrogram 1	1	1.725538463	3.650989845	0.0	4696.3	4696.3	1.925	21.5	I
3	Spectrogram 1	1	4.331682868	5.941094454	0.0	4336.1	4336.1	1.609	43.1	I
4	Spectrogram 1	1	9.220296389	11.014850720	0.0	5069.8	5069.8	1.795	21.5	O
5	Spectrogram 1	1	13.056929786	15.099008852	0.0	4376.1	4376.1	2.042	21.5	I
6	Spectrogram 1	1	15.841583058	18.440592779	0.0	4109.2	4109.2	2.599	21.5	I
7	Spectrogram 1	1	21.905939073	23.886136955	0.0	4216.0	4216.0	1.980	21.5	O
8	Spectrogram 1	1	25.990097205	27.660889168	0.0	4055.9	4055.9	1.671	21.5	I
9	Spectrogram 1	1	28.650988109	30.693067175	0.0	4002.5	4002.5	2.042	21.5	I
10	Spectrogram 1	1	31.621284933	32.611383874	0.0	4109.2	4109.2	0.990	21.5	I
11	Spectrogram 1	1	35.024750043	36.695542006	0.0	4589.5	4589.5	1.671	21.5	O
12	Spectrogram 1	1	39.727720013	41.336630793	0.0	4055.9	4055.9	1.609	21.5	I
13	Spectrogram 1	1	42.512373285	44.368808800	0.0	4536.2	4536.2	1.856	21.5	I
14	Spectrogram 1	1	45.358907741	46.410887866	0.0	4376.1	4376.1	1.052	21.5	I
15	Spectrogram 1	1	49.381184690	52.289600329	0.0	4856.4	4856.4	2.908	21.5	O
16	Spectrogram 1	1	54.269798211	55.383659520	0.0	4963.1	4963.1	1.114	21.5	I
17	Spectrogram 1	1	57.673263322	58.539599895	0.0	4536.2	4536.2	0.866	21.5	I
18	Spectrogram 1	1	59.344055285	61.014847248	0.0	4696.3	4696.3	1.671	21.5	I
19	Spectrogram 1	1	65.779698402	67.698015101	0.0	5283.3	5283.3	1.918	21.5	O
20	Spectrogram 1	1	69.801975351	72.277222704	0.0	5123.2	5123.2	2.475	21.5	I
21	Spectrogram 1	1	73.149989546	73.958153130	0.0	4784.7	4784.7	0.808	21.5	D2
22	Spectrogram 1	1	74.766316714	75.683691593	0.0	4784.7	4784.7	0.917	21.5	D2
23	Spectrogram 1	1	76.448170658	77.081596170	0.0	4261.3	4261.3	0.633	21.5	D2
24	Spectrogram 1	1	77.671337164	78.304762675	0.0	4859.4	4859.4	0.633	21.5	D2
25	Spectrogram 1	1	80.816826071	82.920786321	0.0	5283.3	5283.3	2.104	366.1	O
26	Spectrogram 1	1	85.426553169	86.300243530	0.0	4186.6	4186.6	0.874	21.5	D2
27	Spectrogram 1	1	87.523410035	88.462627173	0.0	4410.9	4410.9	0.939	21.5	D2
28	Spectrogram 1	1	89.795004974	90.515799522	0.0	4635.1	4635.1	0.721	21.5	D2
29	Spectrogram 1	1	91.258436328	91.760716356	0.0	4485.6	4485.6	0.502	21.5	D2
30	Spectrogram 1	1	94.131135824	97.894203829	0.0	4963.1	4963.1	3.763	366.1	O
31	Spectrogram 1	1	99.652360842	100.263944095	0.0	4448.2	4448.2	0.612	150.7	D2
32	Spectrogram 1	1	101.989482557	102.448169997	0.0	4261.3	4261.3	0.459	21.5	D2
33	Spectrogram 1	1	103.758705538	104.108181683	0.0	4111.8	4111.8	0.349	150.7	D2
34	Spectrogram 1	1	104.894503007	105.527928519	0.0	4149.2	4149.2	0.633	150.7	D2
35	Spectrogram 1	1	108.308275750	111.021185242	0.0	4216.0	4216.0	2.713	344.5	O
36	Spectrogram 1	1	113.732019181	114.037810807	0.0	3962.3	3962.3	0.306	150.7	D2
37	Spectrogram 1	1	115.544926680	116.222036709	0.0	4074.4	4074.4	0.677	150.7	D2
38	Spectrogram 1	1	117.183096106	117.576256769	0.0	4224.0	4224.0	0.393	150.7	D2
39	Spectrogram 1	1	118.553224811	119.083372641	52.5	4186.6	4134.1	0.530	150.7	D2
40	Spectrogram 1	1	119.738640412	120.175485592	0.0	4298.7	4298.7	0.437	150.7	D2
41	Spectrogram 1	1	122.397902466	125.898430843	0.0	4696.3	4696.3	3.501	366.1	O
42	Spectrogram 1	1	127.549762363	128.510821760	0.0	4186.6	4186.6	0.961	150.7	D2
43	Spectrogram 1	1	129.406354380	130.280044741	0.0	3775.4	3775.4	0.874	150.7	D2
44	Spectrogram 1	1	130.978997029	131.656107059	0.0	3924.9	3924.9	0.677	150.7	D2
45	Spectrogram 1	1	135.962449925	138.150280161	0.0	5229.9	5229.9	2.188	366.1	O
46	Spectrogram 1	1	140.469756233	140.928443672	0.0	4800.9	4800.9	0.459	21.5	D2
47	Spectrogram 1	1	142.610297617	143.134511834	0.0	4652.0	4652.0	0.524	150.7	D2
48	Spectrogram 1	1	144.466889634	144.860050296	0.0	4503.2	4503.2	0.393	150.7	D2
49	Spectrogram 1	1	148.389325662	150.139589851	0.0	5016.5	5016.5	1.750	366.1	O
50	Spectrogram 1	1	153.152536961	153.982542804	0.0	4168.2	4168.2	0.830	21.5	D2
51	Spectrogram 1	1	155.293078345	156.319664519	0.0	4279.9	4279.9	1.027	150.7	D2
52	Spectrogram 1	1	157.084143585	157.826780392	0.0	3982.1	3982.1	0.743	150.7	D2
53	Spectrogram 1	1	160.896465428	163.609374920	0.0	5283.3	5283.3	2.713	366.1	O
54	Spectrogram 1	1	166.029028533	166.749823081	0.0	4131.0	4131.0	0.721	150.7	D2
55	Spectrogram 1	1	168.278781213	169.239840610	0.0	4503.2	4503.2	0.961	150.7	D2
56	Spectrogram 1	1	169.938792898	170.637745187	0.0	4875.3	4875.3	0.699	172.3	D2
57	Spectrogram 1	1	172.798261908	176.823869542	0.0	4696.3	4696.3	4.026	387.6	O
58	Spectrogram 1	1	178.672001736	179.480165319	260.5	4540.4	4279.9	0.808	344.5	D2
59	Spectrogram 1	1	180.878069897	181.424126372	0.0	4168.2	4168.2	0.546	150.7	D2
60	Spectrogram 1	1	182.647292878	183.127822576	0.0	4391.5	4391.5	0.481	172.3	D2
61	Spectrogram 1	1	188.113073556	190.125877373	0.0	3789.0	3789.0	2.013	387.6	O
62	Spectrogram 1	1	191.606054687	192.130268904	0.0	3051.7	3051.7	0.524	150.7	D2
63	Spectrogram 1	1	193.506331222	194.227125770	0.0	3572.8	3572.8	0.721	172.3	D2
64	Spectrogram 1	1	195.144500649	195.668714866	0.0	3535.5	3535.5	0.524	172.3	D2
65	Spectrogram 1	1	199.577303990	201.677621016	0.0	3842.4	3842.4	2.100	387.6	O
66	Spectrogram 1	1	204.721793873	205.049427758	0.0	3721.6	3721.6	0.328	150.7	D2
67	Spectrogram 1	1	206.622070408	207.146284625	0.0	4131.0	4131.0	0.524	21.5	D2
68	Spectrogram 1	1	207.976290467	208.849980828	0.0	3647.2	3647.2	0.874	150.7	D2
69	Spectrogram 1	1	212.179206146	213.929470334	0.0	4429.4	4429.4	1.750	344.5	O
70	Spectrogram 1	1	216.984475770	217.792639353	0.0	4317.1	4317.1	0.808	21.5	D2
71	Spectrogram 1	1	219.081332636	219.780284924	0.0	4019.3	4019.3	0.699	21.5	D2
72	Spectrogram 1	1	220.937924653	221.309243056	0.0	3907.7	3907.7	0.371	172.3	D2
73	Spectrogram 1	1	225.218674349	227.844070631	0.0	4055.9	4055.9	2.625	366.1	O
74	Spectrogram 1	1	230.113074581	230.549919761	0.0	4279.9	4279.9	0.437	150.7	D2
75	Spectrogram 1	1	232.340985001	233.039937290	0.0	3833.3	3833.3	0.699	21.5	D2
76	Spectrogram 1	1	234.219419277	234.765475753	0.0	3349.5	3349.5	0.546	172.3	D2
77	Spectrogram 1	1	238.433168970	241.321104881	0.0	3895.8	3895.8	2.888	366.1	O
78	Spectrogram 1	1	244.179048010	244.594050931	0.0	3758.8	3758.8	0.415	150.7	D2
79	Spectrogram 1	1	248.787764663	249.443032434	0.0	4689.2	4689.2	0.655	172.3	D2
80	Spectrogram 1	1	253.315337079	255.240627686	0.0	4002.5	4002.5	1.925	344.5	O
81	Spectrogram 1	1	258.361986718	259.148308043	0.0	4428.7	4428.7	0.786	301.5	D2
82	Spectrogram 1	1	261.288849427	261.922274938	0.0	4131.0	4131.0	0.633	279.9	D2
83	Spectrogram 1	1	263.210968221	264.128343100	0.0	3796.0	3796.0	0.917	150.7	D2
84	Spectrogram 1	1	267.404963795	269.942846868	0.0	3789.0	3789.0	2.538	366.1	O
85	Spectrogram 1	1	276.969135013	277.668087302	0.0	4168.2	4168.2	0.699	21.5	D2
86	Spectrogram 1	1	279.329573335	283.064692242	243.6	3928.4	3684.8	3.735	366.1	O
87	Spectrogram 1	1	283.652060669	286.189943742	0.0	4269.3	4269.3	2.538	21.5	I
88	Spectrogram 1	1	287.065075836	290.740630632	0.0	4376.1	4376.1	3.676	129.2	I
89	Spectrogram 1	1	292.840947658	295.641370359	0.0	4269.3	4269.3	2.800	366.1	O
90	Spectrogram 1	1	296.779042081	299.491951573	0.0	4109.2	4109.2	2.713	21.5	I
91	Spectrogram 1	1	300.017030830	304.042638463	0.0	4269.3	4269.3	4.026	21.5	I
92	Spectrogram 1	1	306.755547955	309.380944237	0.0	4269.3	4269.3	2.625	366.1	O
93	Spectrogram 1	1	310.518615960	312.881472614	0.0	4376.1	4376.1	2.363	21.5	I
94	Spectrogram 1	1	313.581578289	316.119461362	0.0	4322.7	4322.7	2.538	107.7	I
95	Spectrogram 1	1	319.532476530	321.895333184	0.0	4536.2	4536.2	2.363	344.5	O
96	Spectrogram 1	1	323.558084163	326.095967236	0.0	4536.2	4536.2	2.538	21.5	I
97	Spectrogram 1	1	326.708559702	329.421469194	0.0	4269.3	4269.3	2.713	21.5	I
98	Spectrogram 1	1	329.946548450	331.871839057	0.0	4269.3	4269.3	1.925	21.5	I
99	Spectrogram 1	1	333.097023989	335.109827806	0.0	4803.0	4803.0	2.013	301.5	O
100	Spectrogram 1	1	337.210144832	339.485488276	0.0	4696.3	4696.3	2.275	21.5	I
101	Spectrogram 1	1	340.273107161	342.373424187	0.0	4696.3	4696.3	2.100	21.5	I
102	Spectrogram 1	1	343.161043072	345.436386517	0.0	4482.8	4482.8	2.275	21.5	I
103	Spectrogram 1	1	346.574058239	348.499348846	0.0	4482.8	4482.8	1.925	301.5	O
104	Spectrogram 1	1	350.249613035	352.262416851	0.0	3949.1	3949.1	2.013	366.1	I
105	Spectrogram 1	1	353.487601783	355.587918809	0.0	4055.9	4055.9	2.100	107.7	I
106	Spectrogram 1	1	356.813103741	358.913420767	0.0	4429.4	4429.4	2.100	21.5	I
107	Spectrogram 1	1	359.701039651	362.063896306	0.0	3949.1	3949.1	2.363	344.5	O
108	Spectrogram 1	1	363.376594447	365.301885054	0.0	4002.5	4002.5	1.925	21.5	I
109	Spectrogram 1	1	366.352043567	368.889926640	0.0	4162.6	4162.6	2.538	366.1	I
110	Spectrogram 1	1	369.765058734	371.602836132	0.0	4055.9	4055.9	1.838	21.5	I
111	Spectrogram 1	1	372.652994645	374.578285252	0.0	4269.3	4269.3	1.925	344.5	O
112	Spectrogram 1	1	376.853628697	379.303998561	0.0	4055.9	4055.9	2.450	21.5	I
113	Spectrogram 1	1	380.441670283	382.541987309	0.0	4055.9	4055.9	2.100	366.1	I
114	Spectrogram 1	1	385.867489267	387.967806293	0.0	4322.7	4322.7	2.100	344.5	O
115	Spectrogram 1	1	389.543044062	391.555847879	0.0	4216.0	4216.0	2.013	21.5	I
116	Spectrogram 1	1	392.518493183	395.318915884	0.0	4055.9	4055.9	2.800	21.5	I
117	Spectrogram 1	1	398.294365004	401.007274496	0.0	4429.4	4429.4	2.713	366.1	O
118	Spectrogram 1	1	402.144946218	404.945368920	0.0	4482.8	4482.8	2.800	21.5	I
119	Spectrogram 1	1	406.170553851	408.358384087	0.0	4376.1	4376.1	2.188	21.5	I
120	Spectrogram 1	1	412.909070976	416.147059725	0.0	4322.7	4322.7	3.238	344.5	O
121	Spectrogram 1	1	417.197218238	418.772456007	0.0	4109.2	4109.2	1.575	21.5	I
122	Spectrogram 1	1	419.822614520	421.835418337	0.0	4269.3	4269.3	2.013	21.5	I
123	Spectrogram 1	1	425.423459923	427.786316577	0.0	4216.0	4216.0	2.363	21.5	O
124	Spectrogram 1	1	429.449067556	431.636897791	0.0	4055.9	4055.9	2.188	366.1	I
125	Spectrogram 1	1	432.774569514	435.662505425	0.0	4162.6	4162.6	2.888	129.2	I
126	Spectrogram 1	1	439.250547011	440.650758361	0.0	3735.7	3735.7	1.400	344.5	O
127	Spectrogram 1	1	443.451181063	445.201445251	0.0	3895.8	3895.8	1.750	21.5	I
128	Spectrogram 1	1	446.426630183	448.877000046	0.0	3949.1	3949.1	2.450	172.3	I
129	Spectrogram 1	1	453.077634098	454.740385077	0.0	4269.3	4269.3	1.663	21.5	O
130	Spectrogram 1	1	456.928215313	458.941019129	53.4	4109.2	4055.8	2.013	172.3	I
131	Spectrogram 1	1	460.078690852	462.266521087	0.0	4322.7	4322.7	2.188	129.2	I
132	Spectrogram 1	1	466.729694767	468.392445746	0.0	4055.9	4055.9	1.663	366.1	O
133	Spectrogram 1	1	470.142709935	472.155513751	0.0	4109.2	4109.2	2.013	172.3	I
134	Spectrogram 1	1	473.380698683	475.568528918	0.0	4109.2	4109.2	2.188	129.2	I
135	Spectrogram 1	1	479.282163684	481.138599199	0.0	4269.3	4269.3	1.856	344.5	O
136	Spectrogram 1	1	483.205641612	485.568498266	0.0	4376.1	4376.1	2.363	21.5	I
137	Spectrogram 1	1	486.706169988	488.894000224	0.0	4322.7	4322.7	2.188	129.2	I
138	Spectrogram 1	1	492.832094647	494.757385255	0.0	3949.1	3949.1	1.925	21.5	O
139	Spectrogram 1	1	496.245109815	499.045532516	0.0	4162.6	4162.6	2.800	21.5	I
140	Spectrogram 1	1	499.658124982	502.458547683	0.0	4162.6	4162.6	2.800	129.2	I
141	Spectrogram 1	1	506.396642107	508.409445924	0.0	3682.3	3682.3	2.013	366.1	O
142	Spectrogram 1	1	509.634630855	511.997487510	0.0	3789.0	3789.0	2.363	21.5	I
143	Spectrogram 1	1	513.047646023	515.673042305	0.0	4002.5	4002.5	2.625	129.2	I
144	Spectrogram 1	1	518.998544263	520.836321661	0.0	3468.8	3468.8	1.838	323.0	O
145	Spectrogram 1	1	523.111665105	525.299495341	0.0	3575.6	3575.6	2.188	21.5	I
146	Spectrogram 1	1	526.174627435	528.537484089	0.0	3628.9	3628.9	2.363	323.0	I
147	Spectrogram 1	1	532.213038885	534.225842701	0.0	3628.9	3628.9	2.013	323.0	O
148	Spectrogram 1	1	536.238646518	538.426476753	0.0	3735.7	3735.7	2.188	21.5	I
149	Spectrogram 1	1	539.476635266	542.014518339	0.0	3628.9	3628.9	2.538	21.5	I
150	Spectrogram 1	1	545.690073135	547.702876951	0.0	3682.3	3682.3	2.013	21.5	O
151	Spectrogram 1	1	549.715680768	551.991024213	0.0	3575.6	3575.6	2.275	21.5	I
152	Spectrogram 1	1	552.778643097	554.791446914	0.0	3522.2	3522.2	2.013	129.2	I
153	Spectrogram 1	1	559.254620594	560.304779107	0.0	3148.6	3148.6	1.050	344.5	O
154	Spectrogram 1	1	563.105201809	564.855465997	0.0	2935.2	2935.2	1.750	21.5	I
155	Spectrogram 1	1	566.168164138	568.005941536	0.0	3202.0	3202.0	1.838	150.7	I
156	Spectrogram 1	1	569.143613258	570.379917225	0.0	3628.9	3628.9	1.236	21.5	I
157	Spectrogram 1	1	573.832438797	576.107782242	0.0	4002.5	4002.5	2.275	387.6	O
158	Spectrogram 1	1	577.945559639	580.395929503	0.0	4162.6	4162.6	2.450	150.7	I
159	Spectrogram 1	1	580.921008760	583.458891833	0.0	4162.6	4162.6	2.538	129.2	I
160	Spectrogram 1	1	583.896457880	585.646722068	0.0	4162.6	4162.6	1.750	21.5	I
161	Spectrogram 1	1	589.759842911	591.160054261	0.0	3628.9	3628.9	1.400	323.0	O
162	Spectrogram 1	1	593.347884497	595.623227941	0.0	3789.0	3789.0	2.275	150.7	I
163	Spectrogram 1	1	596.323333617	598.686190271	0.0	3735.7	3735.7	2.363	21.5	I
164	Spectrogram 1	1	601.136560135	602.361745067	0.0	3468.8	3468.8	1.225	366.1	O
165	Spectrogram 1	1	606.737405537	608.837722563	0.0	3842.4	3842.4	2.100	129.2	I
166	Spectrogram 1	1	609.800367867	612.075711312	0.0	3789.0	3789.0	2.275	21.5	I
167	Spectrogram 1	1	613.038356615	614.526081175	0.0	3682.3	3682.3	1.488	21.5	I
168	Spectrogram 1	1	618.201635971	620.476979416	0.0	3468.8	3468.8	2.275	344.5	O
169	Spectrogram 1	1	622.052217185	623.889994583	0.0	3575.6	3575.6	1.838	129.2	I
170	Spectrogram 1	1	624.940153096	627.303009750	0.0	3522.2	3522.2	2.363	21.5	I
171	Spectrogram 1	1	629.753379614	632.553802315	0.0	4055.9	4055.9	2.800	344.5	O
172	Spectrogram 1	1	635.004172179	637.192002414	0.0	3949.1	3949.1	2.188	21.5	I
173	Spectrogram 1	1	637.979621299	640.813877562	0.0	4055.9	4055.9	2.834	129.2	I
174	Spectrogram 1	1	644.368085586	646.205862984	0.0	4216.0	4216.0	1.838	323.0	O
175	Spectrogram 1	1	647.956127172	650.406497036	0.0	4055.9	4055.9	2.450	129.2	I
176	Spectrogram 1	1	651.894221596	654.082051831	0.0	4216.0	4216.0	2.188	21.5	I
177	Spectrogram 1	1	657.932633046	659.945436862	0.0	4429.4	4429.4	2.013	344.5	O
178	Spectrogram 1	1	662.430873091	664.093624070	373.6	4536.2	4162.6	1.663	1981.1	I
179	Spectrogram 1	1	665.266142814	667.419126028	0.0	4376.1	4376.1	2.153	21.5	I
