Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
1	Spectrogram 1	1	0.952768610	1.218444472	0.0	1548.7	0.266	1548.7	0.0	19
2	Spectrogram 1	1	1.208053539	2.268292397	0.0	1530.4	1.060	1530.4	234.4	17
3	Spectrogram 1	1	3.073170345	5.195121297	455.6	1910.3	2.122	1454.7	609.4	Z
4	Spectrogram 1	1	5.570031872	5.808224024	0.0	1496.2	0.238	1496.2	0.0	19
5	Spectrogram 1	1	5.851509330	6.731706469	0.0	1546.0	0.880	1546.0	328.1	17
6	Spectrogram 1	1	10.268329900	11.304876625	0.0	1530.4	1.037	1530.4	0.0	Y
7	Spectrogram 1	1	12.365852101	14.670729859	0.0	1910.3	2.305	1910.3	0.0	Z
8	Spectrogram 1	1	14.836407527	15.100669239	0.0	1522.5	0.264	1522.5	0.0	19
9	Spectrogram 1	1	15.138420912	16.134144309	0.0	1546.0	0.996	1546.0	328.1	17
10	Spectrogram 1	1	16.499997921	18.475607429	473.8	1928.5	1.976	1454.7	703.1	Z
11	Spectrogram 1	1	18.541662298	19.756095072	0.0	1546.4	1.214	1546.4	0.0	Y
12	Spectrogram 1	1	23.048777584	24.182923783	0.0	1491.8	1.134	1491.8	0.0	17
13	Spectrogram 1	1	24.951216369	27.219508766	437.5	1910.3	2.268	1472.8	1453.1	Z
14	Spectrogram 1	1	27.548777017	28.682923216	0.0	1473.6	1.134	1473.6	0.0	Y
15	Spectrogram 1	1	29.748318400	30.201338477	0.0	1575.0	0.453	1575.0	0.0	19
16	Spectrogram 1	1	30.201338477	31.060971697	0.0	1455.4	0.860	1455.4	328.1	17
17	Spectrogram 1	1	32.161058505	34.831789876	473.8	1910.3	2.671	1436.5	1312.5	Z
18	Spectrogram 1	1	35.047155441	35.311417153	0.0	1417.5	0.264	1417.5	0.0	19
19	Spectrogram 1	1	35.311417153	36.073166187	0.0	1473.6	0.762	1473.6	234.4	17
20	Spectrogram 1	1	38.067289289	38.407054346	0.0	1470.0	0.340	1470.0	0.0	19
21	Spectrogram 1	1	38.407054346	39.027408766	0.0	1474.5	0.620	1474.5	0.0	17
22	Spectrogram 1	1	41.290538076	43.924684085	546.6	1929.3	2.634	1382.7	1265.6	Z
