Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
1	Spectrogram 1	1	0.838735713	3.207538406	294.3	2128.3	2.369	1834.0	656.2	Z
2	Spectrogram 1	1	4.007790137	5.111614990	0.0	1510.6	1.104	1510.6	281.2	17
3	Spectrogram 1	1	8.241490048	9.233156272	26.5	1431.1	0.992	1404.6	281.2	17
4	Spectrogram 1	1	11.332518990	13.228791037	362.3	2105.7	1.896	1743.4	703.1	Z
5	Spectrogram 1	1	13.991802410	14.939938433	0.0	1378.1	0.948	1378.1	281.2	17
6	Spectrogram 1	1	16.764079427	17.639281910	0.0	1378.1	0.875	1378.1	328.1	Y
7	Spectrogram 1	1	19.473255245	21.114259901	397.5	2083.0	1.641	1685.5	750.0	Z
8	Spectrogram 1	1	21.706257105	21.923500742	0.0	1415.4	0.217	1415.4	0.0	19
9	Spectrogram 1	1	21.978902893	22.788189290	0.0	1484.1	0.809	1484.1	281.2	17
10	Spectrogram 1	1	23.374078701	23.525601574	45.3	1426.4	0.152	1381.1	46.9	19
11	Spectrogram 1	1	23.631622757	23.922041597	45.3	1381.1	0.290	1335.8	46.9	18
12	Spectrogram 1	1	24.249285562	24.535358751	0.0	1365.7	0.286	1365.7	234.4	19
13	Spectrogram 1	1	24.581653437	25.424844109	0.0	1457.6	0.843	1457.6	328.1	17
14	Spectrogram 1	1	26.618959412	28.916365930	318.0	2083.0	2.297	1765.0	1500.0	Z
15	Spectrogram 1	1	29.514249002	29.705934564	0.0	1264.5	0.192	1264.5	0.0	19
16	Spectrogram 1	1	29.759390331	30.779373712	0.0	1431.1	1.020	1431.1	234.4	17
17	Spectrogram 1	1	33.729979586	34.715080771	0.0	1404.6	0.985	1404.6	234.4	17
18	Spectrogram 1	1	37.084922437	39.236461874	212.0	2105.7	2.152	1893.7	1500.0	Z
19	Spectrogram 1	1	39.714158814	39.899191685	0.0	1390.5	0.185	1390.5	187.5	19
20	Spectrogram 1	1	39.936198259	40.804532989	0.0	1351.6	0.868	1351.6	234.4	17
21	Spectrogram 1	1	42.045857686	42.210007465	0.0	1316.0	0.164	1316.0	0.0	19
22	Spectrogram 1	1	42.336276526	43.117200587	0.0	1132.1	0.781	1132.1	328.1	17
23	Spectrogram 1	1	44.386204647	46.319098954	371.0	2083.0	1.933	1712.0	1359.4	Z
24	Spectrogram 1	1	46.980643824	47.260815563	198.0	1613.4	0.280	1415.4	281.2	19
25	Spectrogram 1	1	47.270483688	47.930620560	135.4	1540.0	0.660	1404.6	187.5	17
26	Spectrogram 1	1	48.616505472	48.854782662	0.0	1298.6	0.238	1298.6	328.1	19
27	Spectrogram 1	1	48.926377262	49.187841831	0.0	1241.6	0.261	1241.6	234.4	18
28	Spectrogram 1	1	49.658737815	49.853960168	0.0	1266.4	0.195	1266.4	187.5	19
29	Spectrogram 1	1	49.977636306	50.583727798	0.0	1325.1	0.606	1325.1	328.1	17
30	Spectrogram 1	1	51.543372660	53.524087085	287.8	2083.0	1.981	1795.2	1031.2	Z
31	Spectrogram 1	1	54.279434457	54.443584236	0.0	1291.2	0.164	1291.2	187.5	19
32	Spectrogram 1	1	54.525659125	55.289924404	0.0	1351.6	0.764	1351.6	187.5	17
33	Spectrogram 1	1	58.490118009	59.365320492	0.0	1298.6	0.875	1298.6	234.4	17
34	Spectrogram 1	1	61.563725427	63.459997474	371.0	2105.7	1.896	1734.7	656.2	Z
35	Spectrogram 1	1	64.273314848	64.475157936	0.0	1316.0	0.202	1316.0	187.5	19
36	Spectrogram 1	1	64.512164511	65.319802750	0.0	1351.6	0.808	1351.6	187.5	17
37	Spectrogram 1	1	66.489830875	66.732558968	24.8	1316.0	0.243	1291.2	140.6	19
38	Spectrogram 1	1	66.786563168	67.493669908	0.0	1325.1	0.707	1325.1	187.5	17
39	Spectrogram 1	1	68.857375765	70.429425571	344.5	2083.0	1.572	1738.5	1265.6	Z
40	Spectrogram 1	1	71.127218555	71.322935599	0.0	1390.5	0.196	1390.5	187.5	19
41	Spectrogram 1	1	71.432393902	72.059480003	0.0	1351.6	0.627	1351.6	187.5	17
42	Spectrogram 1	1	72.926552671	73.122269715	0.0	1298.6	0.196	1298.6	140.6	19
43	Spectrogram 1	1	73.210658057	73.469509632	24.8	1340.9	0.259	1316.1	187.5	18
44	Spectrogram 1	1	74.012466593	74.207886974	0.0	1340.9	0.195	1340.9	187.5	19
45	Spectrogram 1	1	74.265004715	74.867421303	0.0	1298.6	0.602	1298.6	328.1	17
46	Spectrogram 1	1	75.726602463	77.532250031	347.9	2083.0	1.806	1735.1	656.2	Z
