Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	UNIT
1	Spectrogram 1	1	2.812499951	3.273809467	573.3	2494.0	0.461	1920.7	X
2	Spectrogram 1	1	3.422618988	3.839285648	573.3	2522.7	0.417	1949.4	X
3	Spectrogram 1	1	4.017857073	4.360118972	430.0	2522.7	0.342	2092.7	X
4	Spectrogram 1	1	4.627976110	4.851190392	516.0	2522.7	0.223	2006.7	X
5	Spectrogram 1	1	5.208333243	5.491071333	487.3	2494.0	0.283	2006.7	X
6	Spectrogram 1	1	5.803571328	6.160714179	602.0	2522.7	0.357	1920.7	X
7	Spectrogram 1	1	6.458333221	6.815476072	573.3	2522.7	0.357	1949.4	X
8	Spectrogram 1	1	7.008928450	7.410714157	573.3	2522.7	0.402	1949.4	X
9	Spectrogram 1	1	7.633928439	7.842261769	573.3	2465.3	0.208	1892.0	X
10	Spectrogram 1	1	8.154761763	8.437499854	630.7	2494.0	0.283	1863.3	X
11	Spectrogram 1	1	8.764880800	8.958333178	573.3	2522.7	0.193	1949.4	X
12	Spectrogram 1	1	9.360118885	9.583333167	630.7	2522.7	0.223	1892.0	X
13	Spectrogram 1	1	9.880952209	10.252976012	630.7	2465.3	0.372	1834.6	X
14	Spectrogram 1	1	10.483630770	10.766368861	573.3	2522.7	0.283	1949.4	X
15	Spectrogram 1	1	11.041666475	11.339285517	630.7	2436.7	0.298	1806.0	X
16	Spectrogram 1	1	13.169642629	16.026785436	659.3	2494.0	2.857	1834.7	Z
17	Spectrogram 1	1	18.377977116	18.854167584	114.7	1519.3	0.476	1404.6	17
18	Spectrogram 1	1	19.628839563	19.881815749	544.7	2494.0	0.253	1949.3	X
19	Spectrogram 1	1	20.179434792	20.372887169	573.3	2465.3	0.193	1892.0	X
20	Spectrogram 1	1	20.774672876	20.938363350	602.0	2494.0	0.164	1892.0	X
21	Spectrogram 1	1	21.355030009	21.548482387	659.3	2494.0	0.193	1834.7	X
22	Spectrogram 1	1	21.965149046	22.128839520	573.3	2522.7	0.164	1949.4	X
23	Spectrogram 1	1	22.530625227	22.872887126	372.7	2408.0	0.342	2035.3	X
24	Spectrogram 1	1	23.125863312	23.587172828	544.7	2436.7	0.461	1892.0	X
25	Spectrogram 1	1	23.676458540	24.182410913	401.3	2522.7	0.506	2121.4	X
26	Spectrogram 1	1	24.241934721	24.673482333	544.7	2465.3	0.432	1920.6	X
27	Spectrogram 1	1	24.747887093	24.985982327	659.3	2494.0	0.238	1834.7	X
28	Spectrogram 1	1	25.328244226	25.581220412	573.3	2551.3	0.253	1978.0	X
