Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
1	Spectrogram 1	1	8.229166524	9.613095071	573.3	2465.3	1.384	1892.0	796.9	Z
2	Spectrogram 1	1	10.061138215	10.790304869	86.0	1490.7	0.729	1404.7	375.0	17
3	Spectrogram 1	1	14.242685761	14.808161942	57.3	1519.3	0.565	1462.0	281.2	17
4	Spectrogram 1	1	16.145833053	17.514880648	544.7	2494.0	1.369	1949.3	796.9	Z
5	Spectrogram 1	1	17.873638079	18.424233308	143.3	1462.0	0.551	1318.7	375.0	17
6	Spectrogram 1	1	19.718876143	20.165304706	114.7	1490.7	0.446	1376.0	328.1	17
7	Spectrogram 1	1	23.244048556	25.014881858	573.3	2408.0	1.771	1834.7	796.9	Z
8	Spectrogram 1	1	25.349758940	25.885473217	172.0	1490.7	0.536	1318.7	375.0	17
9	Spectrogram 1	1	26.354168220	27.633930103	573.3	2465.3	1.280	1892.0	796.9	Z
10	Spectrogram 1	1	27.974690562	28.659214360	114.7	1462.0	0.685	1347.3	375.0	17
11	Spectrogram 1	1	29.358619109	30.013381003	114.7	1490.7	0.655	1376.0	328.1	17
12	Spectrogram 1	1	33.272309518	33.867547603	143.3	1519.3	0.595	1376.0	375.0	17
13	Spectrogram 1	1	35.505954924	36.636907286	430.0	2465.3	1.131	2035.3	796.9	Z
14	Spectrogram 1	1	36.873785915	37.677357330	86.0	1433.3	0.804	1347.3	375.0	Y
15	Spectrogram 1	1	38.302357319	38.912476356	143.3	1519.3	0.610	1376.0	328.1	17
16	Spectrogram 1	1	39.820214435	40.028547765	143.3	1490.7	0.208	1347.3	234.4	19
17	Spectrogram 1	1	40.102952526	40.579142993	114.7	1490.7	0.476	1376.0	328.1	17
18	Spectrogram 1	1	41.011908648	42.098218153	544.7	2436.7	1.086	1892.0	796.9	Z
19	Spectrogram 1	1	42.392540842	42.600874171	57.3	1462.0	0.208	1404.7	328.1	19
20	Spectrogram 1	1	42.645517028	43.270517017	114.7	1462.0	0.625	1347.3	328.1	17
21	Spectrogram 1	1	43.764885750	44.940480967	544.7	2408.0	1.176	1863.3	750.0	Z
22	Spectrogram 1	1	45.190159841	45.398493170	86.0	1490.7	0.208	1404.7	328.1	19
23	Spectrogram 1	1	45.428255075	46.038374112	114.7	1519.3	0.610	1404.7	375.0	17
24	Spectrogram 1	1	46.678255053	46.871707431	114.7	1490.7	0.193	1376.0	328.1	19
25	Spectrogram 1	1	46.916350287	47.630635989	86.0	1490.7	0.714	1404.7	375.0	17
26	Spectrogram 1	1	51.008612121	51.202064498	143.3	1462.0	0.193	1318.7	328.1	19
27	Spectrogram 1	1	51.276469259	52.065159721	86.0	1490.7	0.789	1404.7	375.0	17
28	Spectrogram 1	1	54.032744628	54.955363660	544.7	2465.3	0.923	1920.7	703.1	Z
