Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
1	Spectrogram 1	1	56.196688099	57.676951070	49.4	1928.1	1878.7	351.6	1.480	O
2	Spectrogram 1	1	58.454089130	60.119384973	98.9	2027.0	1928.1	351.6	1.665	O
3	Spectrogram 1	1	61.118562479	62.302772856	98.9	1952.9	1854.0	351.6	1.184	Q
4	Spectrogram 1	1	65.226292224	66.336489453	197.8	1952.9	1755.1	304.7	1.110	Q
5	Spectrogram 1	1	67.054377066	69.126745226	74.2	1804.5	1730.3	304.7	2.072	O
6	Spectrogram 1	1	71.939244872	73.234474972	148.3	2002.3	1854.0	304.7	1.295	26
7	Spectrogram 1	1	76.195000914	77.934309906	74.2	1903.4	1829.2	187.5	1.739	25
8	Spectrogram 1	1	79.007500560	81.005855572	123.6	1878.7	1755.1	257.8	1.998	31
9	Spectrogram 1	1	83.022738153	84.725040570	0.0	2002.3	2002.3	257.8	1.702	26
10	Spectrogram 1	1	85.650204927	87.685566513	123.6	1903.4	1779.8	187.5	2.035	25
11	Spectrogram 1	1	88.906783464	91.053164773	98.9	1928.1	1829.2	234.4	2.146	31
12	Spectrogram 1	1	94.198723587	95.382933964	49.4	1977.6	1928.2	234.4	1.184	26
13	Spectrogram 1	1	98.111364624	99.776660467	74.2	1903.4	1829.2	164.1	1.665	25
14	Spectrogram 1	1	100.627811675	102.774192984	74.2	1854.0	1779.8	210.9	2.146	31
15	Spectrogram 1	1	104.624521698	105.586692630	49.4	1928.1	1878.7	234.4	0.962	26
16	Spectrogram 1	1	107.288995047	108.436198850	49.4	1928.1	1878.7	70.3	1.147	25
17	Spectrogram 1	1	110.027481544	111.877810258	74.2	1903.4	1829.2	234.4	1.850	31
18	Spectrogram 1	1	114.951045653	115.839203436	74.2	1903.4	1829.2	210.9	0.888	26
19	Spectrogram 1	1	118.818256949	120.446546218	24.7	1952.9	1928.2	281.2	1.628	25
20	Spectrogram 1	1	121.741776318	122.999999843	49.4	2027.0	1977.6	234.4	1.258	31
21	Spectrogram 1	1	123.720042548	123.942814798	54.0	1972.6	1918.6	164.1	0.223	18
22	Spectrogram 1	1	124.054200922	124.499745421	54.0	2053.7	1999.7	234.4	0.446	18
23	Spectrogram 1	1	125.146381152	126.367598103	98.9	1952.9	1854.0	234.4	1.221	26
24	Spectrogram 1	1	127.811301216	129.439590484	24.7	1928.1	1903.4	117.2	1.628	25
25	Spectrogram 1	1	130.142715396	131.511958644	24.7	2002.3	1977.6	234.4	1.369	31
26	Spectrogram 1	1	132.104063833	132.451282849	49.4	2051.7	2002.3	140.6	0.347	19
27	Spectrogram 1	1	132.525540265	132.766876868	22.0	1976.6	1954.6	257.8	0.241	18
28	Spectrogram 1	1	133.177254487	134.546497736	49.4	1903.4	1854.0	234.4	1.369	31
29	Spectrogram 1	1	136.479262765	137.367420548	49.4	1977.6	1928.2	234.4	0.888	25
30	Spectrogram 1	1	138.810676945	140.105907045	49.4	1952.9	1903.5	234.4	1.295	31
31	Spectrogram 1	1	143.303629038	144.487839416	98.9	2002.3	1903.4	210.9	1.184	26
32	Spectrogram 1	1	147.300339061	148.521556013	74.2	1903.4	1829.2	234.4	1.221	25
33	Spectrogram 1	1	149.853792687	151.334055658	24.7	2002.3	1977.6	210.9	1.480	31
34	Spectrogram 1	1	151.704121401	151.966608111	49.4	2002.3	1952.9	117.2	0.262	19
