Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_063000_PU205.wav	6:40:30.812	24030.811530665	24041.804070733	122.6	569.1	10.993	446.5	48.2	Gb41	
2	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_063000_PU205.wav	6:40:42.011	24042.010826973	24047.352029828	103.5	536.5	5.341	433.1	49.6	Gb11	
3	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_063000_PU205.wav	6:40:47.662	24047.662164187	24053.106745161	90.1	513.5	5.445	423.5	49.2	Gb11	
4	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_063000_PU205.wav	6:40:53.353	24053.352677061	24058.245908064	107.3	507.8	4.893	400.5	49.5	Gb11	
5	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_063000_PU205.wav	6:40:58.586	24058.586357339	24063.307291475	92.0	502.0	4.721	410.1	51.6	Gb11	
6	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_063000_PU205.wav	6:41:03.583	24063.582966461	24067.063363160	97.7	490.5	3.480	392.8	49.0	Gb11	
7	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_063000_PU205.wav	6:41:07.408	24067.407956893	24071.818756669	82.4	490.5	4.411	408.1	48.2	Gb11	
8	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_063000_PU205.wav	6:41:12.039	24072.039342151	24075.933251329	80.5	488.6	3.894	408.1	50.6	Gb11	
9	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:46:18.384	24378.384141291	24401.334083880	65.1	919.8	22.950	854.6	48.1	Ec34	
10	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:46:42.026	24402.025583411	24413.535014079	80.5	735.8	11.509	655.3	50.1	Gb31	
11	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:46:54.431	24414.430957783	24419.393107532	97.7	739.6	4.962	641.9	48.4	Gb11	
12	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:46:59.910	24419.909998131	24424.906607253	111.1	745.4	4.997	634.2	45.5	Gb11	
13	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:05.251	24425.251200986	24430.833619453	74.7	760.7	5.582	686.0	48.5	Gb11	
14	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:11.255	24431.255076646	24436.665198247	90.1	751.1	5.410	661.1	48.6	Gb11	
15	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:17.044	24437.044251353	24442.213157341	95.8	747.3	5.169	651.5	50.5	Gb11	
16	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:22.558	24442.557751074	24447.278685210	92.0	733.9	4.721	641.9	46.6	Gb11	
17	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:27.727	24447.726657062	24452.550969318	95.8	730.1	4.824	634.2	51.5	Gb11	
18	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:32.991	24452.991316240	24457.298737897	82.4	728.1	4.307	645.7	50.8	Gb11	
19	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:37.505	24457.505494137	24461.192647075	70.9	720.5	3.687	649.6	52.6	Gb11	
20	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:41.365	24461.364943942	24465.431149986	72.8	712.8	4.066	640.0	49.6	Gb11	
21	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:45.603	24465.603446852	24469.359518537	63.2	716.6	3.756	653.4	51.8	Gb11	
22	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:49.621	24469.621271962	24474.169909232	84.3	710.9	4.549	626.6	49.6	Gb12	
23	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:47:54.443	24474.442516012	24487.020187251	57.5	710.9	12.578	653.4	50.9	Gb13	
24	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:48:07.537	24487.537077849	24493.257333810	32.6	705.1	5.720	672.6	48.3	Gb11	
25	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:48:14.050	24494.049899395	24499.597858489	32.6	722.4	5.548	689.8	50.1	Gb11	
26	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:48:20.065	24500.064628081	24505.336912190	28.7	724.3	5.272	695.6	48.8	Gb11	
27	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:48:25.682	24505.681505922	24509.816630713	13.4	718.6	4.135	705.1	50.3	Gb11	
28	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:48:30.092	24510.092305699	24538.096258980	30.7	707.1	28.004	676.4	49.7	Ga43	
29	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:48:58.372	24538.371681755	24542.713562786	28.7	714.7	4.342	686.0	47.2	Ha11	
30	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:49:02.955	24542.954778399	24550.570299888	19.2	714.7	7.616	695.6	52.0	Ha21	
31	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:49:10.812	24550.811515501	24554.016237214	30.7	712.8	3.205	682.2	50.1	Ha11	
32	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:49:14.292	24554.291912200	24561.700677450	36.4	703.2	7.409	666.8	49.4	Ha21	
33	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:49:21.989	24561.988853709	24565.676006647	23.0	701.3	3.687	678.3	51.4	Ha11	
34	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:49:25.917	24565.917222260	24568.639512747	23.0	695.6	2.722	672.6	48.4	Ha11	
35	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:49:29.008	24569.007712826	24591.027252337	24.9	693.6	22.020	668.7	48.6	Ha51	
36	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:49:51.372	24591.371846069	24594.955620888	26.8	693.6	3.584	666.8	49.6	Ha11	
37	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:49:55.280	24595.279584489	24598.759981188	13.4	687.9	3.480	674.5	50.3	Ha11	
38	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:49:59.036	24599.035656174	24607.236987009	19.2	682.2	8.201	663.0	49.1	Ha21	
39	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:50:08.035	24608.034932866	24620.888279090	17.2	678.3	12.853	661.1	48.6	Ha31	
40	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:50:21.503	24621.502662951	24625.086437770	11.5	682.2	3.584	670.7	49.4	Ha11	
41	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:50:25.741	24625.741165862	24629.497237547	13.4	703.2	3.756	689.8	47.6	Ha11	
42	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:50:29.813	24629.812783271	24633.913448689	11.5	709.0	4.101	697.5	48.8	Ha11	
43	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:50:34.258	24634.258042421	24637.083711028	17.2	701.3	2.826	684.1	47.4	Ha11	
44	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:50:37.532	24637.531682881	24640.701945220	19.2	693.6	3.170	674.5	45.9	Ha11	
45	Spectrogram 1	1	Chile03_002K_M03_multi_20130416_064500_PU205.wav	6:50:41.081	24641.080998326	24652.866103980	17.2	684.1	11.785	666.8	47.0	Ha16	
