Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Category	Comment
1	Spectrogram 1	1	HS120802-0959-ESM.wav	12.9340	12.934039699	17.950672511	13.000	2532.500	5.0166	2519.500	-54.85	As11	
2	Spectrogram 1	1	HS120802-0959-ESM.wav	18.3261	18.326066803	23.410953123	21.600	2545.500	5.0849	2523.900	-53.56	As11	
3	Spectrogram 1	1	HS120802-0959-ESM.wav	23.8887	23.888727676	28.666473212	8.600	2459.100	4.7777	2450.500	-51.68	As11	
4	Spectrogram 1	1	HS120802-0959-ESM.wav	29.2615	29.261543087	44.516202046	8.600	2519.600	15.2547	2511.000	-55.94	Au1112	
5	Spectrogram 1	1	HS120802-0959-ESM.wav	45.4968	45.496780482	69.283127897	17.300	2528.200	23.7863	2510.900	-58.34	Dj11111112	
6	Spectrogram 1	1	HS120802-0959-ESM.wav	70.1287	70.128715017	104.972130671	0.000	2549.800	34.8434	2549.800	-53.23	Dj111111111111112	
7	Spectrogram 1	1	HS120802-0959-ESM.wav	105.2315	105.231497116	138.641589108	30.300	2562.800	33.4101	2532.500	-55.76	Dj1111111111112	
8	Spectrogram 1	1	HS120802-0959-ESM.wav	139.6027	139.602702323	173.251681593	25.900	2562.800	33.6490	2536.900	-54.70	Dj1111111111112	
9	Spectrogram 1	1	HS120802-0959-ESM.wav	173.7295	173.729458716	202.327678419	8.600	2571.400	28.5982	2562.800	-52.59	Dj11111111112	
10	Spectrogram 1	1	HS120802-0959-ESM.wav	202.8747	202.874720756	233.111024643	4.300	2545.500	30.2363	2541.200	-51.35	Dj11111111112	
11	Spectrogram 1	1	HS120802-0959-ESM.wav	233.9134	233.913384852	268.790927259	0.000	2567.100	34.8775	2567.100	-51.17	Dj1111111111112	
12	Spectrogram 1	1	HS120802-0959-ESM.wav	269.0417	269.041697872	298.356579406	0.000	2575.700	29.3149	2575.700	-51.80	Dj11111111112	
13	Spectrogram 1	1	HS120802-0959-ESM.wav	299.2112	299.211238936	302.999308611	0.000	2545.500	3.7881	2545.500	-56.14	Ja11	
