Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	HS130805-1710-MAN.wav	170.480	170.480340028	175.906493886	121.0	2610.3	5.426	2489.3	72.7	Gb11	
2	Spectrogram 1	1	HS130805-1710-MAN.wav	176.760	176.759662732	182.629464389	112.4	2610.3	5.870	2498.0	71.4	Gb11	
3	Spectrogram 1	1	HS130805-1710-MAN.wav	183.312	183.311999466	188.908787093	90.8	2584.4	5.597	2493.6	71.5	Gb11	
4	Spectrogram 1	1	HS130805-1710-MAN.wav	189.489	189.488941908	194.846842258	121.0	2588.7	5.358	2467.7	69.8	Gb11	
5	Spectrogram 1	1	HS130805-1710-MAN.wav	195.871	195.870644873	201.876953546	43.2	2593.0	6.006	2549.8	68.6	Gb11	
6	Spectrogram 1	1	HS130805-1710-MAN.wav	202.423	202.422981607	207.234853896	103.7	2580.1	4.812	2476.3	67.8	Gb11	
7	Spectrogram 1	1	HS130805-1710-MAN.wav	207.986	207.985642480	213.514176599	64.8	2562.8	5.529	2498.0	69.6	Gb11	
8	Spectrogram 1	1	HS130805-1710-MAN.wav	214.026	214.026077907	219.418105011	90.8	2545.5	5.392	2454.7	70.1	Gb11	
9	Spectrogram 1	1	HS130805-1710-MAN.wav	220.008	220.008373930	225.161513758	90.8	2562.8	5.153	2472.0	68.9	Gb11	
10	Spectrogram 1	1	HS130805-1710-MAN.wav	225.639	225.639037352	230.826303934	90.8	2588.7	5.187	2498.0	67.7	Gb11	
11	Spectrogram 1	1	HS130805-1710-MAN.wav	231.679	231.679472779	237.037373129	77.8	2593.0	5.358	2515.2	65.9	Gb11	
12	Spectrogram 1	1	HS130805-1710-MAN.wav	237.413	237.412767421	242.838921279	51.9	2588.7	5.426	2536.8	68.5	Gb11	
13	Spectrogram 1	1	HS130805-1710-MAN.wav	243.351	243.350822587	248.196821630	60.5	2584.4	4.846	2523.9	68.5	Gb11	
14	Spectrogram 1	1	HS130805-1710-MAN.wav	248.470	248.469835660	262.973706035	56.2	2575.7	14.504	2519.6	71.4	Gb13	
15	Spectrogram 1	1	HS130805-1710-MAN.wav	263.383	263.383227081	268.775254185	34.6	2597.4	5.392	2562.8	80.4	Gb11	
16	Spectrogram 1	1	HS130805-1710-MAN.wav	269.196	269.195900713	273.905392741	73.5	2610.3	4.709	2536.8	73.8	Gb11	
17	Spectrogram 1	1	HS130805-1710-MAN.wav	274.656	274.656181325	279.092659322	82.1	2610.3	4.436	2528.2	74.3	Gb11	
18	Spectrogram 1	1	HS130805-1710-MAN.wav	279.843	279.843447906	284.587066687	21.6	2606.0	4.744	2584.4	89.0	Gb11	
19	Spectrogram 1	1	HS130805-1710-MAN.wav	285.065	285.064841241	289.194178453	13.0	2606.0	4.129	2593.0	91.9	Gb11	
20	Spectrogram 1	1	HS130805-1710-MAN.wav	289.589	289.588756695	303.239458224	38.9	2588.7	13.651	2549.8	80.6	Gb13	
21	Spectrogram 1	1	HS130805-1710-MAN.wav	303.683	303.683106024	309.348147158	43.2	2580.1	5.665	2536.8	77.6	Gb11	
22	Spectrogram 1	1	HS130805-1710-MAN.wav	309.701	309.700696259	314.171301010	8.6	2575.7	4.471	2567.1	92.6	Gb11	
23	Spectrogram 1	1	HS130805-1710-MAN.wav	314.854	314.853836086	320.041102667	69.1	2588.7	5.187	2519.6	71.3	Gb11	
24	Spectrogram 1	1	HS130805-1710-MAN.wav	320.553	320.553003975	324.955355218	30.3	2601.7	4.402	2571.4	84.2	Gb11	
25	Spectrogram 1	1	HS130805-1710-MAN.wav	325.262	325.262496002	329.869607768	17.3	2614.6	4.607	2597.4	89.3	Ga11	
26	Spectrogram 1	1	HS130805-1710-MAN.wav	330.040	330.040241538	334.715606811	0.0	2597.4	4.675	2597.4	92.0	Ga11	
27	Spectrogram 1	1	HS130805-1710-MAN.wav	334.920	334.920367334	348.993968868	13.0	2614.6	14.074	2601.7	88.4	Ga13	
28	Spectrogram 1	1	HS130805-1710-MAN.wav	349.745	349.744757452	354.795517018	47.5	2623.3	5.051	2575.7	79.0	Ga11	
29	Spectrogram 1	1	HS130805-1710-MAN.wav	355.103	355.102657802	359.982783599	13.0	2610.3	4.880	2597.4	92.0	Ga11	
30	Spectrogram 1	1	HS130805-1710-MAN.wav	360.413	360.413034443	365.395540501	90.8	2571.4	4.983	2480.7	72.3	Ga11	
31	Spectrogram 1	1	HS130805-1710-MAN.wav	366.010	366.009822070	370.412173313	21.6	2584.4	4.402	2562.8	91.0	Ga11	
32	Spectrogram 1	1	HS130805-1710-MAN.wav	370.719	370.719314097	374.063735972	60.5	2580.1	3.344	2519.6	74.6	Ga11	
33	Spectrogram 1	1	HS130805-1710-MAN.wav	374.473	374.473257018	388.601733101	21.6	2601.7	14.128	2580.1	85.4	Ga13	
34	Spectrogram 1	1	HS130805-1710-MAN.wav	389.329	389.328762399	393.492226365	34.6	2606.0	4.163	2571.4	89.2	Ga11	
35	Spectrogram 1	1	HS130805-1710-MAN.wav	393.902	393.901747411	398.577112685	17.3	2614.6	4.675	2597.4	93.2	Ga11	
36	Spectrogram 1	1	HS130805-1710-MAN.wav	399.191	399.191394254	403.252477959	25.9	2606.0	4.061	2580.1	85.1	Ga11	
37	Spectrogram 1	1	HS130805-1710-MAN.wav	403.696	403.696125759	408.166730509	56.2	2610.3	4.471	2554.1	77.9	Ga11	
38	Spectrogram 1	1	HS130805-1710-MAN.wav	408.645	408.644505063	419.429319854	25.9	2610.3	10.785	2584.4	87.2	Ga12	
39	Spectrogram 1	1	HS130805-1710-MAN.wav	419.668	419.668207131	457.433380350	43.2	2614.6	37.765	2571.4	78.5	Dj1111111111113	
40	Spectrogram 1	1	HS130805-1710-MAN.wav	459.672	459.671844824	491.034331588	43.2	2584.4	31.362	2541.2	75.9	Dj1111111111111111	
41	Spectrogram 1	1	HS130805-1710-MAN.wav	493.339	493.339280178	535.690581672	103.7	2536.8	42.351	2433.1	72.8	Dj11111111111111111112	
42	Spectrogram 1	1	HS130805-1710-MAN.wav	536.669	536.669139758	583.832313542	51.9	2575.7	47.163	2523.9	79.3	Dj111111111111111111111111	
43	Spectrogram 1	1	HS130805-1710-MAN.wav	584.882	584.882156706	587.271029474	21.6	2571.4	2.389	2549.8	82.8	Ha11	
44	Spectrogram 1	1	HS130805-1710-MAN.wav	588.056	588.055944812	590.444817580	86.4	2571.4	2.389	2485.0	70.4	Ha11	
45	Spectrogram 1	1	HS130805-1710-MAN.wav	591.093	591.093225902	593.925746470	25.9	2558.5	2.833	2532.5	91.2	Ha11	
46	Spectrogram 1	1	HS130805-1710-MAN.wav	594.608	594.608281546	596.997154314	56.2	2562.8	2.389	2506.6	78.7	Ha11	
