Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
122	Spectrogram 1	1	HS140716-1131-ESM.wav	1008.243	1008.242769603	1013.737176969	0.0	3696.9	5.494	3696.9	76.1	Kc11	
123	Spectrogram 1	1	HS140716-1131-ESM.wav	1014.386	1014.385585291	1019.743485641	6.2	3715.5	5.358	3709.3	79.3	Kc11	
124	Spectrogram 1	1	HS140716-1131-ESM.wav	1020.195	1020.195224626	1025.757885499	0.0	3703.1	5.563	3703.1	77.1	Kc11	
125	Spectrogram 1	1	HS140716-1131-ESM.wav	1025.929	1025.928519269	1031.457053388	0.0	3690.8	5.529	3690.8	80.2	Kc11	
126	Spectrogram 1	1	HS140716-1131-ESM.wav	1032.140	1032.139588464	1046.404571562	0.0	3616.7	14.265	3616.7	80.0	Av211	
127	Spectrogram 1	1	HS140716-1131-ESM.wav	1047.317	1047.317149690	1051.617120672	37.0	3696.9	4.300	3659.9	69.5	Kc11	
128	Spectrogram 1	1	HS140716-1131-ESM.wav	1052.129	1052.129021979	1054.722655270	43.2	3635.2	2.594	3592.0	71.2	Fb11	
129	Spectrogram 1	1	HS140716-1131-ESM.wav	1055.166	1055.166303069	1066.120991047	67.9	3604.4	10.955	3536.5	63.7	Fb13	
130	Spectrogram 1	1	HS140716-1131-ESM.wav	1067.281	1067.281300677	1070.318581767	0.0	3629.0	3.037	3629.0	76.6	Fb11	
131	Spectrogram 1	1	HS140716-1131-ESM.wav	1071.684	1071.683651920	1075.028073794	67.9	3629.0	3.344	3561.2	69.0	Fb11	
132	Spectrogram 1	1	HS140716-1131-ESM.wav	1076.325	1076.324890440	1082.740720159	43.2	3536.5	6.416	3493.3	69.3	Fb12	
133	Spectrogram 1	1	HS140716-1131-ESM.wav	1083.012	1083.012221058	1085.571727595	18.5	2974.8	2.560	2956.3	74.4	Fb11	
134	Spectrogram 1	1	HS140716-1131-ESM.wav	1086.323	1086.322516179	1089.120909993	0.0	2937.8	2.798	2937.8	81.1	Fb11	
135	Spectrogram 1	1	HS140716-1131-ESM.wav	1089.530	1089.530431039	1091.748670037	0.0	2845.2	2.218	2845.2	81.5	Fb11	
136	Spectrogram 1	1	HS140716-1131-ESM.wav	1091.851	1091.851050299	1103.044625553	18.5	2740.3	11.194	2721.8	74.4	Fb13	
137	Spectrogram 1	1	HS140716-1131-ESM.wav	1104.103	1104.102554921	1106.730314966	12.3	2832.9	2.628	2820.5	74.9	Jb11	
138	Spectrogram 1	1	HS140716-1131-ESM.wav	1108.368	1108.368399149	1111.917581547	0.0	2981.0	3.549	2981.0	76.5	Jb11	
139	Spectrogram 1	1	HS140716-1131-ESM.wav	1112.600	1112.600116623	1115.808031483	12.3	2987.2	3.208	2974.8	74.2	Jb11	
140	Spectrogram 1	1	HS140716-1131-ESM.wav	1117.890	1117.889763466	1121.029424818	37.0	2956.3	3.140	2919.3	67.9	Jb11	
141	Spectrogram 1	1	HS140716-1131-ESM.wav	1122.313	1122.313351727	1125.555393340	67.9	3005.7	3.242	2937.8	67.2	Jb11	
142	Spectrogram 1	1	HS140716-1131-ESM.wav	1126.101	1126.101421401	1129.343463014	6.2	3061.2	3.242	3055.1	79.2	Jb11	
143	Spectrogram 1	1	HS140716-1131-ESM.wav	1130.026	1130.025998091	1132.995025673	0.0	3067.4	2.969	3067.4	80.0	Jb11	
144	Spectrogram 1	1	HS140716-1131-ESM.wav	1133.609	1133.609307242	1136.578334825	0.0	3116.8	2.969	3116.8	78.7	Jb11	
145	Spectrogram 1	1	HS140716-1131-ESM.wav	1136.885	1136.885475609	1140.298150992	0.0	3135.3	3.413	3135.3	76.6	Jb11	
146	Spectrogram 1	1	HS140716-1131-ESM.wav	1140.639	1140.639418530	1153.095683675	0.0	3098.3	12.456	3098.3	77.2	Jb31	
147	Spectrogram 1	1	HS140716-1131-ESM.wav	1154.401	1154.400845198	1157.779393826	24.7	3098.3	3.379	3073.6	69.3	Jb11	
148	Spectrogram 1	1	HS140716-1131-ESM.wav	1159.452	1159.451604764	1162.079364808	0.0	3332.8	2.628	3332.8	80.2	Jb11	
149	Spectrogram 1	1	HS140716-1131-ESM.wav	1163.581	1163.580941976	1166.447589297	0.0	3135.3	2.867	3135.3	77.2	Jb11	
150	Spectrogram 1	1	HS140716-1131-ESM.wav	1167.983	1167.983293219	1170.611053264	0.0	3129.1	2.628	3129.1	77.2	Jb11	
151	Spectrogram 1	1	HS140716-1131-ESM.wav	1171.123	1171.122954571	1174.160235661	0.0	3104.4	3.037	3104.4	80.4	Jb11	
152	Spectrogram 1	1	HS140716-1131-ESM.wav	1174.911	1174.911024246	1177.061009736	0.0	3073.6	2.150	3073.6	77.2	Jb11	
153	Spectrogram 1	1	HS140716-1131-ESM.wav	1177.539	1177.538784290	1180.268924596	0.0	3116.8	2.730	3116.8	75.4	Jb11	
154	Spectrogram 1	1	HS140716-1131-ESM.wav	1180.548	1180.548260584	1195.700539282	30.9	2968.7	15.152	2937.8	70.1	Jb41	
155	Spectrogram 1	1	HS140716-1131-ESM.wav	1197.339	1197.339381315	1199.489366806	0.0	2931.6	2.150	2931.6	74.3	Ja11	
156	Spectrogram 1	1	HS140716-1131-ESM.wav	1201.093	1201.093324235	1204.301239095	0.0	2931.6	3.208	2931.6	76.6	Ja11	
157	Spectrogram 1	1	HS140716-1131-ESM.wav	1205.427	1205.427421971	1209.044857876	0.0	2888.4	3.617	2888.4	77.3	Ja11	
