Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	HS150626-0921-MUI.wav	3.607	3.607077026	12.848348744	104.9	3567.3	9.241	3462.4	73.2	Ar11	
2	Spectrogram 1	1	HS150626-0921-MUI.wav	13.951	13.951339239	22.089620462	117.3	3610.5	8.138	3493.3	76.6	Ar11	
3	Spectrogram 1	1	HS150626-0921-MUI.wav	23.640	23.639769266	31.956913813	222.2	3555.0	8.317	3332.8	72.8	Ar11	
4	Spectrogram 1	1	HS150626-0921-MUI.wav	33.246	33.246395942	41.265434949	111.1	3610.5	8.019	3499.4	73.3	Ar11	
5	Spectrogram 1	1	HS150626-0921-MUI.wav	41.802	41.802024920	51.043296638	0.0	3616.7	9.241	3616.7	88.4	Ar11	
6	Spectrogram 1	1	HS150626-0921-MUI.wav	52.192	52.191893760	58.303057316	74.1	3561.2	6.111	3487.1	72.0	Ar11	
7	Spectrogram 1	1	HS150626-0921-MUI.wav	60.105	60.105059419	76.143137433	104.9	3592.0	16.038	3487.1	70.6	Aw31	
8	Spectrogram 1	1	HS150626-0921-MUI.wav	78.021	78.021202331	84.668955857	117.3	3530.3	6.648	3413.0	69.8	La31	
9	Spectrogram 1	1	HS150626-0921-MUI.wav	86.398	86.397968011	92.240836582	86.4	3598.2	5.843	3511.8	69.7	La31	
10	Spectrogram 1	1	HS150626-0921-MUI.wav	93.642	93.641932616	100.110822819	67.9	3585.8	6.469	3518.0	71.8	La31	
11	Spectrogram 1	1	HS150626-0921-MUI.wav	101.572	101.571539962	107.503840194	98.7	3573.5	5.932	3474.8	71.5	La31	
12	Spectrogram 1	1	HS150626-0921-MUI.wav	109.943	109.943373744	125.683346219	0.0	3542.6	15.740	3542.6	84.2	Aw31	
13	Spectrogram 1	1	HS150626-0921-MUI.wav	128.426	128.425917180	134.537080736	67.9	3641.4	6.111	3573.5	72.2	La31	
14	Spectrogram 1	1	HS150626-0921-MUI.wav	137.165	137.165369726	141.905247801	74.1	3666.1	4.740	3592.0	73.5	La21	
15	Spectrogram 1	1	HS150626-0921-MUI.wav	143.366	143.365964943	149.179022960	0.0	3635.2	5.813	3635.2	85.8	La31	
16	Spectrogram 1	1	HS150626-0921-MUI.wav	150.691	150.690682861	167.772130263	74.1	3635.2	17.081	3561.2	68.7	Ax211	
