Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	0.137	0.136507015	9.111843271	172.8	3734.0	8.975	3561.2	73.9	Ib12	
2	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	11.262	11.261828762	23.342699615	203.7	3647.6	12.081	3443.9	74.6	Ib14	
3	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	25.493	25.492685106	40.064808988	358.0	3659.9	14.572	3301.9	70.9	Ib110	
4	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	41.078	41.077744787	56.161769977	425.9	3696.9	15.084	3271.1	71.9	Ib114	
5	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	57.424	57.424459868	71.314048674	228.4	3647.6	13.890	3419.2	73.0	Ib114	
6	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	72.805	72.805263348	87.411513984	172.8	3573.5	14.606	3400.7	71.6	Ib113	
7	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	88.128	88.128175815	98.468582223	333.3	3579.7	10.340	3246.4	74.0	Ib22	
8	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	101.311	101.311216895	115.746833762	395.0	3690.8	14.436	3295.8	74.0	Ib24	
9	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	116.771	116.770636377	132.230055859	209.8	3678.4	15.459	3468.6	76.5	Ib26	
10	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	133.769	133.768543119	148.238286740	98.7	3666.1	14.470	3567.3	75.2	Ib110	
11	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	150.204	150.204241671	164.742238799	92.6	3610.5	14.538	3518.0	77.5	Ib111	
12	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	165.614	165.613610530	179.912720382	333.3	3629.0	14.299	3295.8	79.4	Ib24	
13	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	180.728	180.727719203	194.856195286	142.0	3629.0	14.128	3487.1	76.8	Ie12	
14	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	195.948	195.948251409	212.090205967	172.8	3653.7	16.142	3480.9	78.0	Ie12	
15	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	213.092	213.091765324	226.947227376	185.2	3690.8	13.855	3505.6	75.1	Ie12	
16	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	227.893	227.892664784	240.212422914	98.7	3659.9	12.320	3561.2	72.7	If111	
17	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	241.562	241.562327048	253.336057117	98.7	3690.8	11.774	3592.0	75.6	If111	
18	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	254.459	254.458954737	266.437445329	111.1	3592.0	11.978	3480.9	76.6	If111	
19	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	267.947	267.947113847	279.652590408	142.0	3659.9	11.705	3518.0	76.3	If141	
20	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	281.461	281.461308361	292.723137122	98.7	3647.6	11.262	3548.8	75.6	If161	
21	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	294.039	294.038633888	306.051251233	123.4	3659.9	12.013	3536.5	76.5	If191	
22	Spectrogram 1	1	HS170810-1054-MUI-PA.wav	307.553	307.552828402	318.268629102	55.5	3684.6	10.716	3629.0	77.0	If1101	
