Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	4.254	4.253963300	19.611002521	0.0	2596.7	15.357	2596.7	62.7	Ij16	
2	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	20.191	20.191157336	36.674379433	87.3	2574.9	16.483	2487.6	63.8	Ij16	
3	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	38.221	38.220701946	53.782501689	39.3	2548.7	15.562	2509.4	63.8	Ik11111	
4	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	55.567	55.567207157	70.753612608	49.4	2561.3	15.186	2511.9	63.5	Ik11111	
5	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	73.057	73.057296457	88.823856724	30.9	2937.8	15.767	2906.9	61.5	Ik11111	
7	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	89.848	89.847659338	106.501515204	37.0	3018.0	16.654	2981.0	61.3	Ik11111	
8	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	107.787	107.787211505	123.212504233	43.2	3018.0	15.425	2974.8	61.4	Ik11112	
9	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	124.844	124.843764542	140.610324808	49.4	2968.7	15.767	2919.3	62.2	Ik11112	
10	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	142.118	142.117716878	158.635065729	0.0	2962.5	16.517	2962.5	62.0	Ik11112	
11	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	160.521	160.521139916	175.878179137	86.4	3141.5	15.357	3055.1	62.5	Ik11112	
12	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	176.694	176.694189336	193.279791694	80.2	3178.5	16.586	3098.3	62.1	Ik11112	
13	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	194.577	194.576608339	210.547929129	74.1	3277.3	15.971	3203.2	62.3	Ik11112	
14	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	211.732	211.732256546	228.454365919	6.2	3468.6	16.722	3462.4	61.0	Ik11113	
15	Spectrogram 1	1	HS180705-1224-ESM-PA.wav	230.110	230.110399460	245.433311927	0.0	3555.0	15.323	3555.0	63.1	Ik11113	
