Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
1	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	760.6696	760.669620730	774.452886863	82.700	2558.800	13.7833	2476.100	Bi113	
2	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	775.4035	775.403456941	788.901552051	44.100	2691.200	13.4981	2647.100	Bb15	
3	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	789.6620	789.662008113	800.831206532	82.700	2669.100	11.1692	2586.400	Bc12	
4	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	802.8661	802.866053147	816.411676761	44.100	2641.500	13.5456	2597.400	Bc13	
5	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	817.8851	817.885060382	831.050455964	77.200	2625.000	13.1654	2547.800	Bj121	
6	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	832.0057	832.005697309	844.315579822	27.600	2669.100	12.3099	2641.500	Bj112	
7	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	845.2186	845.218621396	857.053218869	55.100	2669.100	11.8346	2614.000	Gh22	
8	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	858.2755	858.275454404	870.680393924	77.200	2680.100	12.4049	2602.900	Gh22	
9	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	871.2355	871.235514807	878.792546929	121.300	2658.100	7.5570	2536.800	Gd12	
10	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	879.4579	879.457945983	884.543495901	66.200	2636.000	5.0855	2569.800	Gd11	
11	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	884.9237	884.923723933	890.674672906	77.200	2569.900	5.7509	2492.700	Gd11	
12	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	890.9598	890.959843929	899.514974632	115.800	2503.700	8.5551	2387.900	Gd13	
13	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	900.7032	900.703187230	906.976949746	77.200	2376.800	6.2738	2299.600	Gd12	
14	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	907.3572	907.357177777	914.486453363	104.800	2343.700	7.1293	2238.900	Gd12	
15	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	915.1519	915.151852418	929.662819379	77.200	2255.500	14.5110	2178.300	Gd13	
16	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	931.9611	931.961050057	947.597927843	60.700	2564.300	15.6369	2503.600	Bh13	
17	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	948.9763	948.976254456	963.282334133	71.700	2608.500	14.3061	2536.800	Bh14	
18	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	965.1592	965.159225007	979.607890195	60.700	2663.600	14.4487	2602.900	Bh14	
19	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	981.3189	981.318916335	995.957695539	55.100	2702.200	14.6388	2647.100	Bi113	
20	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	996.9164	996.916398120	1009.844151183	55.100	2702.200	12.9278	2647.100	Bc12	
21	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1011.3175	1011.317534804	1024.863158418	93.700	2696.700	13.5456	2603.000	Bc13	
22	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1025.6664	1025.666442026	1037.738682019	71.700	2564.300	12.0722	2492.600	Gh13	
23	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1038.4555	1038.455489366	1050.955485894	88.200	2685.700	12.5000	2597.500	Gg3	
24	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1051.6209	1051.620884948	1057.657004945	71.700	2757.400	6.0361	2685.700	Gd12	
25	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1058.4175	1058.417461007	1066.307192656	71.700	2614.000	7.8897	2542.300	Gd12	
26	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1066.6399	1066.639892183	1072.058141629	88.200	2542.300	5.4182	2454.100	Gd12	
27	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1073.3414	1073.341411234	1081.944070442	66.200	2498.200	8.6027	2432.000	Gd11	
28	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1082.5619	1082.561940992	1090.831900672	27.600	2481.600	8.2700	2454.000	Gd13	
29	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1091.4538	1091.453800077	1097.157220546	71.700	2437.500	5.7034	2365.800	Gd12	
30	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1097.6800	1097.680034089	1103.050755031	66.200	2404.400	5.3707	2338.200	Gd11	
31	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1103.7167	1103.716723450	1109.990485966	49.600	2415.400	6.2738	2365.800	Gd12	
32	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1110.6559	1110.655885021	1118.070331630	77.200	2443.000	7.4144	2365.800	Gd12	
33	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1119.0209	1119.020901708	1125.674892255	55.100	2465.100	6.6540	2410.000	Gd12	
34	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1126.0076	1126.007591783	1140.028500436	71.700	2459.600	14.0209	2387.900	Gd14	
35	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1142.1235	1142.123485156	1156.809792864	60.700	2674.600	14.6863	2613.900	Bh13	
36	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1158.5208	1158.520819005	1173.444769232	82.700	2762.900	14.9240	2680.200	Bh14	
37	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1175.5009	1175.500880467	1190.805058725	38.600	2784.900	15.3042	2746.300	Bi132	
38	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1192.1359	1192.135856834	1206.346879503	66.200	2829.000	14.2110	2762.800	Bi114	
39	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1207.9153	1207.915320132	1221.128244218	44.100	2784.900	13.2129	2740.800	Bb14	
40	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1222.3030	1222.302951773	1233.947435231	44.100	2685.700	11.6445	2641.600	Bc12	
41	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1234.9931	1234.993062317	1251.485453173	66.200	2762.900	16.4924	2696.700	Bc13	
42	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1252.8638	1252.863779786	1265.934118361	60.700	2740.800	13.0703	2680.100	Bc12	
43	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1267.4241	1267.424065818	1280.636989904	49.600	2768.400	13.2129	2718.800	Bc12	
44	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1282.2530	1282.252959037	1296.273867690	93.700	2834.600	14.0209	2740.900	Bc12	
45	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1298.2349	1298.234921917	1311.352788996	44.100	2779.400	13.1179	2735.300	Bc13	
46	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1312.9688	1312.968758129	1326.656967254	55.100	2801.500	13.6882	2746.400	Bj114	
47	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1327.9878	1327.987765363	1339.537191813	88.200	2884.200	11.5494	2796.000	Bb15	
48	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1340.3167	1340.316748654	1352.816745181	77.200	2889.700	12.5000	2812.500	Ib12	
49	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1353.8624	1353.862372267	1367.312938873	88.200	2889.700	13.4506	2801.500	Ib14	
50	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1368.7888	1368.788756173	1381.383809708	115.800	2917.300	12.5951	2801.500	Ib13	
51	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1382.4855	1382.485545696	1394.890485216	55.100	2911.800	12.4049	2856.700	Ib15	
52	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1396.2813	1396.281346811	1407.830773261	55.100	2900.700	11.5494	2845.600	Ib110	
53	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1408.1159	1408.115944284	1413.914421761	71.700	2790.400	5.7985	2718.700	Gd12	
54	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1414.8175	1414.817463335	1423.752822070	22.100	2818.000	8.9354	2795.900	Gd13	
55	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1424.3707	1424.370692621	1432.450538285	49.600	2796.000	8.0798	2746.400	Gd13	
56	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1432.8629	1432.862924242	1440.039728332	77.200	2812.500	7.1768	2735.300	Gd12	
57	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1440.5625	1440.562541875	1452.254553836	82.700	2762.900	11.6920	2680.200	Gf119	
58	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1452.8894	1452.889361323	1465.151715331	82.700	2818.000	12.2624	2735.300	Ge112	
59	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1465.3050	1465.304970114	1476.901925067	66.200	2796.000	11.5970	2729.800	Gd12	
60	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1479.1204	1479.120394347	1493.949287566	38.600	2801.500	14.8289	2762.900	Bh13	
61	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1495.7378	1495.737836644	1511.327185925	71.700	2829.000	15.5893	2757.300	Bh13	
62	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1513.1654	1513.165427174	1528.422076928	60.700	2829.000	15.2566	2768.300	Bh13	
63	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1529.9859	1529.985891219	1544.957369950	49.600	2807.000	14.9715	2757.400	Bh14	
64	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1546.2406	1546.240639555	1561.829988837	16.500	2845.600	15.5893	2829.100	Bi122	
65	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1563.0956	1563.095649577	1577.544314765	66.200	2911.800	14.4487	2845.600	Bi122	
66	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1578.7992	1578.799231264	1592.297326374	27.600	2928.300	13.4981	2900.700	Bi113	
67	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1593.4380	1593.438010468	1604.797322902	60.700	2878.700	11.3593	2818.000	Bc12	
68	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1606.3546	1606.354571571	1618.997153610	60.700	2911.800	12.6426	2851.100	Bc12	
69	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1620.9934	1620.993350774	1635.251901947	44.100	2878.700	14.2586	2834.600	Bc13	
70	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1635.8636	1635.863552030	1651.262787297	49.600	2950.400	15.3992	2900.800	Bj122	
71	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1651.8807	1651.880657847	1663.430084297	55.100	2939.300	11.5494	2884.200	Bm15	
72	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1665.1580	1665.158047374	1675.566789730	66.200	2895.200	10.4087	2829.000	Bm16	
73	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1675.8995	1675.899489257	1682.030666261	66.200	2889.700	6.1312	2823.500	Gd12	
74	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1682.6010	1682.601008308	1689.254998855	126.800	2900.700	6.6540	2773.900	Gd12	
75	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1690.8234	1690.823439484	1698.523057117	82.700	2840.100	7.6996	2757.400	Gd12	
76	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1698.7132	1698.713171133	1705.652332703	66.200	2878.700	6.9392	2812.500	Gd13	
77	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1707.4363	1707.436255268	1716.704313530	77.200	2917.300	9.2681	2840.100	Gd13	
78	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1717.1796	1717.179598569	1725.116858721	60.700	2856.600	7.9373	2795.900	Gd13	
79	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1725.8298	1725.829786280	1733.291761393	77.200	2840.100	7.4620	2762.900	Gd13	
80	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1734.2899	1734.289859975	1741.324078554	71.700	2807.000	7.0342	2735.300	Gd12	
81	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1742.0994	1742.099382505	1753.720101711	55.100	2856.600	11.6207	2801.500	Gf129	
83	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1754.2814	1754.281415346	1765.640727780	38.600	2878.700	11.3593	2840.100	Ge18	
84	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1765.9734	1765.973427307	1774.861257538	44.100	2862.100	8.8878	2818.000	Gd13	
85	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1775.3365	1775.336542577	1787.551368081	82.700	2933.800	12.2148	2851.100	Gd13	
86	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1789.5060	1789.506005752	1804.620069995	44.100	2933.800	15.1141	2889.700	Bh13	
87	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1806.3311	1806.331096136	1819.496491718	44.100	2889.700	13.1654	2845.600	Bh13	
88	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1821.5096	1821.509625993	1835.245363622	71.700	2851.100	13.7357	2779.400	Bh14	
89	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1837.4616	1837.461594615	1851.197332244	38.600	2834.600	13.7357	2796.000	Bi131	
90	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1853.2886	1853.288586416	1867.452080581	33.100	2851.100	14.1635	2818.000	Bi113	
91	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1868.6896	1868.689612075	1880.048924509	38.600	2911.800	11.3593	2873.200	Bc12	
92	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1881.4197	1881.419748337	1893.206817306	33.100	2889.700	11.7871	2856.600	Bc12	
93	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1894.5376	1894.537615415	1907.465368478	22.100	2878.700	12.9278	2856.600	Bc12	
94	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1908.6536	1908.653581076	1923.387417287	38.600	2834.600	14.7338	2796.000	Bc12	
95	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1924.6636	1924.663598581	1936.640781566	55.100	2922.800	11.9772	2867.700	Bc12	
96	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1938.4944	1938.494393218	1950.376519195	55.100	2889.700	11.8821	2834.600	Bc12	
97	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1951.6593	1951.659340906	1967.201161684	38.600	2790.400	15.5418	2751.800	Bj123	
98	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1968.5795	1968.579488297	1981.269598841	49.600	2773.900	12.6901	2724.300	Bj114	
99	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1982.3796	1982.379616921	1993.881514867	22.100	2779.400	11.5019	2757.300	Bb15	
100	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	1995.2123	1995.212312976	2005.906226356	44.100	2834.600	10.6939	2790.500	Bb14	
101	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2007.8074	2007.807366512	2021.590632645	49.600	2834.600	13.7833	2785.000	Bb16	
102	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2022.7738	2022.773845979	2035.083728491	22.100	2856.600	12.3099	2834.500	Bb16	
103	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2036.3670	2036.366998096	2047.583725019	49.600	2889.700	11.2167	2840.100	Bb15	
104	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2047.9164	2047.916424546	2055.853684699	44.100	2878.700	7.9373	2834.600	Gg2	
105	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2057.4950	2057.495021926	2071.706044594	66.200	2851.100	14.2110	2784.900	Bh13	
106	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2073.4171	2073.417070735	2087.390450884	66.200	2834.600	13.9734	2768.400	Bh13	
107	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2089.1490	2089.149005528	2103.930370244	88.200	2867.600	14.7814	2779.400	Bh14	
108	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2105.7251	2105.725112192	2118.985564782	27.600	2895.200	13.2605	2867.600	Bi123	
109	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2120.7441	2120.744119427	2134.812556583	49.600	2862.100	14.0684	2812.500	Bb16	
110	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2135.8039	2135.803939780	2149.587205913	66.200	2884.200	13.7833	2818.000	Bb16	
111	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2150.3477	2150.347661976	2163.988342597	38.600	2906.200	13.6407	2867.600	Bb15	
112	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2165.2505	2165.250542974	2178.796166587	16.500	2878.700	13.5456	2862.200	Bb15	
113	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2180.2995	2180.299470021	2191.658782455	60.700	2851.100	11.3593	2790.400	Bc12	
114	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2193.6075	2193.607451115	2205.061820557	33.100	2884.200	11.4544	2851.100	Bc12	
115	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2207.5499	2207.549941216	2219.717238217	49.600	2873.200	12.1673	2823.600	Bc12	
116	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2221.7610	2221.760963885	2236.542328600	27.600	2845.600	14.7814	2818.000	Bc13	
117	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2238.3009	2238.300883245	2250.040423710	33.100	2889.700	11.7395	2856.600	Bc12	
118	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2250.3445	2250.344546271	2261.418687682	66.200	2823.500	11.0741	2757.300	Bc12	
119	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2262.7495	2262.749485791	2275.011839800	60.700	2784.900	12.2624	2724.200	Bc12	
120	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2276.9018	2276.901787821	2288.403685767	82.700	2862.100	11.5019	2779.400	Bc12	
121	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2291.0457	2291.045658518	2304.828924651	44.100	2867.600	13.7833	2823.500	Bc17	
