GhSelection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
1	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	340.5066	340.5066301	356.7727701	78	1715.8	16.2661	1637.8	Bh13	
2	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	359.0246	359.024553	372.1987822	105.3	1657.3	13.1742	1552	Bh13	
3	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	374.4841	374.4841077	388.0952373	46.8	1665.1	13.6111	1618.3	Bc13	
4	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	389.1675	389.167454	399.9891422	78	1630	10.8217	1552	Bc12	
5	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	402.5097	402.5097218	414.5748959	81.9	1676.8	12.0652	1594.9	Bc13	
6	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	417.4873	417.4873478	433.5518415	46.8	1711.9	16.0645	1665.1	Bh14	
7	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	435.6691	435.6691283	448.6081034	66.3	1708	12.939	1641.7	Bc13	
8	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	450.7812	450.7811854	463.3168677	54.6	1739.2	12.5357	1684.6	Bc13	
9	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	465.4342	465.4341545	480.6920628	39	1766.5	15.2579	1727.5	Bj132	
10	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	481.9159	481.9159387	490.4186937	113.1	1770.4	8.5028	1657.3	Bb13	
11	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	492.2671	492.2671187	501.5764592	23.4	1754.8	9.3093	1731.4	Bb14	
12	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	504.0634	504.063431	513.7088488	19.5	1715.8	9.6454	1696.3	Bb14	
13	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	516.1053	516.1052918	525.6162787	74.1	1750.9	9.511	1676.8	Bb14	
14	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	527.3975	527.3974882	535.9674587	89.7	1786	8.57	1696.3	Bb13	
15	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	538.4413	538.4413463	546.5072009	39	1758.7	8.0659	1719.7	Bb13	
16	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	552.7709	552.7709364	565.2057956	42.9	1735.3	12.4349	1692.4	Bh13	
17	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	567.6928	567.6927674	580.2284497	0	1739.2	12.5357	1739.2	Bh12	
18	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	582.2142	582.2142257	596.8335871	58.5	1817.2	14.6194	1758.7	Bh13	
19	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	599.089	599.0890406	613.5403634	62.4	1789.9	14.4513	1727.5	Bh13	
20	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	615.456	615.4560039	630.0753653	46.8	1809.4	14.6194	1762.6	Bh13	
21	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	631.6123	631.6123477	646.130886	42.9	1938	14.5185	1895.1	Bh13	
22	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	647.5777	647.577682	661.760143	70.2	1973.1	14.1825	1902.9	Bc13	
23	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	664.3479	664.347938	676.5811508	78	1965.3	12.2332	1887.3	Bc12	
24	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	845.0808	845.0807573	849.8194469	105.3	1953.6	4.7387	1848.3	Gd12	
25	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	850.0883	850.0883087	856.9778928	50.7	1895.2	6.8896	1844.5	Gd12	
26	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	857.2468	857.2467546	860.7083505	70.2	1875.7	3.4616	1805.5	Gd12	
27	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	862.3789	862.3789481	867.9242231	54.6	1949.7	5.5453	1895.1	Gd11	
28	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	868.798	868.798024	874.3096913	97.5	1969.2	5.5117	1871.7	Gd12	
29	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	874.9146	874.9146304	881.0648445	46.8	1984.8	6.1502	1938	Gd11	
30	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	881.8378	881.8378222	886.5092964	0	2023.8	4.6715	2023.8	Gd12	
31	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	886.795	886.7950106	893.2476943	74.1	2016	6.4527	1941.9	Gd12	
32	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	893.7182	893.7182025	898.4904998	74.1	2039.4	4.7723	1965.3	Gd12	
33	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	898.8938	898.8937925	904.0021671	62.4	2051.1	5.1084	1988.7	Gd12	
34	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	905.9178	905.9178075	912.7737839	97.5	2027.7	6.856	1930.2	Gd12	
35	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	913.9739	913.9738731	918.6117395	124.8	1941.9	4.6379	1817.1	Gd12	
36	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	926.2628	926.2628484	956.3417645	105.3	1984.8	30.0789	1879.5	Gd31	
37	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	957.4472	957.4471813	960.4046613	46.8	1949.7	2.9575	1902.9	Gd11	
38	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	961.0432	961.0432081	967.4958918	78	1867.9	6.4527	1789.9	Gd12	
39	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	968.3025	968.3024772	973.14199	50.7	1856.2	4.8395	1805.5	Gd12	
40	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	974.6879	974.6879454	980.2668282	81.9	1860.1	5.5789	1778.2	Gd13	
41	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	981.0017	981.0017115	990.7815602	62.4	1906.8	9.7798	1844.4	Gd22	
42	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	991.6554	991.6553611	997.4694979	93.6	1891.3	5.8141	1797.7	Gd11	
43	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	998.3929	998.3929434	1002.627517	66.3	1895.2	4.2346	1828.9	Gd11	
44	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1009.8196	1009.819571	1017.045232	124.8	1871.8	7.2257	1747	Gd12	
45	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1018.0137	1018.013738	1022.886859	85.8	1887.4	4.8731	1801.6	Gd12	
46	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1023.4582	1023.45819	1028.129664	78	1856.2	4.6715	1778.2	Gd12	
47	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1029.0035	1029.003465	1035.456149	74.1	1875.7	6.4527	1801.6	Gd11	
48	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1036.9001	1036.90009	1042.647011	113.1	1860.1	5.7469	1747	Gd12	
49	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1043.7897	1043.789674	1055.754025	74.1	1860.1	11.9644	1786	Gd13	
50	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1059.2292	1059.229178	1072.638661	113.1	1735.3	13.4095	1622.2	Bh13	
51	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1075.5625	1075.562534	1089.576956	70.2	1797.7	14.0144	1727.5	Bh13	
52	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1092.0652	1092.065174	1109.978093	74.1	1852.3	17.9129	1778.2	Bi142	
53	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1112.3549	1112.354861	1126.503714	50.7	1848.4	14.1489	1797.7	Bi123	
54	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1128.2149	1128.214853	1142.464529	50.7	1856.2	14.2497	1805.5	Bi123	
55	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1145.0048	1145.004817	1158.4143	31.2	1852.3	13.4095	1821.1	Bi122	
56	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1160.9345	1160.934504	1172.09227	62.4	1848.4	11.1578	1786	Bc13	
57	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1174.5456	1174.545634	1188.425625	27.3	1871.8	13.88	1844.5	Bc13	
58	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1190.2524	1190.252368	1205.140591	42.9	1879.6	14.8882	1836.7	Bc14	
59	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1207.6546	1207.654645	1222.206791	93.6	1891.3	14.5521	1797.7	Bc14	
60	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1224.6151	1224.615094	1238.091793	46.8	1922.4	13.4767	1875.6	Bc13	
61	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1240.28	1240.280031	1253.823945	42.9	1969.2	13.5439	1926.3	Bc13	
62	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1257.3278	1257.327779	1271.174163	66.3	1906.8	13.8464	1840.5	Bc13	
63	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1273.6481	1273.64805	1284.772208	58.5	1914.6	11.1242	1856.1	Bc12	
64	Spectrogram 1	1	Kommetjie Song example 6 30-06-2018.wav	1287.3936	1287.393611	1300.433409	54.6	1879.6	13.0398	1825	Bc13	
