GhSelection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
1	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	103.514	103.513500063	110.262547618	163.8	2027.7	6.749	1864.0	Gd12	
2	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	111.308	111.308174704	117.676994228	156.0	1984.8	6.369	1828.9	Gd12	
3	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	118.057	118.057222259	129.511591701	109.2	1980.9	11.454	1871.8	Gd14	
4	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	130.510	130.509690283	142.201702244	128.7	2008.2	11.692	1879.6	Gd13	
5	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	142.677	142.676987283	150.138962397	109.2	1996.5	7.462	1887.4	Gd12	
7	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	152.016	152.016338301	161.902267114	136.5	2019.9	9.886	1883.5	Gd13	
8	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	162.473	162.472609161	170.124698290	105.3	2012.1	7.652	1906.8	Gd12	
9	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	171.859	171.859078118	178.988353704	109.2	2004.3	7.129	1895.2	Gd12	
10	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	179.606	179.606224255	190.822951177	3.9	2000.4	11.217	1996.5	Gd13	
11	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	191.441	191.440821728	201.374279044	113.1	1965.3	9.933	1852.3	Gd13	
12	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	202.009	202.009012086	213.510910032	167.7	1879.6	11.502	1711.9	Ge19	
14	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	215.250	215.249542779	230.506192534	101.4	1961.4	15.257	1860.1	Ge112	
15	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	232.597	232.597446706	248.662081027	70.2	2031.6	16.065	1961.4	Ge114	
