calltype,start_time,end_time,pause,SNR
I37.1,124.58,125.93,0.85,10
I11.4,245.12,246.92,2.27,23
I11.4,249.19,250.59,-0.09,19
I11.4,250.5,252,-0.11,NA
I38.1,251.89,252.67,0.11,30
I39,252.78,253.86,0.5,38
I11.5,254.36,256.37,4.63,28
I11.4,261,262.41,-0.5,NA
I11.4,261.91,263.26,2.93,NA
I11.4,266.19,267.87,-0.79,19
I11.5,267.08,268.77,5.43,14
I11.4,274.2,275.76,0.84,11
I11.4,276.6,278.26,2.48,NA
I11.5,280.74,282,-0.23,NA
I11.4,281.77,283,-0.24,12
I11.4,282.76,283.88,8.3,15
I11.4,292.18,293.5,0.75,23
I11.4,294.25,295.5,2.33,23
I11.4,297.83,299,8.27,24
I11.4,307.27,308.5,0.81,26
I11.4,309.31,310.5,2.36,22
I69,312.86,314.44,7.06,NA
I37.1,321.5,323,1.57,19
I11.4,324.57,325.6,1.83,21
I38.1,327.43,327.86,0.35,27
I39,328.21,329.1,4.83,29
I38.1,333.93,334.41,0.71,28
I11.4,335.12,336.11,5.21,19
I37.2,341.32,342.24,-0.24,19
I37.2,342,343.12,3.16,NA
I11.4,346.28,347.37,15.27,23
I38.1,362.64,363.42,0.14,20
I39,363.56,364.58,0.92,19
I11.4,365.5,366.87,1.13,15
I11.4,368,369.21,10.29,20
I11.4,379.5,380.68,1.82,16
I11.5,382.5,384.36,20.25,26
I38.1,404.61,405.31,0.11,19
I39,405.42,406.4,3.88,27
I11.5,410.28,412,0.5,28
I69,412.5,414,7.5,18
I38.1,421.5,422.05,0.21,16
I39,422.26,423.23,0,29
I11.4,423.23,424.32,2.06,24
I11.5,426.38,428,0.25,19
I11.4,428.25,430.28,-0.57,27
I11.5,429.71,431.5,30.8,33
I11.4,462.3,463.5,1.57,27
I11.4,465.07,466.44,15.06,28
I11.5,481.5,483.12,4.72,16
I11.5,487.84,489.79,7.61,32
I39,497.4,498.32,3.68,23
I38.1,502,502.62,0.17,21
I39,502.79,503.72,-0.52,30
I11.5,503.2,504.91,1.45,24
I11.5,506.36,508.21,-0.52,24
I11.4,507.69,509,-0.85,NA
I11.5,508.15,510.09,-0.38,17
I11.5,509.71,511.23,0.96,17
I11.5,512.19,514,7.5,29
I11.4,521.5,522.79,32.79,26
I11.4,555.58,556.94,3.2,29
I11.4,560.14,561.28,7.72,18
I11.4,569,569.93,4.41,31
I39,574.34,575.26,0.24,23
I69,575.5,576.82,43.68,16
I11.4,620.5,621.5,3.59,22
I39,625.09,626.5,2.16,30
I11.4,628.66,629.83,0,23
I11.4,629.83,630.88,15.31,26
I11.4,646.19,647.28,20.22,21
I38.1,667.5,668.35,0,31
I39,668.35,669.3,0.36,27
I11.4,669.66,670.58,27.52,20
I11.4,698.1,699.14,1.07,22
I11.4,700.21,701.08,9.26,26
I11.4,710.34,711.34,12.73,21
I11.4,724.07,724.92,4.82,26
I11.4,729.74,730.76,13.32,22
I11.4,744.08,745.05,12.45,29
I69,757.5,759,55.07,24
I37.1,814.07,814.93,52.57,23
I38.1,867.5,868,0.35,23
I39,868.35,869.09,0.36,27
I11.5,869.45,871,3.75,30
I39,874.75,875.59,-0.09,31
I38.1,875.5,876.07,13.43,19
I38.1,889.5,890.21,0.18,14
I39,890.39,891.14,0.46,13
I11.4,891.6,892.64,7.8,20
I39,900.44,901.24,3.36,32
I11.4,904.6,905.74,13.01,27
I38.1,918.75,919.19,0.41,22
I39,919.6,920.5,67.7,26
I40.1,988.2,989,56.38,24
I43.9,1045.38,1046.43,108.07,20
I39,1154.5,1155.31,2.69,28
I38.1,1158,1158.5,0.29,21
I39,1158.79,1159.73,-0.29,23
I11.4,1159.44,1160.61,3.02,20
I11.4,1163.63,1164.61,1.89,23
I11.4,1166.5,1167.57,7.51,26
I11.4,1175.08,1176.16,7,22
I38.1,1183.16,1183.85,1.65,15
I69,1185.5,1187.44,7.56,29
I39,1195,1195.81,3.06,28
I11.4,1198.87,1200,4.89,16
I11.4,1204.89,1206,20.64,21
I11.4,1226.64,1227.5,41.19,23
I11.5,1268.69,1270.16,61.34,25
I38.1,1331.5,1332.23,0.27,27
I39,1332.5,1333.11,0.83,22
I11.5,1333.94,1335.58,16.5,25
I11.4,1352.08,1353,58.81,19
I11.4,1411.81,1412.77,2.39,19
I11.4,1415.16,1416.17,30.03,22
I11.4,1446.2,1447.18,43.82,25
I39,1491,1491.66,0.34,29
I69,1492,1493.45,40.55,24
I39,1534,1534.76,1.58,22
I11.5,1536.34,1537.76,22.96,35
I39,1560.72,1561.59,83.41,23
I38.1,1645,1645.5,0.32,18
I39,1645.82,1646.5,0.37,24
I69,1646.87,1648.26,10.63,17
I11.4,1658.89,1659.89,2.22,24
I11.4,1662.11,1663.17,193.27,26
I11.4,1856.44,1857.72,108.34,13
I37.3,1966.06,1967.3,8.7,19
I11.4,1976,1977.33,3.17,13
I38.1,1980.5,1981.08,0.42,18
I11.4,1981.5,1982.69,2.51,20
